rgn_id,year,pressure_score,status_score
14,2010,0.25,75
14,2011,0.51,49
14,2012,0.2,80
14,2013,0.17,83
14,2014,0.2,80
15,2010,0.42,58
15,2011,0.63,37
15,2012,0.29,71
15,2013,0.27,73
15,2014,0.32,68
16,2010,0,100
16,2011,0,100
16,2012,0,100
16,2013,0,100
16,2014,0,100
17,2010,0.34,66
17,2011,0.73,27
17,2012,0.23,77
17,2013,0.21,79
17,2014,0.21,79
18,2010,NA,NA
18,2011,NA,NA
18,2012,NA,NA
18,2013,NA,NA
18,2014,NA,NA
19,2010,NA,NA
19,2011,NA,NA
19,2012,NA,NA
19,2013,NA,NA
19,2014,NA,NA
20,2010,1,0
20,2011,1,0
20,2012,0.97,3
20,2013,0.98,2
20,2014,0.98,2
21,2010,0.92,8
21,2011,1,0
21,2012,0.93,6.99999999999999
21,2013,0.78,22
21,2014,0.45,55
22,2010,0.97,3
22,2011,1,0
22,2012,0.89,11
22,2013,0.9,10
22,2014,0.78,22
23,2010,0.96,4
23,2011,1,0
23,2012,0.51,49
23,2013,0.51,49
23,2014,0.52,48
24,2010,1,0
24,2011,1,0
24,2012,0.96,4
24,2013,0.97,3
24,2014,0.97,3
25,2010,1,0
25,2011,1,0
25,2012,0.87,13
25,2013,0.91,9
25,2014,0.91,9
26,2010,1,0
26,2011,1,0
26,2012,0.94,6.00000000000001
26,2013,0.96,4
26,2014,0.96,4
27,2010,NA,NA
27,2011,NA,NA
27,2012,NA,NA
27,2013,NA,NA
27,2014,NA,NA
28,2010,NA,NA
28,2011,NA,NA
28,2012,NA,NA
28,2013,NA,NA
28,2014,NA,NA
29,2010,0.99,1
29,2011,1,0
29,2012,0.97,3
29,2013,0.95,5
29,2014,0.9,10
30,2010,0.98,2
30,2011,1,0
30,2012,0.88,12
30,2013,0.89,11
30,2014,0.87,13
31,2010,1,0
31,2011,1,0
31,2012,0.91,9
31,2013,0.93,6.99999999999999
31,2014,0.92,8
32,2010,0.85,15
32,2011,1,0
32,2012,0.43,57
32,2013,0.51,49
32,2014,0.49,51
33,2010,0.74,26
33,2011,1,0
33,2012,0.33,67
33,2013,0.13,87
33,2014,0,100
34,2010,0.93,6.99999999999999
34,2011,1,0
34,2012,0.79,21
34,2013,0.74,26
34,2014,0.61,39
