"rgn_id","sector","year","value"
1,"cf",1999,2278.08
1,"cf",2000,2201.35
1,"cf",2001,2207.68
1,"cf",2002,1764.72
1,"cf",2003,1634.21
1,"cf",2004,1513.18
1,"tour",2005,57132.1
1,"tour",2006,59052.1
1,"tour",2007,59731.2
1,"tour",2008,57459.9
1,"tour",2009,61838.5
1,"tour",2010,60082.4
2,"cf",2003,5511.53
2,"cf",2004,5149.01
2,"cf",2005,4742.68
2,"cf",2006,4199.81
2,"cf",2007,3745.07
2,"cf",2008,1660.31
2,"mar",2003,189.885
2,"mar",2004,179.934
2,"mar",2005,408.737
2,"mar",2006,388.674
2,"mar",2007,382.651
2,"mar",2008,192.812
2,"mmw",1998,0
2,"mmw",2008,0
2,"tour",2005,373813
2,"tour",2006,355201
2,"tour",2007,332474
2,"tour",2008,331005
2,"tour",2009,348148
2,"tour",2010,332474
3,"cf",2003,5511.53
3,"cf",2004,5149.01
3,"cf",2005,4742.68
3,"cf",2006,4199.81
3,"cf",2007,3745.07
3,"cf",2008,1660.31
3,"mar",2003,189.885
3,"mar",2004,179.934
3,"mar",2005,408.737
3,"mar",2006,388.674
3,"mar",2007,382.651
3,"mar",2008,192.812
3,"mmw",1998,0
3,"mmw",2008,0
3,"tour",2005,373813
3,"tour",2006,355201
3,"tour",2007,332474
3,"tour",2008,331005
3,"tour",2009,348148
3,"tour",2010,332474
4,"cf",2003,3181.4
4,"cf",2004,3088.06
4,"cf",2005,2948.06
4,"cf",2006,2781.16
4,"cf",2007,2590.53
4,"cf",2008,2510.63
4,"mmw",1998,0
4,"mmw",2008,0
4,"tour",2005,238484
4,"tour",2006,239789
4,"tour",2007,232706
4,"tour",2008,232405
4,"tour",2009,244562
4,"tour",2010,233318
5,"cf",1999,2278.08
5,"cf",2000,2201.35
5,"cf",2001,2207.68
5,"cf",2002,1764.72
5,"cf",2003,1634.21
5,"cf",2004,1513.18
5,"tour",2005,57132.1
5,"tour",2006,59052.1
5,"tour",2007,59731.2
5,"tour",2008,57459.9
5,"tour",2009,61838.5
5,"tour",2010,60082.4
6,"cf",2003,5511.53
6,"cf",2004,5149.01
6,"cf",2005,4742.68
6,"cf",2006,4199.81
6,"cf",2007,3745.07
6,"cf",2008,1660.31
6,"mar",2003,189.885
6,"mar",2004,179.934
6,"mar",2005,408.737
6,"mar",2006,388.674
6,"mar",2007,382.651
6,"mar",2008,192.812
6,"mmw",1998,0
6,"mmw",2008,0
6,"tour",2005,373813
6,"tour",2006,355201
6,"tour",2007,332474
6,"tour",2008,331005
6,"tour",2009,348148
6,"tour",2010,332474
7,"cf",2003,5511.53
7,"cf",2004,5149.01
7,"cf",2005,4742.68
7,"cf",2006,4199.81
7,"cf",2007,3745.07
7,"cf",2008,1660.31
7,"mar",2003,189.885
7,"mar",2004,179.934
7,"mar",2005,408.737
7,"mar",2006,388.674
7,"mar",2007,382.651
7,"mar",2008,192.812
7,"mmw",1998,0
7,"mmw",2008,0
7,"tour",2005,373813
7,"tour",2006,355201
7,"tour",2007,332474
7,"tour",2008,331005
7,"tour",2009,348148
7,"tour",2010,332474
8,"cf",2003,3181.4
8,"cf",2004,3088.06
8,"cf",2005,2948.06
8,"cf",2006,2781.16
8,"cf",2007,2590.53
8,"cf",2008,2510.63
8,"mmw",1998,0
8,"mmw",2008,0
8,"tour",2005,238484
8,"tour",2006,239789
8,"tour",2007,232706
8,"tour",2008,232405
8,"tour",2009,244562
8,"tour",2010,233318
9,"cf",2003,5511.53
9,"cf",2004,5149.01
9,"cf",2005,4742.68
9,"cf",2006,4199.81
9,"cf",2007,3745.07
9,"cf",2008,1660.31
9,"mar",2003,189.885
9,"mar",2004,179.934
9,"mar",2005,408.737
9,"mar",2006,388.674
9,"mar",2007,382.651
9,"mar",2008,192.812
9,"mmw",1998,0
9,"mmw",2008,0
9,"tour",2005,373813
9,"tour",2006,355201
9,"tour",2007,332474
9,"tour",2008,331005
9,"tour",2009,348148
9,"tour",2010,332474
10,"cf",2003,3181.4
10,"cf",2004,3088.06
10,"cf",2005,2948.06
10,"cf",2006,2781.16
10,"cf",2007,2590.53
10,"cf",2008,2510.63
10,"mmw",1998,0
10,"mmw",2008,0
10,"tour",2005,238484
10,"tour",2006,239789
10,"tour",2007,232706
10,"tour",2008,232405
10,"tour",2009,244562
10,"tour",2010,233318
11,"cf",1999,2278.08
11,"cf",2000,2201.35
11,"cf",2001,2207.68
11,"cf",2002,1764.72
11,"cf",2003,1634.21
11,"cf",2004,1513.18
11,"tour",2005,57132.1
11,"tour",2006,59052.1
11,"tour",2007,59731.2
11,"tour",2008,57459.9
11,"tour",2009,61838.5
11,"tour",2010,60082.4
12,"cf",2003,5511.53
12,"cf",2004,5149.01
12,"cf",2005,4742.68
12,"cf",2006,4199.81
12,"cf",2007,3745.07
12,"cf",2008,1660.31
12,"mar",2003,189.885
12,"mar",2004,179.934
12,"mar",2005,408.737
12,"mar",2006,388.674
12,"mar",2007,382.651
12,"mar",2008,192.812
12,"mmw",1998,0
12,"mmw",2008,0
12,"tour",2005,373813
12,"tour",2006,355201
12,"tour",2007,332474
12,"tour",2008,331005
12,"tour",2009,348148
12,"tour",2010,332474
13,"cf",2003,3181.4
13,"cf",2004,3088.06
13,"cf",2005,2948.06
13,"cf",2006,2781.16
13,"cf",2007,2590.53
13,"cf",2008,2510.63
13,"mmw",1998,0
13,"mmw",2008,0
13,"tour",2005,238484
13,"tour",2006,239789
13,"tour",2007,232706
13,"tour",2008,232405
13,"tour",2009,244562
13,"tour",2010,233318
14,"cf",1999,2278.08
14,"cf",2000,2201.35
14,"cf",2001,2207.68
14,"cf",2002,1764.72
14,"cf",2003,1634.21
