region_id,goal,score,dimension
1.0,CON,NA,trend
2.0,CON,NA,trend
3.0,CON,NA,trend
4.0,CON,NA,trend
5.0,CON,NA,trend
6.0,CON,NA,trend
7.0,CON,NA,trend
8.0,CON,NA,trend
9.0,CON,NA,trend
10.0,CON,NA,trend
11.0,CON,NA,trend
12.0,CON,NA,trend
13.0,CON,NA,trend
14.0,CON,NA,trend
15.0,CON,NA,trend
16.0,CON,NA,trend
17.0,CON,NA,trend
18.0,CON,NA,trend
19.0,CON,NA,trend
20.0,CON,NA,trend
21.0,CON,NA,trend
22.0,CON,NA,trend
23.0,CON,NA,trend
24.0,CON,NA,trend
25.0,CON,NA,trend
26.0,CON,NA,trend
27.0,CON,NA,trend
28.0,CON,NA,trend
29.0,CON,NA,trend
30.0,CON,NA,trend
31.0,CON,NA,trend
32.0,CON,NA,trend
33.0,CON,NA,trend
34.0,CON,NA,trend
35.0,CON,NA,trend
36.0,CON,NA,trend
37.0,CON,NA,trend
38.0,CON,NA,trend
39.0,CON,NA,trend
40.0,CON,NA,trend
41.0,CON,NA,trend
42.0,CON,NA,trend
