"basin_name_holas","basin_name_baltsem","basin_abb_baltsem","year","sal_deep","salin_bottom_depth"
"Arkona Basin","Arkona Basin","AR",1960,16.3752363934426,50
"Bay of Mecklenburg","Arkona Basin","AR",1960,16.3752363934426,50
"Arkona Basin","Arkona Basin","AR",1961,16.4389549041096,50
"Bay of Mecklenburg","Arkona Basin","AR",1961,16.4389549041096,50
"Arkona Basin","Arkona Basin","AR",1962,16.1690578082192,50
"Bay of Mecklenburg","Arkona Basin","AR",1962,16.1690578082192,50
"Arkona Basin","Arkona Basin","AR",1963,17.8841742465753,50
"Bay of Mecklenburg","Arkona Basin","AR",1963,17.8841742465753,50
"Arkona Basin","Arkona Basin","AR",1964,18.0537467213115,50
"Bay of Mecklenburg","Arkona Basin","AR",1964,18.0537467213115,50
"Arkona Basin","Arkona Basin","AR",1965,17.5117843835616,50
"Bay of Mecklenburg","Arkona Basin","AR",1965,17.5117843835616,50
"Arkona Basin","Arkona Basin","AR",1966,17.7941449315068,50
"Bay of Mecklenburg","Arkona Basin","AR",1966,17.7941449315068,50
"Arkona Basin","Arkona Basin","AR",1967,17.0872282191781,50
"Bay of Mecklenburg","Arkona Basin","AR",1967,17.0872282191781,50
"Arkona Basin","Arkona Basin","AR",1968,17.7145387978142,50
"Bay of Mecklenburg","Arkona Basin","AR",1968,17.7145387978142,50
"Arkona Basin","Arkona Basin","AR",1969,18.139121369863,50
"Bay of Mecklenburg","Arkona Basin","AR",1969,18.139121369863,50
"Arkona Basin","Arkona Basin","AR",1970,15.7905764383562,50
"Bay of Mecklenburg","Arkona Basin","AR",1970,15.7905764383562,50
"Arkona Basin","Arkona Basin","AR",1971,17.5484956164384,50
"Bay of Mecklenburg","Arkona Basin","AR",1971,17.5484956164384,50
"Arkona Basin","Arkona Basin","AR",1972,17.647899726776,50
"Bay of Mecklenburg","Arkona Basin","AR",1972,17.647899726776,50
"Arkona Basin","Arkona Basin","AR",1973,17.2551071232877,50
"Bay of Mecklenburg","Arkona Basin","AR",1973,17.2551071232877,50
"Arkona Basin","Arkona Basin","AR",1974,17.3161452054795,50
"Bay of Mecklenburg","Arkona Basin","AR",1974,17.3161452054795,50
"Arkona Basin","Arkona Basin","AR",1975,17.9885805479452,50
"Bay of Mecklenburg","Arkona Basin","AR",1975,17.9885805479452,50
"Arkona Basin","Arkona Basin","AR",1976,18.4480005464481,50
"Bay of Mecklenburg","Arkona Basin","AR",1976,18.4480005464481,50
"Arkona Basin","Arkona Basin","AR",1977,16.1037082191781,50
"Bay of Mecklenburg","Arkona Basin","AR",1977,16.1037082191781,50
"Arkona Basin","Arkona Basin","AR",1978,16.4549536986301,50
"Bay of Mecklenburg","Arkona Basin","AR",1978,16.4549536986301,50
"Arkona Basin","Arkona Basin","AR",1979,17.7902224657534,50
"Bay of Mecklenburg","Arkona Basin","AR",1979,17.7902224657534,50
"Arkona Basin","Arkona Basin","AR",1980,18.0625898907104,50
"Bay of Mecklenburg","Arkona Basin","AR",1980,18.0625898907104,50
"Arkona Basin","Arkona Basin","AR",1981,16.7329197260274,50
"Bay of Mecklenburg","Arkona Basin","AR",1981,16.7329197260274,50
"Arkona Basin","Arkona Basin","AR",1982,16.9436734246575,50
"Bay of Mecklenburg","Arkona Basin","AR",1982,16.9436734246575,50
"Arkona Basin","Arkona Basin","AR",1983,18.3321334246575,50
"Bay of Mecklenburg","Arkona Basin","AR",1983,18.3321334246575,50
"Arkona Basin","Arkona Basin","AR",1984,17.5516691256831,50
