"basin_name_holas","basin_name_baltsem","basin_abb_baltsem","year","sal_surface"
"Arkona Basin","Arkona Basin","AR",1970,16.1625598164384
"Bay of Mecklenburg","Arkona Basin","AR",1970,16.1625598164384
"Arkona Basin","Arkona Basin","AR",1971,16.5067721863014
"Bay of Mecklenburg","Arkona Basin","AR",1971,16.5067721863014
"Arkona Basin","Arkona Basin","AR",1972,18.5988865163934
"Bay of Mecklenburg","Arkona Basin","AR",1972,18.5988865163934
"Arkona Basin","Arkona Basin","AR",1973,17.4369862794521
"Bay of Mecklenburg","Arkona Basin","AR",1973,17.4369862794521
"Arkona Basin","Arkona Basin","AR",1974,17.0168894465753
"Bay of Mecklenburg","Arkona Basin","AR",1974,17.0168894465753
"Arkona Basin","Arkona Basin","AR",1975,16.0532493917808
"Bay of Mecklenburg","Arkona Basin","AR",1975,16.0532493917808
"Arkona Basin","Arkona Basin","AR",1976,17.6644071612022
"Bay of Mecklenburg","Arkona Basin","AR",1976,17.6644071612022
"Arkona Basin","Arkona Basin","AR",1977,17.6625862438356
"Bay of Mecklenburg","Arkona Basin","AR",1977,17.6625862438356
"Arkona Basin","Arkona Basin","AR",1978,17.845574890411
"Bay of Mecklenburg","Arkona Basin","AR",1978,17.845574890411
"Arkona Basin","Arkona Basin","AR",1979,17.2954238712329
"Bay of Mecklenburg","Arkona Basin","AR",1979,17.2954238712329
"Arkona Basin","Arkona Basin","AR",1980,17.1932251448087
"Bay of Mecklenburg","Arkona Basin","AR",1980,17.1932251448087
"Arkona Basin","Arkona Basin","AR",1981,16.6456023479452
"Bay of Mecklenburg","Arkona Basin","AR",1981,16.6456023479452
"Arkona Basin","Arkona Basin","AR",1982,16.2557388849315
"Bay of Mecklenburg","Arkona Basin","AR",1982,16.2557388849315
"Arkona Basin","Arkona Basin","AR",1983,17.028465290411
"Bay of Mecklenburg","Arkona Basin","AR",1983,17.028465290411
"Arkona Basin","Arkona Basin","AR",1984,17.3685368743169
"Bay of Mecklenburg","Arkona Basin","AR",1984,17.3685368743169
"Arkona Basin","Arkona Basin","AR",1985,16.5061430630137
"Bay of Mecklenburg","Arkona Basin","AR",1985,16.5061430630137
"Arkona Basin","Arkona Basin","AR",1986,16.1883749589041
"Bay of Mecklenburg","Arkona Basin","AR",1986,16.1883749589041
"Arkona Basin","Arkona Basin","AR",1987,15.8402400849315
"Bay of Mecklenburg","Arkona Basin","AR",1987,15.8402400849315
"Arkona Basin","Arkona Basin","AR",1988,15.132026510929
"Bay of Mecklenburg","Arkona Basin","AR",1988,15.132026510929
"Arkona Basin","Arkona Basin","AR",1989,16.4613918219178
"Bay of Mecklenburg","Arkona Basin","AR",1989,16.4613918219178
"Arkona Basin","Arkona Basin","AR",1990,16.2774538027397
"Bay of Mecklenburg","Arkona Basin","AR",1990,16.2774538027397
"Arkona Basin","Arkona Basin","AR",1991,17.8188432328767
"Bay of Mecklenburg","Arkona Basin","AR",1991,17.8188432328767
"Arkona Basin","Arkona Basin","AR",1992,15.9828015628415
"Bay of Mecklenburg","Arkona Basin","AR",1992,15.9828015628415
"Arkona Basin","Arkona Basin","AR",1993,17.9693733643836
"Bay of Mecklenburg","Arkona Basin","AR",1993,17.9693733643836
"Arkona Basin","Arkona Basin","AR",1994,18.1924352136986
"Bay of Mecklenburg","Arkona Basin","AR",1994,18.1924352136986
"Arkona Basin","Arkona Basin","AR",1995,15.9746644027397
"Bay of Mecklenburg","Arkona Basin","AR",1995,15.9746644027397
"Arkona Basin","Arkona Basin","AR",1996,16.6946818606557
"Bay of Mecklenburg","Arkona Basin","AR",1996,16.6946818606557
"Arkona Basin","Arkona Basin","AR",1997,17.9592328876712
"Bay of Mecklenburg","Arkona Basin","AR",1997,17.9592328876712
"Arkona Basin","Arkona Basin","AR",1998,17.2705722219178
"Bay of Mecklenburg","Arkona Basin","AR",1998,17.2705722219178
"Arkona Basin","Arkona Basin","AR",1999,15.1533888109589
"Bay of Mecklenburg","Arkona Basin","AR",1999,15.1533888109589
"Arkona Basin","Arkona Basin","AR",2000,15.0252072677596
"Bay of Mecklenburg","Arkona Basin","AR",2000,15.0252072677596
"Arkona Basin","Arkona Basin","AR",2001,15.9214839123288
"Bay of Mecklenburg","Arkona Basin","AR",2001,15.9214839123288
"Arkona Basin","Arkona Basin","AR",2002,15.3882954027397
"Bay of Mecklenburg","Arkona Basin","AR",2002,15.3882954027397
"Arkona Basin","Arkona Basin","AR",2003,18.6232016794521
"Bay of Mecklenburg","Arkona Basin","AR",2003,18.6232016794521
"Arkona Basin","Arkona Basin","AR",2004,17.0140206120219
"Bay of Mecklenburg","Arkona Basin","AR",2004,17.0140206120219
"Arkona Basin","Arkona Basin","AR",2005,15.7851115369863
"Bay of Mecklenburg","Arkona Basin","AR",2005,15.7851115369863
"Arkona Basin","Arkona Basin","AR",2006,17.316124830137
"Bay of Mecklenburg","Arkona Basin","AR",2006,17.316124830137
"Arkona Basin","Arkona Basin","AR",2007,17.3992627835616
"Bay of Mecklenburg","Arkona Basin","AR",2007,17.3992627835616
"Arkona Basin","Arkona Basin","AR",2008,18.0186897814208
"Bay of Mecklenburg","Arkona Basin","AR",2008,18.0186897814208
"Arkona Basin","Arkona Basin","AR",2009,15.5478921808219
"Bay of Mecklenburg","Arkona Basin","AR",2009,15.5478921808219
"Arkona Basin","Arkona Basin","AR",2010,16.4775442410959
"Bay of Mecklenburg","Arkona Basin","AR",2010,16.4775442410959
"Arkona Basin","Arkona Basin","AR",2011,17.1045537863014
"Bay of Mecklenburg","Arkona Basin","AR",2011,17.1045537863014
"Arkona Basin","Arkona Basin","AR",2012,15.5571362704918
"Bay of Mecklenburg","Arkona Basin","AR",2012,15.5571362704918
"Arkona Basin","Arkona Basin","AR",2013,16.4202673534247
"Bay of Mecklenburg","Arkona Basin","AR",2013,16.4202673534247
"Arkona Basin","Arkona Basin","AR",2014,16.4488996958904
"Bay of Mecklenburg","Arkona Basin","AR",2014,16.4488996958904
"Bothnian Bay","Bothnian Bay","BB",1970,4.1342876939726
"Bothnian Bay","Bothnian Bay","BB",1971,4.28450832931507
"Bothnian Bay","Bothnian Bay","BB",1972,4.2965113136612
"Bothnian Bay","Bothnian Bay","BB",1973,4.29502008657534
"Bothnian Bay","Bothnian Bay","BB",1974,4.32002461945206
"Bothnian Bay","Bothnian Bay","BB",1975,4.23196879068493
"Bothnian Bay","Bothnian Bay","BB",1976,4.26566488387978
"Bothnian Bay","Bothnian Bay","BB",1977,4.32302118438356
"Bothnian Bay","Bothnian Bay","BB",1978,4.33841138191781
"Bothnian Bay","Bothnian Bay","BB",1979,4.32548586986301
"Bothnian Bay","Bothnian Bay","BB",1980,4.30340013989071
"Bothnian Bay","Bothnian Bay","BB",1981,4.3380925690411
"Bothnian Bay","Bothnian Bay","BB",1982,4.30429502273973
"Bothnian Bay","Bothnian Bay","BB",1983,4.24903888520548
"Bothnian Bay","Bothnian Bay","BB",1984,4.2045455715847
"Bothnian Bay","Bothnian Bay","BB",1985,4.14613296575342
"Bothnian Bay","Bothnian Bay","BB",1986,4.08974614054795
"Bothnian Bay","Bothnian Bay","BB",1987,4.05627986191781
"Bothnian Bay","Bothnian Bay","BB",1988,3.97831136065574
"Bothnian Bay","Bothnian Bay","BB",1989,3.95085050273973
"Bothnian Bay","Bothnian Bay","BB",1990,3.95454384849315
"Bothnian Bay","Bothnian Bay","BB",1991,3.96642655534247
"Bothnian Bay","Bothnian Bay","BB",1992,3.8914076136612
"Bothnian Bay","Bothnian Bay","BB",1993,3.84304655917808
"Bothnian Bay","Bothnian Bay","BB",1994,3.87485121890411
"Bothnian Bay","Bothnian Bay","BB",1995,3.83592582054795
"Bothnian Bay","Bothnian Bay","BB",1996,3.85060010983607
"Bothnian Bay","Bothnian Bay","BB",1997,3.90465718438356
"Bothnian Bay","Bothnian Bay","BB",1998,3.91881219150685
"Bothnian Bay","Bothnian Bay","BB",1999,3.84379803342466
"Bothnian Bay","Bothnian Bay","BB",2000,3.76738728415301
"Bothnian Bay","Bothnian Bay","BB",2001,3.70233072027397
"Bothnian Bay","Bothnian Bay","BB",2002,3.68974909753425
"Bothnian Bay","Bothnian Bay","BB",2003,3.7484515709589
"Bothnian Bay","Bothnian Bay","BB",2004,3.73670434590164
"Bothnian Bay","Bothnian Bay","BB",2005,3.66008871041096
"Bothnian Bay","Bothnian Bay","BB",2006,3.69056937589041
"Bothnian Bay","Bothnian Bay","BB",2007,3.71969208082192
"Bothnian Bay","Bothnian Bay","BB",2008,3.62988432377049
"Bothnian Bay","Bothnian Bay","BB",2009,3.63889366794521
"Bothnian Bay","Bothnian Bay","BB",2010,3.66353664136986
"Bothnian Bay","Bothnian Bay","BB",2011,3.65503842082192
"Bothnian Bay","Bothnian Bay","BB",2012,3.48698490601093
"Bothnian Bay","Bothnian Bay","BB",2013,3.46507239643836
"Bothnian Bay","Bothnian Bay","BB",2014,3.34218882246575
"Bornholm Basin","Bornholm Basin","BN",1970,16.004598460274
"Gdansk Basin","Bornholm Basin","BN",1970,16.004598460274
"Bornholm Basin","Bornholm Basin","BN",1971,15.4237769616438
"Gdansk Basin","Bornholm Basin","BN",1971,15.4237769616438
"Bornholm Basin","Bornholm Basin","BN",1972,17.1721777322404
"Gdansk Basin","Bornholm Basin","BN",1972,17.1721777322404
"Bornholm Basin","Bornholm Basin","BN",1973,16.9941293369863
"Gdansk Basin","Bornholm Basin","BN",1973,16.9941293369863
"Bornholm Basin","Bornholm Basin","BN",1974,16.7010392356164
"Gdansk Basin","Bornholm Basin","BN",1974,16.7010392356164
"Bornholm Basin","Bornholm Basin","BN",1975,15.7825343232877
"Gdansk Basin","Bornholm Basin","BN",1975,15.7825343232877
"Bornholm Basin","Bornholm Basin","BN",1976,17.1983594234973
"Gdansk Basin","Bornholm Basin","BN",1976,17.1983594234973
"Bornholm Basin","Bornholm Basin","BN",1977,16.6625623890411
"Gdansk Basin","Bornholm Basin","BN",1977,16.6625623890411
"Bornholm Basin","Bornholm Basin","BN",1978,16.2926561041096
"Gdansk Basin","Bornholm Basin","BN",1978,16.2926561041096
"Bornholm Basin","Bornholm Basin","BN",1979,15.9086994547945
"Gdansk Basin","Bornholm Basin","BN",1979,15.9086994547945
"Bornholm Basin","Bornholm Basin","BN",1980,15.6756895928962
"Gdansk Basin","Bornholm Basin","BN",1980,15.6756895928962
"Bornholm Basin","Bornholm Basin","BN",1981,14.5309279671233
"Gdansk Basin","Bornholm Basin","BN",1981,14.5309279671233
"Bornholm Basin","Bornholm Basin","BN",1982,14.3826347780822
"Gdansk Basin","Bornholm Basin","BN",1982,14.3826347780822
"Bornholm Basin","Bornholm Basin","BN",1983,14.5117199835616
"Gdansk Basin","Bornholm Basin","BN",1983,14.5117199835616
"Bornholm Basin","Bornholm Basin","BN",1984,15.2140148579235
"Gdansk Basin","Bornholm Basin","BN",1984,15.2140148579235
"Bornholm Basin","Bornholm Basin","BN",1985,14.7356891643836
"Gdansk Basin","Bornholm Basin","BN",1985,14.7356891643836
"Bornholm Basin","Bornholm Basin","BN",1986,13.9847494191781
"Gdansk Basin","Bornholm Basin","BN",1986,13.9847494191781
"Bornholm Basin","Bornholm Basin","BN",1987,14.0765382739726
"Gdansk Basin","Bornholm Basin","BN",1987,14.0765382739726
"Bornholm Basin","Bornholm Basin","BN",1988,13.6934004781421
"Gdansk Basin","Bornholm Basin","BN",1988,13.6934004781421
"Bornholm Basin","Bornholm Basin","BN",1989,14.8471337835616
