"basin_name_holas","basin_name_baltsem","basin_abb_baltsem","year","sal_surface"
"Arkona Basin","Arkona Basin","AR",1960,18.6414084699454
"Bay of Mecklenburg","Arkona Basin","AR",1960,18.6414084699454
"Arkona Basin","Arkona Basin","AR",1961,17.4107830136986
"Bay of Mecklenburg","Arkona Basin","AR",1961,17.4107830136986
"Arkona Basin","Arkona Basin","AR",1962,17.4365205479452
"Bay of Mecklenburg","Arkona Basin","AR",1962,17.4365205479452
"Arkona Basin","Arkona Basin","AR",1963,17.0029876712329
"Bay of Mecklenburg","Arkona Basin","AR",1963,17.0029876712329
"Arkona Basin","Arkona Basin","AR",1964,17.3195639344262
"Bay of Mecklenburg","Arkona Basin","AR",1964,17.3195639344262
"Arkona Basin","Arkona Basin","AR",1965,16.5048073972603
"Bay of Mecklenburg","Arkona Basin","AR",1965,16.5048073972603
"Arkona Basin","Arkona Basin","AR",1966,16.9156890410959
"Bay of Mecklenburg","Arkona Basin","AR",1966,16.9156890410959
"Arkona Basin","Arkona Basin","AR",1967,17.6231356164384
"Bay of Mecklenburg","Arkona Basin","AR",1967,17.6231356164384
"Arkona Basin","Arkona Basin","AR",1968,18.6357117486339
"Bay of Mecklenburg","Arkona Basin","AR",1968,18.6357117486339
"Arkona Basin","Arkona Basin","AR",1969,17.5508471232877
"Bay of Mecklenburg","Arkona Basin","AR",1969,17.5508471232877
"Arkona Basin","Arkona Basin","AR",1970,19.1325967123288
"Bay of Mecklenburg","Arkona Basin","AR",1970,19.1325967123288
"Arkona Basin","Arkona Basin","AR",1971,17.3394087671233
"Bay of Mecklenburg","Arkona Basin","AR",1971,17.3394087671233
"Arkona Basin","Arkona Basin","AR",1972,17.1625316939891
"Bay of Mecklenburg","Arkona Basin","AR",1972,17.1625316939891
"Arkona Basin","Arkona Basin","AR",1973,16.9959010958904
"Bay of Mecklenburg","Arkona Basin","AR",1973,16.9959010958904
"Arkona Basin","Arkona Basin","AR",1974,17.4980021917808
"Bay of Mecklenburg","Arkona Basin","AR",1974,17.4980021917808
"Arkona Basin","Arkona Basin","AR",1975,17.0113369863014
"Bay of Mecklenburg","Arkona Basin","AR",1975,17.0113369863014
"Arkona Basin","Arkona Basin","AR",1976,17.505306010929
"Bay of Mecklenburg","Arkona Basin","AR",1976,17.505306010929
