"basin_name_holas","basin_name_baltsem","basin_abb_baltsem","year","sal_surface"
"Arkona Basin","Arkona Basin","AR",1960,16.3752363934426
"Bay of Mecklenburg","Arkona Basin","AR",1960,16.3752363934426
"Arkona Basin","Arkona Basin","AR",1961,16.4389549041096
"Bay of Mecklenburg","Arkona Basin","AR",1961,16.4389549041096
"Arkona Basin","Arkona Basin","AR",1962,16.1690578082192
"Bay of Mecklenburg","Arkona Basin","AR",1962,16.1690578082192
"Arkona Basin","Arkona Basin","AR",1963,17.8841742465753
"Bay of Mecklenburg","Arkona Basin","AR",1963,17.8841742465753
"Arkona Basin","Arkona Basin","AR",1964,18.0537467213115
"Bay of Mecklenburg","Arkona Basin","AR",1964,18.0537467213115
"Arkona Basin","Arkona Basin","AR",1965,17.5117843835616
"Bay of Mecklenburg","Arkona Basin","AR",1965,17.5117843835616
"Arkona Basin","Arkona Basin","AR",1966,17.7941449315068
"Bay of Mecklenburg","Arkona Basin","AR",1966,17.7941449315068
"Arkona Basin","Arkona Basin","AR",1967,17.0872282191781
"Bay of Mecklenburg","Arkona Basin","AR",1967,17.0872282191781
"Arkona Basin","Arkona Basin","AR",1968,17.7145387978142
"Bay of Mecklenburg","Arkona Basin","AR",1968,17.7145387978142
"Arkona Basin","Arkona Basin","AR",1969,18.139121369863
"Bay of Mecklenburg","Arkona Basin","AR",1969,18.139121369863
"Arkona Basin","Arkona Basin","AR",1970,15.7905764383562
"Bay of Mecklenburg","Arkona Basin","AR",1970,15.7905764383562
"Arkona Basin","Arkona Basin","AR",1971,17.5484956164384
"Bay of Mecklenburg","Arkona Basin","AR",1971,17.5484956164384
"Arkona Basin","Arkona Basin","AR",1972,17.647899726776
"Bay of Mecklenburg","Arkona Basin","AR",1972,17.647899726776
"Arkona Basin","Arkona Basin","AR",1973,17.2551071232877
"Bay of Mecklenburg","Arkona Basin","AR",1973,17.2551071232877
"Arkona Basin","Arkona Basin","AR",1974,17.3161452054795
"Bay of Mecklenburg","Arkona Basin","AR",1974,17.3161452054795
"Arkona Basin","Arkona Basin","AR",1975,17.9885805479452
"Bay of Mecklenburg","Arkona Basin","AR",1975,17.9885805479452
"Arkona Basin","Arkona Basin","AR",1976,18.4480005464481
"Bay of Mecklenburg","Arkona Basin","AR",1976,18.4480005464481
"Arkona Basin","Arkona Basin","AR",1977,16.1037082191781
"Bay of Mecklenburg","Arkona Basin","AR",1977,16.1037082191781
"Arkona Basin","Arkona Basin","AR",1978,16.4549536986301
"Bay of Mecklenburg","Arkona Basin","AR",1978,16.4549536986301
"Arkona Basin","Arkona Basin","AR",1979,17.7902224657534
"Bay of Mecklenburg","Arkona Basin","AR",1979,17.7902224657534
"Arkona Basin","Arkona Basin","AR",1980,18.0625898907104
"Bay of Mecklenburg","Arkona Basin","AR",1980,18.0625898907104
"Arkona Basin","Arkona Basin","AR",1981,16.7329197260274
