"basin_name_holas","basin_name_baltsem","basin_abb_baltsem","year","sal_deep","salin_bottom_depth"
"Arkona Basin","Arkona Basin","AR",1970,16.1625598164384,50
"Bay of Mecklenburg","Arkona Basin","AR",1970,16.1625598164384,50
"Arkona Basin","Arkona Basin","AR",1971,16.5067721863014,50
"Bay of Mecklenburg","Arkona Basin","AR",1971,16.5067721863014,50
"Arkona Basin","Arkona Basin","AR",1972,18.5988865163934,50
"Bay of Mecklenburg","Arkona Basin","AR",1972,18.5988865163934,50
"Arkona Basin","Arkona Basin","AR",1973,17.4369862794521,50
"Bay of Mecklenburg","Arkona Basin","AR",1973,17.4369862794521,50
"Arkona Basin","Arkona Basin","AR",1974,17.0168894465753,50
"Bay of Mecklenburg","Arkona Basin","AR",1974,17.0168894465753,50
"Arkona Basin","Arkona Basin","AR",1975,16.0532493917808,50
"Bay of Mecklenburg","Arkona Basin","AR",1975,16.0532493917808,50
"Arkona Basin","Arkona Basin","AR",1976,17.6644071612022,50
"Bay of Mecklenburg","Arkona Basin","AR",1976,17.6644071612022,50
"Arkona Basin","Arkona Basin","AR",1977,17.6625862438356,50
"Bay of Mecklenburg","Arkona Basin","AR",1977,17.6625862438356,50
"Arkona Basin","Arkona Basin","AR",1978,17.845574890411,50
"Bay of Mecklenburg","Arkona Basin","AR",1978,17.845574890411,50
"Arkona Basin","Arkona Basin","AR",1979,17.2954238712329,50
"Bay of Mecklenburg","Arkona Basin","AR",1979,17.2954238712329,50
"Arkona Basin","Arkona Basin","AR",1980,17.1932251448087,50
"Bay of Mecklenburg","Arkona Basin","AR",1980,17.1932251448087,50
"Arkona Basin","Arkona Basin","AR",1981,16.6456023479452,50
"Bay of Mecklenburg","Arkona Basin","AR",1981,16.6456023479452,50
"Arkona Basin","Arkona Basin","AR",1982,16.2557388849315,50
"Bay of Mecklenburg","Arkona Basin","AR",1982,16.2557388849315,50
"Arkona Basin","Arkona Basin","AR",1983,17.028465290411,50
"Bay of Mecklenburg","Arkona Basin","AR",1983,17.028465290411,50
"Arkona Basin","Arkona Basin","AR",1984,17.3685368743169,50
"Bay of Mecklenburg","Arkona Basin","AR",1984,17.3685368743169,50
"Arkona Basin","Arkona Basin","AR",1985,16.5061430630137,50
"Bay of Mecklenburg","Arkona Basin","AR",1985,16.5061430630137,50
"Arkona Basin","Arkona Basin","AR",1986,16.1883749589041,50
"Bay of Mecklenburg","Arkona Basin","AR",1986,16.1883749589041,50
"Arkona Basin","Arkona Basin","AR",1987,15.8402400849315,50
"Bay of Mecklenburg","Arkona Basin","AR",1987,15.8402400849315,50
"Arkona Basin","Arkona Basin","AR",1988,15.132026510929,50
"Bay of Mecklenburg","Arkona Basin","AR",1988,15.132026510929,50
"Arkona Basin","Arkona Basin","AR",1989,16.4613918219178,50
"Bay of Mecklenburg","Arkona Basin","AR",1989,16.4613918219178,50
"Arkona Basin","Arkona Basin","AR",1990,16.2774538027397,50
"Bay of Mecklenburg","Arkona Basin","AR",1990,16.2774538027397,50
"Arkona Basin","Arkona Basin","AR",1991,17.8188432328767,50
"Bay of Mecklenburg","Arkona Basin","AR",1991,17.8188432328767,50
"Arkona Basin","Arkona Basin","AR",1992,15.9828015628415,50
"Bay of Mecklenburg","Arkona Basin","AR",1992,15.9828015628415,50
"Arkona Basin","Arkona Basin","AR",1993,17.9693733643836,50
"Bay of Mecklenburg","Arkona Basin","AR",1993,17.9693733643836,50
"Arkona Basin","Arkona Basin","AR",1994,18.1924352136986,50
"Bay of Mecklenburg","Arkona Basin","AR",1994,18.1924352136986,50
"Arkona Basin","Arkona Basin","AR",1995,15.9746644027397,50
"Bay of Mecklenburg","Arkona Basin","AR",1995,15.9746644027397,50
"Arkona Basin","Arkona Basin","AR",1996,16.6946818606557,50
"Bay of Mecklenburg","Arkona Basin","AR",1996,16.6946818606557,50
"Arkona Basin","Arkona Basin","AR",1997,17.9592328876712,50
"Bay of Mecklenburg","Arkona Basin","AR",1997,17.9592328876712,50
"Arkona Basin","Arkona Basin","AR",1998,17.2705722219178,50
"Bay of Mecklenburg","Arkona Basin","AR",1998,17.2705722219178,50
"Arkona Basin","Arkona Basin","AR",1999,15.1533888109589,50
