year,cod_condition
1976,0.99874385
1977,0.961405565
1978,0.92406728
1979,0.998828838
1980,0.986434115
1981,0.974039392
1982,0.996228537
1983,1.000168083
1984,0.989793628
1985,1.11699551
1986,1.03649421
1987,1.074716737
1988,1.060659645
1989,1.084297704
1990,1.040037704
1991,1.029792766
1992,1.096205053
1993,1.162617341
1994,1.042672376
1995,1.043907306
1996,1.141768806
1997,1.017660842
1998,0.986630109
1999,0.968229742
2000,0.969786245
2001,0.934719836
2002,0.931752374
2003,0.925648591
2004,0.901516647
2005,0.891854451
2006,0.895333165
2007,0.884587624
2008,0.871252787
2009,0.840284428
2010,0.871225508
2011,0.864640189
2012,0.860447555
2013,0.859542948
2014,0.85234895
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
