Year,cod_2224,cod_2532,her_3a22,her_2532,her_riga,her_30,spr_2232
1994,31666,161943,226160,756137,122244,691764,1402000
1995,31257,187587,194658,661870,113805,548532,1489000
1996,34269,163571,135537,607154,102933,520216,1904000
1997,35561,126121,148005,571598,100901,425917,1879000
1998,27529,98027,115844,520056,79436,391601,1406000
1999,31761,86422,113550,442120,81516,419996,1427000
2000,36534,93714,121297,451656,81505,435391,1352000
2001,30730,88965,129573,405680,77540,458630,1213000
2002,24416,82372,162755,422897,99111,460469,956000
2003,19176,76420,130875,489399,84773,431922,812000
2004,21068,70545,138552,499874,90379,438450,1053000
2005,27065,62193,133653,561197,71574,510426,1313000
2006,31195,71182,156373,624152,68967,497325,1091000
2007,32370,78590,122516,655926,88226,477347,967000
2008,22697,99708,105451,674088,85910,469301,1051000
2009,15386,120692,94656,786991,100413,560733,999000
2010,13747,139944,91950,857453,93128,637303,1172000
2011,13586,132191,89949,859512,92260,598391,916000
2012,16012,153584,93153,898035,76022,600189,863000
2013,14118,179872,110747,956055,87909,674684,899000
