gis_name,species_name,IUCN
Alisma_wah,Alisma wahlenbergii,VU
Botrytella,Botrytella reinboldii,DD
C_braunii,Chara braunii,VU
C_conniven,Chara connivens,LC
C_horrida,Chara horrida,NT
C_tomentos,Chara tomentosa,LC
Crassula_a,Crassula aquatica,NT
Delamarea_,Delamarea attenuata,DD
F_serratus,Fucus serratus,LC
F_vesiculo,Fucus vesiculosus,LC
Furcellari,Furcellaria lumbricalis,LC
Helminthor,Helminthora divaricata,DD
Hippuria_t,Hippuris tetraphylla,EN
Lamprotham,Lamprothamnium papulosum,EN
Myriocladi,Myriocladia lovenii,DD
N_hyalina,Nitella hyalina,VU
Nitellopsi,Nitellopsis obtusa,NT
Persicaria,Persicaria foliosa,EN
Potamogeto,Potamogeton friesii,NT
Rosenvingi,Rosenvingiella constricta,DD
Stypocaulo,Stypocaulon scoparium,DD
Z_marina,Zostera marina,LC
Z_noltii,Zostera noltii,VU
