country,country_abb,BHI_ID,nuts2
Poland,PL,21,PL63
Germany,DE,13,DE80
Germany,DE,10,DE80
Germany,DE,10,DEF0
Germany,DE,16,DE80
Germany,PL,16,PL42
Germany,DE,4,DEF0
Germany,DK,4,DK03
Germany,DE,8,DEF0
Denmark,DK,12,DK01
Denmark,DK,12,DK02
Denmark,DK,9,DK02
Denmark,DK,15,DK01
Denmark,DE,3,DEF0
Denmark,DK,3,DK02
Denmark,DK,3,DK03
Denmark,DK,3,DK04
Denmark,DK,2,DK01
Denmark,DK,2,DK02
Denmark,DK,2,DK04
Denmark,DK,2,DK05
Denmark,DK,7,DK02
Denmark,DK,6,DK01
Estonia,EE,25,EE00
Estonia,EE,34,EE00
Estonia,EE,28,EE00
Estonia,LV,28,LV00
Estonia,EE,31,EE00
Finland,FI,36,FI18
Finland,FI,36,FI20
Finland,FI,42,FI19
Finland,FI,42,FI1A
Finland,SE,42,SE33
Finland,FI,38,FI18
Finland,FI,38,FI19
Finland,FI,38,FI20
Finland,FI,32,FI18
Finland,FI,40,FI19
Lithuania,LT,23,LT00
Lithuania,LV,23,LV00
Latvia,LT,24,LT00
Latvia,LV,24,LV00
Latvia,EE,27,EE00
Latvia,LV,27,LV00
Poland,DE,17,DE80
Poland,PL,17,PL42
Poland,PL,17,PL63
Poland,PL,18,PL62
Poland,PL,18,PL63
Russia,LT,22,LT00
Russia,PL,19,PL62
Russia,EE,33,EE00
Russia,FI,33,FI18
Sweden,SE,35,SE11
Sweden,SE,35,SE12
Sweden,SE,11,SE22
Sweden,SE,14,SE21
Sweden,SE,14,SE22
Sweden,SE,37,SE12
Sweden,SE,37,SE31
Sweden,SE,37,SE32
Sweden,SE,37,SE33
Sweden,FI,41,FI1A
Sweden,SE,41,SE33
Sweden,SE,20,SE21
Sweden,SE,1,SE22
Sweden,SE,1,SE23
Sweden,SE,29,SE11
Sweden,SE,29,SE12
Sweden,SE,39,SE33
Sweden,SE,5,SE22
Sweden,SE,26,SE12
Sweden,SE,26,SE21
Sweden,SE,26,SE22
Denmark,DK,2,DK04
Denmark,DK,2,DK05
Poland,PL,18,PL62
Poland,PL,18,PL63
