rgn_id,dimension,score
1,status,100
2,status,100
3,status,94
4,status,94
5,status,NA
6,status,NA
7,status,81
8,status,81
9,status,87
10,status,87
11,status,93
12,status,93
13,status,93
14,status,100
15,status,100
16,status,100
17,status,100
18,status,83
19,status,83
20,status,92
21,status,92
22,status,92
23,status,92
24,status,92
25,status,92
26,status,65
27,status,70
28,status,70
29,status,76
30,status,76
31,status,76
32,status,89
33,status,89
34,status,89
35,status,72
36,status,72
37,status,NA
38,status,71
39,status,97
40,status,97
41,status,78
42,status,78
