country,num_invasive,ref_pt,score,BHI_ID
Denmark,37,10.0,1.0,2
Denmark,37,10.0,1.0,3
Denmark,37,10.0,1.0,6
Denmark,37,10.0,1.0,7
Denmark,37,10.0,1.0,9
Denmark,37,10.0,1.0,12
Denmark,37,10.0,1.0,15
Estonia,34,10.0,1.0,25
Estonia,34,10.0,1.0,28
Estonia,34,10.0,1.0,31
Estonia,34,10.0,1.0,34
Finland,45,10.0,1.0,30
Finland,45,10.0,1.0,32
Finland,45,10.0,1.0,36
Finland,45,10.0,1.0,38
Finland,45,10.0,1.0,40
Finland,45,10.0,1.0,42
Germany,64,10.0,1.0,4
Germany,64,10.0,1.0,8
Germany,64,10.0,1.0,10
Germany,64,10.0,1.0,13
Germany,64,10.0,1.0,16
Latvia,40,10.0,1.0,24
Latvia,40,10.0,1.0,27
Lithuania,33,10.0,1.0,23
Poland,58,10.0,1.0,17
Poland,58,10.0,1.0,18
Poland,58,10.0,1.0,21
Russia,82,10.0,1.0,19
Russia,82,10.0,1.0,22
Russia,82,10.0,1.0,33
Sweden,49,10.0,1.0,1
Sweden,49,10.0,1.0,5
Sweden,49,10.0,1.0,11
Sweden,49,10.0,1.0,14
Sweden,49,10.0,1.0,20
Sweden,49,10.0,1.0,26
Sweden,49,10.0,1.0,29
Sweden,49,10.0,1.0,35
Sweden,49,10.0,1.0,37
Sweden,49,10.0,1.0,39
Sweden,49,10.0,1.0,41
