region_id,goal,score,dimension
1.0,CON,NA,status
2.0,CON,NA,status
3.0,CON,NA,status
4.0,CON,NA,status
5.0,CON,NA,status
6.0,CON,NA,status
7.0,CON,NA,status
8.0,CON,NA,status
9.0,CON,NA,status
10.0,CON,NA,status
11.0,CON,NA,status
12.0,CON,NA,status
13.0,CON,NA,status
14.0,CON,NA,status
15.0,CON,NA,status
16.0,CON,NA,status
17.0,CON,NA,status
18.0,CON,NA,status
19.0,CON,NA,status
20.0,CON,NA,status
21.0,CON,NA,status
22.0,CON,NA,status
23.0,CON,NA,status
24.0,CON,NA,status
25.0,CON,NA,status
26.0,CON,NA,status
27.0,CON,NA,status
28.0,CON,NA,status
29.0,CON,NA,status
30.0,CON,NA,status
31.0,CON,NA,status
32.0,CON,NA,status
33.0,CON,NA,status
34.0,CON,NA,status
35.0,CON,NA,status
36.0,CON,NA,status
37.0,CON,NA,status
38.0,CON,NA,status
39.0,CON,NA,status
40.0,CON,NA,status
41.0,CON,NA,status
42.0,CON,NA,status
