"rgn_id","year","employ_pop_bhi"
1,2000,437489.18643644
1,2001,453582.137413275
1,2002,456333.091404174
1,2003,455559.401827974
1,2004,450152.130941445
1,2005,441190.010233924
1,2006,448127.547979111
1,2007,451389.930367426
1,2008,450736.546327106
1,2009,434213.710087972
1,2010,437794.228349575
1,2011,448247.853514992
1,2012,450336.867318701
1,2013,451884.2464711
1,2014,457936.345251078
2,2000,NA
2,2001,NA
2,2002,NA
2,2003,NA
2,2004,NA
2,2005,NA
2,2006,NA
2,2007,399183.553678151
2,2008,402663.170597789
2,2009,390940.309451357
2,2010,380970.935964789
2,2011,379302.960886769
2,2012,376421.72731538
2,2013,376571.374202802
2,2014,379034.317617171
3,2000,NA
3,2000,NA
3,2001,NA
3,2001,NA
3,2002,NA
3,2002,NA
3,2003,NA
3,2003,NA
3,2004,NA
3,2004,NA
3,2005,NA
3,2005,NA
3,2006,NA
3,2006,NA
3,2007,1429.3589337072
3,2007,1053873.89369469
3,2008,1436.8621302096
3,2008,1060497.98483511
3,2009,1380.5881564416
3,2009,1023601.16398175
3,2010,1341.196374804
3,2010,995332.327271168
3,2011,1352.4511695576
3,2011,999183.568107139
3,2012,1343.0721739296
3,2012,989222.435132339
3,2013,1326.1899817992
3,2013,981781.686503219
3,2014,1329.9415800504
3,2014,984887.786288007
4,2000,85457.9465236936
4,2001,85202.0844083532
4,2002,84178.6359469916
4,2003,85969.6707543744
4,2004,84178.6359469916
4,2005,84946.2222930128
4,2006,87632.774504087
4,2007,89295.8782537996
4,2008,90575.1888305016
4,2009,90319.3267151612
4,2010,91214.8441188526
4,2011,93005.8789262354
4,2012,94029.327387597
4,2013,94285.1895029374
4,2014,94924.8447912884
5,2000,269702.758771078
5,2001,282376.016158265
5,2002,282376.016158265
5,2003,280791.858984866
5,2004,273663.151704574
5,2005,276435.426758021
5,2006,278811.662518118
5,2007,286336.409091761
5,2008,289504.723438558
5,2009,281583.937571566
5,2010,283564.134038314
5,2011,283564.134038314
5,2012,282772.055451614
5,2013,285940.369798411
5,2014,285940.369798411
6,2000,NA
6,2001,NA
6,2002,NA
6,2003,NA
6,2004,NA
6,2005,NA
6,2006,NA
6,2007,517409.036085917
6,2008,526683.973992707
6,2009,510121.584873439
6,2010,496871.673578025
6,2011,491571.709059859
6,2012,489584.222365547
6,2013,492896.700189401
6,2014,493559.195754171
7,2000,NA
7,2001,NA
7,2002,NA
7,2003,NA
7,2004,NA
7,2005,NA
7,2006,NA
7,2007,6341.588741522
7,2008,6284.0872892025
7,2009,6144.440904998
7,2010,6021.2235071705
7,2011,6004.7945207935
7,2012,5914.43509572
7,2013,5881.577122966
7,2014,5939.0785752855
8,2000,313917.850210818
8,2001,312977.976407791
8,2002,309218.481195686
