"saup_id","rgn_id","prop_area"
752,1,0.0523125
208,2,0.0664415
208,3,0.0385491
276,4,0.000168058
752,5,0.0422232
208,6,0.0165333
208,7,0.0910939
276,8,0.407587
208,9,0.00129868
276,10,0.21012
752,11,0.119734
208,12,0.0349511
276,13,0.382125
752,14,0.0228829
208,15,0.112135
NA,16,NA
616,17,0.00491362
616,18,0.394846
645,19,0.0044136
647,19,0.000225529
648,19,3.92468e-05
649,19,0.0115352
650,19,0.0110562
651,19,4.3042e-05
752,20,0.251229
616,21,0.600241
645,22,0.00138464
647,22,7.07533e-05
648,22,1.23126e-05
649,22,0.00361885
650,22,0.00346856
651,22,1.35032e-05
440,23,1
428,24,0.819069
233,25,0.0823705
752,26,0.0539631
428,27,0.180931
233,28,0.409289
752,29,0.0189707
246,30,0.13162
233,31,0.220036
246,32,0.746302
645,33,3.77083e-05
647,33,1.92685e-06
648,33,3.35312e-07
649,33,9.85531e-05
650,33,9.44603e-05
651,33,3.67736e-07
233,34,0.0742856
752,35,0.0113293
246,36,0.10381
752,37,0.0918987
246,38,0.0182686
752,39,0.0552553
NA,40,NA
752,41,0.0653995
NA,42,NA
