"rgn_id","type","label"
1,"eez","Swe - Bothnian Bay"
2,"eez","Swe - Bothnian Sea"
3,"eez","Swe - Baltic Proper"
4,"eez","Swe - Kattegat"
5,"eez","Swe - The Sound"
6,"eez","Fin - Bothnian Bay"
7,"eez","Fin - Bothnian Sea"
8,"eez","Fin - Archipelago Sea"
9,"eez","Fin - Gulf of Finland"
10,"eez","Fin - Baltic Proper"
11,"eez","Den - Baltic Proper"
12,"eez","Den - Kattegat"
13,"eez","Den - The Sound"
14,"eez","Den - Western Baltic"
15,"eez","Ger - Baltic Proper"
16,"eez","Ger - Western Baltic"
17,"eez","Pol - Baltic Proper"
18,"eez","Rus - Gulf of Finland"
19,"eez","Rus - Baltic Proper"
20,"eez","Lit - Baltic Proper"
21,"eez","Lat - Baltic Proper"
22,"eez","Lat - Gulf of Riga"
23,"eez","Est - Gulf of Finland"
24,"eez","Est - Baltic Proper"
25,"eez","Est - Gulf of Riga"
