"rgn_id","habitat","extent_rank"
1,"seagrass",8.73251
1,"saltmarsh",87.9
1,"seaice_shoreline",23223
2,"seagrass",747.503
2,"seaice_shoreline",17402
3,"seagrass",747.503
3,"seaice_shoreline",17402
4,"saltmarsh",850.35
4,"seaice_shoreline",9080.88
5,"seagrass",8.73251
5,"saltmarsh",87.9
5,"seaice_shoreline",23223
6,"seagrass",747.503
6,"seaice_shoreline",17402
7,"seagrass",747.503
7,"seaice_shoreline",17402
8,"saltmarsh",850.35
8,"seaice_shoreline",9080.88
9,"seagrass",747.503
9,"seaice_shoreline",17402
10,"saltmarsh",850.35
10,"seaice_shoreline",9080.88
11,"seagrass",8.73251
11,"saltmarsh",87.9
11,"seaice_shoreline",23223
12,"seagrass",747.503
12,"seaice_shoreline",17402
13,"saltmarsh",850.35
13,"seaice_shoreline",9080.88
14,"seagrass",8.73251
14,"saltmarsh",87.9
14,"seaice_shoreline",23223
15,"seagrass",747.503
15,"seaice_shoreline",17402
16,NA,NA
17,"seagrass",2.61975
17,"saltmarsh",21.15
18,"seagrass",2.61975
18,"saltmarsh",21.15
19,"seagrass",668.91
19,"seaice_shoreline",1.84075e+06
20,"seagrass",8.73251
20,"saltmarsh",87.9
20,"seaice_shoreline",23223
21,"seagrass",2.61975
21,"saltmarsh",21.15
22,"seagrass",668.91
22,"seaice_shoreline",1.84075e+06
23,"seaice_shoreline",1341.91
24,"saltmarsh",2.46
24,"seaice_shoreline",8100.49
25,"saltmarsh",15
25,"seaice_shoreline",14368.9
26,"seagrass",8.73251
26,"saltmarsh",87.9
26,"seaice_shoreline",23223
27,"saltmarsh",2.46
27,"seaice_shoreline",8100.49
28,"saltmarsh",15
28,"seaice_shoreline",14368.9
29,"seagrass",8.73251
29,"saltmarsh",87.9
29,"seaice_shoreline",23223
30,"seaice_shoreline",32959.6
31,"saltmarsh",15
31,"seaice_shoreline",14368.9
32,"seaice_shoreline",32959.6
33,"seagrass",668.91
33,"seaice_shoreline",1.84075e+06
34,"saltmarsh",15
34,"seaice_shoreline",14368.9
35,"seagrass",8.73251
35,"saltmarsh",87.9
35,"seaice_shoreline",23223
36,"seaice_shoreline",32959.6
37,"seagrass",8.73251
37,"saltmarsh",87.9
37,"seaice_shoreline",23223
38,"seaice_shoreline",32959.6
39,"seagrass",8.73251
39,"saltmarsh",87.9
39,"seaice_shoreline",23223
40,NA,NA
41,"seagrass",8.73251
41,"saltmarsh",87.9
41,"seaice_shoreline",23223
42,NA,NA
