"","rgn_id","year","values"
"1",1,2000,6.43454157782516
"2",1,2001,7.66996699669967
"3",1,2002,7.74227799227799
"4",1,2003,7.32298850574713
"5",1,2004,6.81045576407507
"6",1,2005,7.78630136986301
"7",1,2006,8.09830917874396
"8",1,2007,5.5261744966443
"9",1,2008,6.9535472972973
"10",1,2009,7.64976599063963
"11",1,2010,7.63149606299213
"12",1,2011,6.06
"13",1,2012,8.10062695924765
"14",1,2013,9.02925045703839
"15",1,2014,7.40765550239234
"16",1,2015,6.67467532467532
"17",2,2000,6.60643274853801
"18",2,2001,7.03073170731707
"19",2,2002,7.96008403361345
"20",2,2003,6.58938271604938
"21",2,2004,7.01486068111455
"22",2,2005,7.87517730496454
"23",2,2006,7.41428571428571
"24",2,2007,7.52359550561798
"25",2,2008,7.32058823529412
"26",2,2009,9.02822085889571
"27",2,2014,6
"28",3,2000,6.23817204301075
"29",3,2001,7.01585677749361
"30",3,2002,7.32952029520295
"31",3,2003,6.73833780160858
"32",3,2004,6.08693693693694
"33",3,2005,7.01176470588235
"34",3,2006,6.28150289017341
"35",3,2007,4.28
"36",3,2008,5.37857142857143
"37",3,2009,6.74594594594595
"38",3,2010,3.9
"39",3,2011,4.8
"40",4,2007,3.73333333333333
"41",4,2008,4.23333333333333
"42",4,2009,5.86666666666667
"43",4,2010,5.15
"44",5,2000,7.59898648648649
"45",5,2001,8.03403361344538
"46",5,2002,7.30738636363636
"47",5,2003,7.6728323699422
"48",5,2004,6.85993883792049
"49",5,2005,7.59166666666667
"50",5,2006,7.46775244299674
"51",5,2007,6.10443349753695
"52",5,2008,5.9745
"53",5,2009,7.16777251184834
"54",5,2010,7.17164179104478
"55",5,2011,5.51515151515152
"56",5,2012,6.688
"57",5,2013,7.66666666666667
"58",5,2014,8
"59",5,2015,8.66666666666667
"60",7,2000,6.94848484848485
"61",7,2001,8.3030303030303
"62",7,2002,7.73783783783784
"63",7,2003,7.31818181818182
"64",7,2004,5.324
"65",7,2005,7.33666666666667
"66",7,2006,6.21666666666667
"67",7,2007,6.92162162162162
"68",7,2008,6.155
"69",7,2009,8.97368421052632
"70",7,2010,5.175
"71",7,2012,9
"72",7,2013,6
"73",7,2014,9
"74",8,2006,5.39761904761905
"75",8,2007,3.3804347826087
"76",8,2008,4.294
"77",8,2009,4.43125
"78",8,2010,4.31428571428571
"79",8,2011,5
"80",8,2012,8
"81",8,2013,6
"82",8,2014,8
"83",10,2000,6.672
"84",10,2001,7.3
"85",10,2002,7.38947368421053
"86",10,2003,7.85
"87",10,2004,6.7
"88",10,2005,7
"89",10,2006,4.52727272727273
"90",10,2007,3.32173913043478
"91",10,2008,4.5
"92",10,2009,4.54324324324324
"93",10,2010,5.41014492753623
"94",10,2011,6
"95",10,2012,8.53333333333333
"96",10,2013,5.884
"97",10,2014,5.5
"98",11,2000,5.4375
"99",11,2001,6.83333333333333
"100",11,2002,6.55833333333333
"101",11,2003,6.59649122807018
"102",11,2004,6.50612244897959
"103",11,2005,6.38333333333333
"104",11,2006,5.52777777777778
"105",11,2007,5.96666666666667
"106",11,2008,5.95555555555556
"107",11,2009,6.52222222222222
"108",11,2010,6.73888888888889
"109",11,2011,6.65416666666667
"110",11,2012,7.20833333333333
"111",11,2013,7.55
"112",11,2014,7.11666666666667
"113",12,2000,7.78114285714286
"114",12,2001,7.73947368421053
"115",12,2002,7.13107344632768
"116",12,2003,8.21676646706587
"117",12,2004,7.06022727272727
"118",12,2005,8.03947368421053
"119",12,2006,7.84504504504504
"120",12,2007,6.74042553191489
"121",12,2008,6.55
"122",12,2009,7.4
"123",12,2010,7.5
"124",12,2011,5.40740740740741
"125",12,2012,5.69565217391304
"126",12,2013,7
"127",12,2014,4.42105263157895
"128",13,2000,7.02638888888889
"129",13,2001,8.4
"130",13,2002,6.87058823529412
"131",13,2003,6.56585365853658
"132",13,2004,7.36666666666667
"133",13,2005,7.65
"134",13,2006,3.6025641025641
"135",13,2007,3.12477064220184
"136",13,2008,2.63269230769231
"137",13,2009,3.31219512195122
"138",13,2010,2.83015873015873
"139",13,2011,4.375
"140",13,2012,6
"141",13,2013,5.2906976744186
"142",13,2014,6.36666666666667
"143",13,2015,6
"144",14,2000,7.07004219409283
"145",14,2001,6.06400862068966
"146",14,2002,6.77027027027027
"147",14,2003,7.15386266094421
"148",14,2004,6.40311004784689
"149",14,2005,6.884375
"150",14,2006,6.37687366167024
"151",14,2007,5.71610169491525
"152",14,2008,5.92982107355865
"153",14,2009,7.53406326034063
"154",14,2010,6.5020964360587
"155",14,2011,6.83364485981308
"156",14,2012,7.98934426229508
"157",14,2013,6.09915254237288
"158",14,2014,6.68192771084337
"159",14,2015,7.55
"160",15,2000,7.11194029850746
"161",15,2001,8.13917525773196
"162",15,2002,6.52422907488987
"163",15,2003,7.29411764705882
"164",15,2004,7.61785714285714
"165",15,2005,7.36088709677419
"166",15,2006,6.97323943661972
"167",15,2007,6.77702702702703
"168",15,2008,5.29661016949153
"169",15,2009,7.27611940298507
"170",15,2010,8.34166666666667
"171",15,2011,6.41883116883117
"172",15,2012,6.97619047619048
"173",15,2013,7.02125506072874
"174",15,2014,7.03333333333333
"175",15,2015,7.3125
"176",16,2006,1.01851851851852
"177",16,2007,1.29622641509434
"178",16,2008,1.4063829787234
"179",16,2009,1.625
"180",16,2010,0.960714285714286
"181",17,2000,4.5625
"182",17,2001,4.95
"183",17,2002,5.71111111111111
"184",17,2003,5.70614035087719
"185",17,2004,5.32727272727273
"186",17,2005,4.9031007751938
"187",17,2006,4.62359550561798
"188",17,2007,6.87037037037037
"189",17,2008,6.03125
"190",17,2009,6.4480198019802
"191",17,2010,6.51129943502825
"192",17,2011,7.16369047619048
"193",17,2012,7.02616279069767
"194",17,2013,6.99243902439024
"195",17,2014,8.18421052631579
"196",18,2000,5.66666666666667
"197",18,2001,6.69565217391304
"198",18,2002,5.43137254901961
"199",18,2003,6.40277777777778
"200",18,2004,5.67114093959732
"201",18,2005,5.30904522613065
"202",18,2006,6.375
"203",18,2007,4.64428571428571
"204",18,2008,4.66854460093897
"205",18,2009,5.08015873015873
"206",18,2010,3.77672413793103
"207",18,2011,5.28175182481752
"208",18,2012,6.07851851851852
"209",18,2013,5.25524691358025
"210",18,2014,4.79176470588235
"211",20,2000,6.98387096774194
"212",20,2001,6
"213",20,2002,5.69230769230769
"214",20,2003,5.44262295081967
"215",20,2004,5.74860335195531
"216",20,2005,6.19255663430421
"217",20,2006,7.08979591836735
"218",20,2007,5.82389937106918
"219",20,2008,4.73295454545455
"220",20,2009,5.99145299145299
"221",20,2010,6.73121387283237
"222",20,2011,4.71698113207547
"223",20,2012,5.5
"224",20,2013,5.45161290322581
"225",20,2014,5.5
"226",20,2015,5.5
"227",21,2000,7.25268817204301
"228",21,2001,7.16666666666667
"229",21,2002,6.85384615384615
"230",21,2003,7.94551282051282
"231",21,2004,7.16666666666667
"232",21,2005,6.07482993197279
"233",21,2006,7.6468253968254
"234",21,2007,6.22857142857143
"235",21,2008,6.45049504950495
"236",21,2009,6.32547169811321
"237",21,2010,6.70208333333333
"238",21,2011,7.16171003717472
"239",21,2012,6.75925925925926
"240",21,2013,7.41856060606061
"241",21,2014,7.15714285714286
"242",21,2015,6.5
"243",22,2014,7.02439024390244
"244",23,2000,3.5
"245",23,2002,5
"246",23,2003,2
"247",23,2004,5.125
"248",23,2005,4.66666666666667
"249",23,2006,6.39473684210526
"250",23,2007,6.5
"251",23,2008,5.22727272727273
"252",23,2010,2.6
"253",24,2000,7.03355704697987
"254",24,2001,6.92276422764228
"255",24,2002,6.25
"256",24,2003,6.87579617834395
"257",24,2004,5.808
"258",24,2005,5.90350877192982
"259",24,2006,7.09480968858132
"260",24,2007,5.30334928229665
"261",24,2008,4.85718954248366
"262",24,2009,6.52268041237113
"263",24,2010,6.35182072829132
"264",24,2011,6.23181818181818
"265",24,2012,8.12714285714286
"266",24,2013,6.04878048780488
"267",24,2014,6.25862068965517
"268",24,2015,5.72695035460993
"269",25,2000,8
"270",25,2004,6
"271",25,2007,5.5
"272",26,2000,5.4041095890411
"273",26,2001,5.28590909090909
"274",26,2002,4.79502074688797
"275",26,2003,5.40167597765363
"276",26,2004,4.77514450867052
"277",26,2005,5.06075949367089
"278",26,2006,5.47156862745098
"279",26,2007,5.39972299168975
"280",26,2008,4.72837370242215
"281",26,2009,5.5889552238806
"282",26,2010,5.65191146881288
"283",26,2011,5.19780821917808
"284",26,2012,4.74927536231884
"285",26,2013,5.6424778761062
