"rgn_id","year","value"
1,1990,0.257454
1,1991,0.264701
1,1992,0.265532
1,1993,0.269041
1,1994,0.273534
1,1995,0.278646
1,1996,0.282531
1,1997,0.281046
1,1998,0.304229
1,1999,0.325829
1,2000,0.316061
1,2001,0.3112
1,2002,0.30506
1,2003,0.314994
1,2004,0.299427
1,2005,0.30976
1,2006,0.306695
1,2007,0.324304
1,2008,0.32868
1,2009,0.318273
1,2010,0.317094
1,2011,0.312282
1,2012,0.323116
1,2013,0.329809
2,1990,0.246116
2,1991,0.260403
2,1992,0.270195
2,1993,0.279981
2,1994,0.289876
2,1995,0.292824
2,1996,0.299897
2,1997,0.302202
2,1998,0.325595
2,1999,0.337682
2,2000,0.325849
2,2001,0.324386
2,2002,0.320469
2,2003,0.315067
2,2004,0.297446
2,2005,0.314403
2,2006,0.309634
2,2007,0.317856
2,2008,0.330461
2,2009,0.326909
2,2010,0.327879
2,2011,0.312792
2,2012,0.322433
2,2013,0.32476
3,1990,0.246116
3,1991,0.260403
3,1992,0.270195
3,1993,0.279981
3,1994,0.289876
3,1995,0.292824
3,1996,0.299897
3,1997,0.302202
3,1998,0.325595
3,1999,0.337682
3,2000,0.325849
3,2001,0.324386
3,2002,0.320469
3,2003,0.315067
3,2004,0.297446
3,2005,0.314403
3,2006,0.309634
3,2007,0.317856
3,2008,0.330461
3,2009,0.326909
3,2010,0.327879
3,2011,0.312792
3,2012,0.322433
3,2013,0.32476
4,1990,0.247189
4,1991,0.2701
4,1992,0.27888
4,1993,0.285415
4,1994,0.286925
4,1995,0.286588
4,1996,0.287297
4,1997,0.281721
4,1998,0.30119
4,1999,0.313454
4,2000,0.291237
4,2001,0.294415
4,2002,0.285948
4,2003,0.293553
4,2004,0.273473
4,2005,0.294714
4,2006,0.288166
4,2007,0.299689
4,2008,0.307973
4,2009,0.304342
4,2010,0.307012
4,2011,0.306432
4,2012,0.321867
4,2013,0.328874
5,1990,0.257454
5,1991,0.264701
5,1992,0.265532
5,1993,0.269041
5,1994,0.273534
5,1995,0.278646
5,1996,0.282531
5,1997,0.281046
5,1998,0.304229
5,1999,0.325829
5,2000,0.316061
5,2001,0.3112
5,2002,0.30506
5,2003,0.314994
5,2004,0.299427
5,2005,0.30976
5,2006,0.306695
5,2007,0.324304
5,2008,0.32868
5,2009,0.318273
5,2010,0.317094
5,2011,0.312282
5,2012,0.323116
5,2013,0.329809
6,1990,0.246116
6,1991,0.260403
6,1992,0.270195
6,1993,0.279981
6,1994,0.289876
6,1995,0.292824
6,1996,0.299897
6,1997,0.302202
6,1998,0.325595
6,1999,0.337682
6,2000,0.325849
6,2001,0.324386
6,2002,0.320469
6,2003,0.315067
6,2004,0.297446
6,2005,0.314403
6,2006,0.309634
6,2007,0.317856
6,2008,0.330461
6,2009,0.326909
6,2010,0.327879
6,2011,0.312792
6,2012,0.322433
6,2013,0.32476
7,1990,0.246116
7,1991,0.260403
7,1992,0.270195
7,1993,0.279981
7,1994,0.289876
7,1995,0.292824
7,1996,0.299897
7,1997,0.302202
7,1998,0.325595
7,1999,0.337682
7,2000,0.325849
7,2001,0.324386
7,2002,0.320469
7,2003,0.315067
7,2004,0.297446
7,2005,0.314403
7,2006,0.309634
7,2007,0.317856
7,2008,0.330461
7,2009,0.326909
7,2010,0.327879
7,2011,0.312792
7,2012,0.322433
7,2013,0.32476
8,1990,0.247189
8,1991,0.2701
8,1992,0.27888
8,1993,0.285415
8,1994,0.286925
8,1995,0.286588
8,1996,0.287297
8,1997,0.281721
8,1998,0.30119
8,1999,0.313454
8,2000,0.291237
8,2001,0.294415
8,2002,0.285948
8,2003,0.293553
8,2004,0.273473
8,2005,0.294714
8,2006,0.288166
8,2007,0.299689
8,2008,0.307973
8,2009,0.304342
8,2010,0.307012
8,2011,0.306432
8,2012,0.321867
8,2013,0.328874
9,1990,0.246116
9,1991,0.260403
9,1992,0.270195
9,1993,0.279981
9,1994,0.289876
9,1995,0.292824
9,1996,0.299897
9,1997,0.302202
9,1998,0.325595
9,1999,0.337682
9,2000,0.325849
9,2001,0.324386
9,2002,0.320469
9,2003,0.315067
9,2004,0.297446
9,2005,0.314403
9,2006,0.309634
9,2007,0.317856
9,2008,0.330461
9,2009,0.326909
9,2010,0.327879
9,2011,0.312792
9,2012,0.322433
9,2013,0.32476
10,1990,0.247189
10,1991,0.2701
10,1992,0.27888
10,1993,0.285415
10,1994,0.286925
10,1995,0.286588
10,1996,0.287297
10,1997,0.281721
10,1998,0.30119
10,1999,0.313454
10,2000,0.291237
10,2001,0.294415
10,2002,0.285948
10,2003,0.293553
10,2004,0.273473
10,2005,0.294714
10,2006,0.288166
10,2007,0.299689
10,2008,0.307973
10,2009,0.304342
10,2010,0.307012
10,2011,0.306432
10,2012,0.321867
10,2013,0.328874
11,1990,0.257454
11,1991,0.264701
11,1992,0.265532
11,1993,0.269041
11,1994,0.273534
11,1995,0.278646
11,1996,0.282531
11,1997,0.281046
11,1998,0.304229
11,1999,0.325829
11,2000,0.316061
11,2001,0.3112
11,2002,0.30506
11,2003,0.314994
11,2004,0.299427
11,2005,0.30976
11,2006,0.306695
11,2007,0.324304
11,2008,0.32868
11,2009,0.318273
11,2010,0.317094
11,2011,0.312282
11,2012,0.323116
11,2013,0.329809
12,1990,0.246116
12,1991,0.260403
12,1992,0.270195
12,1993,0.279981
12,1994,0.289876
12,1995,0.292824
12,1996,0.299897
12,1997,0.302202
12,1998,0.325595
12,1999,0.337682
12,2000,0.325849
12,2001,0.324386
12,2002,0.320469
12,2003,0.315067
12,2004,0.297446
12,2005,0.314403
12,2006,0.309634
12,2007,0.317856
12,2008,0.330461
12,2009,0.326909
12,2010,0.327879
12,2011,0.312792
12,2012,0.322433
12,2013,0.32476
13,1990,0.247189
13,1991,0.2701
13,1992,0.27888
13,1993,0.285415
13,1994,0.286925
13,1995,0.286588
13,1996,0.287297
13,1997,0.281721
13,1998,0.30119
13,1999,0.313454
13,2000,0.291237
13,2001,0.294415
13,2002,0.285948
13,2003,0.293553
13,2004,0.273473
13,2005,0.294714
13,2006,0.288166
