country,score,rgn_id
Denmark,-0.13749999999999937,2
Denmark,-0.13749999999999937,3
Denmark,-0.13749999999999937,6
Denmark,-0.13749999999999937,7
Denmark,-0.13749999999999937,9
Denmark,-0.13749999999999937,12
Denmark,-0.13749999999999937,15
Estonia,-0.3947368421052627,25
Estonia,-0.3947368421052627,28
Estonia,-0.3947368421052627,31
Estonia,-0.3947368421052627,34
Finland,-0.14743589743589955,30
Finland,-0.14743589743589955,32
Finland,-0.14743589743589955,36
Finland,-0.14743589743589955,38
Finland,-0.14743589743589955,40
Finland,-0.14743589743589955,42
Germany,0.012987012987016225,4
Germany,0.012987012987016225,8
Germany,0.012987012987016225,10
Germany,0.012987012987016225,13
Germany,0.012987012987016225,16
Latvia,-0.43835616438356184,24
Latvia,-0.43835616438356184,27
Lithuania,-0.3434065934065935,23
Poland,-0.007042253521127456,17
Poland,-0.007042253521127456,18
Poland,-0.007042253521127456,21
Sweden,-0.10625000000000201,1
Sweden,-0.10625000000000201,5
Sweden,-0.10625000000000201,11
Sweden,-0.10625000000000201,14
Sweden,-0.10625000000000201,20
Sweden,-0.10625000000000201,26
Sweden,-0.10625000000000201,29
Sweden,-0.10625000000000201,35
Sweden,-0.10625000000000201,37
Sweden,-0.10625000000000201,39
Sweden,-0.10625000000000201,41
Russia,NA,19
Russia,NA,22
Russia,NA,33
