"rgn_id","gis_name","species_name","iucn"
18,"Alburnus_a","Alburnus alburnus","LC"
19,"Alburnus_a","Alburnus alburnus","LC"
20,"Alburnus_a","Alburnus alburnus","LC"
21,"Alburnus_a","Alburnus alburnus","LC"
22,"Alburnus_a","Alburnus alburnus","LC"
23,"Alburnus_a","Alburnus alburnus","LC"
24,"Alburnus_a","Alburnus alburnus","LC"
25,"Alburnus_a","Alburnus alburnus","LC"
5,"Alburnus_a","Alburnus alburnus","LC"
6,"Alburnus_a","Alburnus alburnus","LC"
32,"Alburnus_a","Alburnus alburnus","LC"
33,"Alburnus_a","Alburnus alburnus","LC"
34,"Alburnus_a","Alburnus alburnus","LC"
27,"Alburnus_a","Alburnus alburnus","LC"
28,"Alburnus_a","Alburnus alburnus","LC"
9,"Alburnus_a","Alburnus alburnus","LC"
10,"Alburnus_a","Alburnus alburnus","LC"
7,"Alburnus_a","Alburnus alburnus","LC"
8,"Alburnus_a","Alburnus alburnus","LC"
41,"Alburnus_a","Alburnus alburnus","LC"
42,"Alburnus_a","Alburnus alburnus","LC"
39,"Alburnus_a","Alburnus alburnus","LC"
40,"Alburnus_a","Alburnus alburnus","LC"
37,"Alburnus_a","Alburnus alburnus","LC"
38,"Alburnus_a","Alburnus alburnus","LC"
35,"Alburnus_a","Alburnus alburnus","LC"
36,"Alburnus_a","Alburnus alburnus","LC"
29,"Alburnus_a","Alburnus alburnus","LC"
30,"Alburnus_a","Alburnus alburnus","LC"
31,"Alburnus_a","Alburnus alburnus","LC"
14,"Alburnus_a","Alburnus alburnus","LC"
15,"Alburnus_a","Alburnus alburnus","LC"
16,"Alburnus_a","Alburnus alburnus","LC"
17,"Alburnus_a","Alburnus alburnus","LC"
11,"Alburnus_a","Alburnus alburnus","LC"
12,"Alburnus_a","Alburnus alburnus","LC"
13,"Alburnus_a","Alburnus alburnus","LC"
NA,"Alburnus_a","Alburnus alburnus","LC"
26,"Alburnus_a","Alburnus alburnus","LC"
20,"Alburnus_a","Alburnus alburnus","LC"
21,"Alburnus_a","Alburnus alburnus","LC"
22,"Alburnus_a","Alburnus alburnus","LC"
23,"Alburnus_a","Alburnus alburnus","LC"
24,"Alburnus_a","Alburnus alburnus","LC"
25,"Alburnus_a","Alburnus alburnus","LC"
27,"Alosa_fall","Alosa fallax","LC"
28,"Alosa_fall","Alosa fallax","LC"
14,"Alosa_fall","Alosa fallax","LC"
15,"Alosa_fall","Alosa fallax","LC"
16,"Alosa_fall","Alosa fallax","LC"
17,"Alosa_fall","Alosa fallax","LC"
11,"Alosa_fall","Alosa fallax","LC"
12,"Alosa_fall","Alosa fallax","LC"
13,"Alosa_fall","Alosa fallax","LC"
18,"Alosa_fall","Alosa fallax","LC"
19,"Alosa_fall","Alosa fallax","LC"
NA,"Alosa_fall","Alosa fallax","LC"
NA,"Alosa_fall","Alosa fallax","LC"
20,"Alosa_fall","Alosa fallax","LC"
21,"Alosa_fall","Alosa fallax","LC"
22,"Alosa_fall","Alosa fallax","LC"
23,"Alosa_fall","Alosa fallax","LC"
24,"Alosa_fall","Alosa fallax","LC"
25,"Alosa_fall","Alosa fallax","LC"
1,"Amblyraja","Amblyraja radiata","LC"
2,"Amblyraja","Amblyraja radiata","LC"
5,"Amblyraja","Amblyraja radiata","LC"
6,"Amblyraja","Amblyraja radiata","LC"
1,"A_marinus","Ammodytes marinus","LC"
2,"A_marinus","Ammodytes marinus","LC"
5,"A_marinus","Ammodytes marinus","LC"
6,"A_marinus","Ammodytes marinus","LC"
18,"A_tobianus","Ammodytes tobianus","LC"
19,"A_tobianus","Ammodytes tobianus","LC"
1,"A_tobianus","Ammodytes tobianus","LC"
2,"A_tobianus","Ammodytes tobianus","LC"
5,"A_tobianus","Ammodytes tobianus","LC"
6,"A_tobianus","Ammodytes tobianus","LC"
32,"A_tobianus","Ammodytes tobianus","LC"
33,"A_tobianus","Ammodytes tobianus","LC"
34,"A_tobianus","Ammodytes tobianus","LC"
27,"A_tobianus","Ammodytes tobianus","LC"
28,"A_tobianus","Ammodytes tobianus","LC"
9,"A_tobianus","Ammodytes tobianus","LC"
10,"A_tobianus","Ammodytes tobianus","LC"
7,"A_tobianus","Ammodytes tobianus","LC"
8,"A_tobianus","Ammodytes tobianus","LC"
NA,"A_tobianus","Ammodytes tobianus","LC"
3,"A_tobianus","Ammodytes tobianus","LC"
4,"A_tobianus","Ammodytes tobianus","LC"
41,"A_tobianus","Ammodytes tobianus","LC"
42,"A_tobianus","Ammodytes tobianus","LC"
39,"A_tobianus","Ammodytes tobianus","LC"
40,"A_tobianus","Ammodytes tobianus","LC"
37,"A_tobianus","Ammodytes tobianus","LC"
38,"A_tobianus","Ammodytes tobianus","LC"
35,"A_tobianus","Ammodytes tobianus","LC"
36,"A_tobianus","Ammodytes tobianus","LC"
29,"A_tobianus","Ammodytes tobianus","LC"
30,"A_tobianus","Ammodytes tobianus","LC"
