"rgn_id","species"
2,"Arenaria interpres (VU)"
5,"Arenaria interpres (VU)"
6,"Arenaria interpres (VU)"
11,"Arenaria interpres (VU)"
12,"Arenaria interpres (VU)"
14,"Arenaria interpres (VU)"
1,"Aythya fuligula (NT)"
2,"Aythya fuligula (NT)"
3,"Aythya fuligula (NT)"
4,"Aythya fuligula (NT)"
5,"Aythya fuligula (NT)"
6,"Aythya fuligula (NT)"
7,"Aythya fuligula (NT)"
8,"Aythya fuligula (NT)"
9,"Aythya fuligula (NT)"
10,"Aythya fuligula (NT)"
11,"Aythya fuligula (NT)"
12,"Aythya fuligula (NT)"
13,"Aythya fuligula (NT)"
14,"Aythya fuligula (NT)"
15,"Aythya fuligula (NT)"
16,"Aythya fuligula (NT)"
17,"Aythya fuligula (NT)"
18,"Aythya fuligula (NT)"
19,"Aythya fuligula (NT)"
20,"Aythya fuligula (NT)"
21,"Aythya fuligula (NT)"
22,"Aythya fuligula (NT)"
23,"Aythya fuligula (NT)"
24,"Aythya fuligula (NT)"
25,"Aythya fuligula (NT)"
26,"Aythya fuligula (NT)"
27,"Aythya fuligula (NT)"
28,"Aythya fuligula (NT)"
29,"Aythya fuligula (NT)"
30,"Aythya fuligula (NT)"
31,"Aythya fuligula (NT)"
32,"Aythya fuligula (NT)"
33,"Aythya fuligula (NT)"
34,"Aythya fuligula (NT)"
35,"Aythya fuligula (NT)"
36,"Aythya fuligula (NT)"
37,"Aythya fuligula (NT)"
38,"Aythya fuligula (NT)"
39,"Aythya fuligula (NT)"
40,"Aythya fuligula (NT)"
41,"Aythya fuligula (NT)"
42,"Aythya fuligula (NT)"
20,"Aythya marila (VU)"
26,"Aythya marila (VU)"
28,"Aythya marila (VU)"
33,"Aythya marila (VU)"
36,"Aythya marila (VU)"
37,"Aythya marila (VU)"
38,"Aythya marila (VU)"
39,"Aythya marila (VU)"
40,"Aythya marila (VU)"
41,"Aythya marila (VU)"
42,"Aythya marila (VU)"
2,"Calidris alpina schinzii (EN)"
3,"Calidris alpina schinzii (EN)"
5,"Calidris alpina schinzii (EN)"
6,"Calidris alpina schinzii (EN)"
9,"Calidris alpina schinzii (EN)"
11,"Calidris alpina schinzii (EN)"
12,"Calidris alpina schinzii (EN)"
13,"Calidris alpina schinzii (EN)"
17,"Calidris alpina schinzii (EN)"
18,"Calidris alpina schinzii (EN)"
26,"Calidris alpina schinzii (EN)"
27,"Calidris alpina schinzii (EN)"
28,"Calidris alpina schinzii (EN)"
30,"Calidris alpina schinzii (EN)"
33,"Calidris alpina schinzii (EN)"
36,"Calidris alpina schinzii (EN)"
37,"Calidris alpina schinzii (EN)"
38,"Calidris alpina schinzii (EN)"
42,"Calidris alpina schinzii (EN)"
41,"Calidris temminckii (NT)"
42,"Calidris temminckii (NT)"
1,"Cepphus grylle arcticus (LC)"
2,"Cepphus grylle arcticus (LC)"
3,"Cepphus grylle arcticus (LC)"
5,"Cepphus grylle arcticus (LC)"
14,"Cepphus grylle grylle (NT)"
20,"Cepphus grylle grylle (NT)"
25,"Cepphus grylle grylle (NT)"
26,"Cepphus grylle grylle (NT)"
28,"Cepphus grylle grylle (NT)"
29,"Cepphus grylle grylle (NT)"
30,"Cepphus grylle grylle (NT)"
31,"Cepphus grylle grylle (NT)"
32,"Cepphus grylle grylle (NT)"
33,"Cepphus grylle grylle (NT)"
34,"Cepphus grylle grylle (NT)"
35,"Cepphus grylle grylle (NT)"
36,"Cepphus grylle grylle (NT)"
37,"Cepphus grylle grylle (NT)"
38,"Cepphus grylle grylle (NT)"
39,"Cepphus grylle grylle (NT)"
40,"Cepphus grylle grylle (NT)"
41,"Cepphus grylle grylle (NT)"
42,"Cepphus grylle grylle (NT)"
5,"Charadrius alexandirinus (CR)"
6,"Charadrius alexandirinus (CR)"
11,"Charadrius alexandirinus (CR)"
13,"Charadrius alexandirinus (CR)"
26,"Charadrius alexandirinus (CR)"
1,"Charadrius hiaticula hiaticula (NT)"
2,"Charadrius hiaticula hiaticula (NT)"
3,"Charadrius hiaticula hiaticula (NT)"
