"region_id","stock","year","metric","score"
3,"cod_2224",1994,"bbmsy",0.824635417
4,"cod_2224",1994,"bbmsy",0.824635417
5,"cod_2224",1994,"bbmsy",0.824635417
6,"cod_2224",1994,"bbmsy",0.824635417
7,"cod_2224",1994,"bbmsy",0.824635417
8,"cod_2224",1994,"bbmsy",0.824635417
9,"cod_2224",1994,"bbmsy",0.824635417
10,"cod_2224",1994,"bbmsy",0.824635417
11,"cod_2224",1994,"bbmsy",0.824635417
12,"cod_2224",1994,"bbmsy",0.824635417
13,"cod_2224",1994,"bbmsy",0.824635417
16,"cod_2224",1994,"bbmsy",0.824635417
3,"cod_2224",1995,"bbmsy",0.813984375
4,"cod_2224",1995,"bbmsy",0.813984375
5,"cod_2224",1995,"bbmsy",0.813984375
6,"cod_2224",1995,"bbmsy",0.813984375
7,"cod_2224",1995,"bbmsy",0.813984375
8,"cod_2224",1995,"bbmsy",0.813984375
9,"cod_2224",1995,"bbmsy",0.813984375
10,"cod_2224",1995,"bbmsy",0.813984375
11,"cod_2224",1995,"bbmsy",0.813984375
12,"cod_2224",1995,"bbmsy",0.813984375
13,"cod_2224",1995,"bbmsy",0.813984375
16,"cod_2224",1995,"bbmsy",0.813984375
3,"cod_2224",1996,"bbmsy",0.892421875
4,"cod_2224",1996,"bbmsy",0.892421875
5,"cod_2224",1996,"bbmsy",0.892421875
6,"cod_2224",1996,"bbmsy",0.892421875
7,"cod_2224",1996,"bbmsy",0.892421875
8,"cod_2224",1996,"bbmsy",0.892421875
9,"cod_2224",1996,"bbmsy",0.892421875
10,"cod_2224",1996,"bbmsy",0.892421875
11,"cod_2224",1996,"bbmsy",0.892421875
12,"cod_2224",1996,"bbmsy",0.892421875
13,"cod_2224",1996,"bbmsy",0.892421875
16,"cod_2224",1996,"bbmsy",0.892421875
3,"cod_2224",1997,"bbmsy",0.926067708
4,"cod_2224",1997,"bbmsy",0.926067708
5,"cod_2224",1997,"bbmsy",0.926067708
6,"cod_2224",1997,"bbmsy",0.926067708
7,"cod_2224",1997,"bbmsy",0.926067708
8,"cod_2224",1997,"bbmsy",0.926067708
9,"cod_2224",1997,"bbmsy",0.926067708
10,"cod_2224",1997,"bbmsy",0.926067708
11,"cod_2224",1997,"bbmsy",0.926067708
12,"cod_2224",1997,"bbmsy",0.926067708
13,"cod_2224",1997,"bbmsy",0.926067708
16,"cod_2224",1997,"bbmsy",0.926067708
3,"cod_2224",1998,"bbmsy",0.716901042
4,"cod_2224",1998,"bbmsy",0.716901042
5,"cod_2224",1998,"bbmsy",0.716901042
6,"cod_2224",1998,"bbmsy",0.716901042
7,"cod_2224",1998,"bbmsy",0.716901042
8,"cod_2224",1998,"bbmsy",0.716901042
9,"cod_2224",1998,"bbmsy",0.716901042
10,"cod_2224",1998,"bbmsy",0.716901042
11,"cod_2224",1998,"bbmsy",0.716901042
12,"cod_2224",1998,"bbmsy",0.716901042
13,"cod_2224",1998,"bbmsy",0.716901042
16,"cod_2224",1998,"bbmsy",0.716901042
3,"cod_2224",1999,"bbmsy",0.827109375
4,"cod_2224",1999,"bbmsy",0.827109375
5,"cod_2224",1999,"bbmsy",0.827109375
6,"cod_2224",1999,"bbmsy",0.827109375
7,"cod_2224",1999,"bbmsy",0.827109375
8,"cod_2224",1999,"bbmsy",0.827109375
9,"cod_2224",1999,"bbmsy",0.827109375
10,"cod_2224",1999,"bbmsy",0.827109375
11,"cod_2224",1999,"bbmsy",0.827109375
12,"cod_2224",1999,"bbmsy",0.827109375
13,"cod_2224",1999,"bbmsy",0.827109375
16,"cod_2224",1999,"bbmsy",0.827109375
3,"cod_2224",2000,"bbmsy",0.95140625
4,"cod_2224",2000,"bbmsy",0.95140625
5,"cod_2224",2000,"bbmsy",0.95140625
6,"cod_2224",2000,"bbmsy",0.95140625
7,"cod_2224",2000,"bbmsy",0.95140625
8,"cod_2224",2000,"bbmsy",0.95140625
9,"cod_2224",2000,"bbmsy",0.95140625
10,"cod_2224",2000,"bbmsy",0.95140625
11,"cod_2224",2000,"bbmsy",0.95140625
12,"cod_2224",2000,"bbmsy",0.95140625
13,"cod_2224",2000,"bbmsy",0.95140625
16,"cod_2224",2000,"bbmsy",0.95140625
3,"cod_2224",2001,"bbmsy",0.800260417
4,"cod_2224",2001,"bbmsy",0.800260417
5,"cod_2224",2001,"bbmsy",0.800260417
6,"cod_2224",2001,"bbmsy",0.800260417
7,"cod_2224",2001,"bbmsy",0.800260417
8,"cod_2224",2001,"bbmsy",0.800260417
9,"cod_2224",2001,"bbmsy",0.800260417
10,"cod_2224",2001,"bbmsy",0.800260417
11,"cod_2224",2001,"bbmsy",0.800260417
12,"cod_2224",2001,"bbmsy",0.800260417
