BHI_ID,Name,MPA_area_Ha,Date_Est,MPA_Status,mpa_area_rgn
1,Morups Bank,567,9.11.2009,Designated,56620
1,Stora Middelgrund och Röde Bank,11425,9.11.2009,Designated,56620
1,Kullaberg-Skälderviken,4519,30.9.2008,Managed,56620
1,Kungsbackafjorden,7877,30.9.2008,Managed,56620
1,Fladen,10395,30.9.2008,Managed,56620
1,Lilla Middelgrund,17864,30.9.2008,Managed,56620
1,Hallands Väderö,1836,30.9.2008,Managed,56620
1,Store Middelgrund,2137,14.7.2005,Managed,56620
2,Roskilde Fjord og Jægerspris Nordskov,14810,16.12.2009,Managed,542305.70019531
2,Havet og kysten mellem Hundested og Rørvig,4023,28.8.2009,Managed,542305.70019531
2,Udby Vig,384,16.12.2009,Managed,542305.70019531
2,Hov Vig,240,16.12.2009,Managed,542305.70019531
2,Kobberhage kystarealer,792,16.12.2009,Managed,542305.70019531
2,Jægerspris Skydeterræn,569,16.12.2009,Managed,542305.70019531
2,"Ålborg Bugt, østlige del",177360,16.12.2009,Managed,542305.70019531
2,Kims Top og den Kinesiske Mur,26100,10.9.2009,Managed,542305.70019531
2,Lysegrund,3158,10.9.2009,Managed,542305.70019531
2,Gilleleje Flak og Tragten,15034,16.12.2009,Designated,542305.70019531
2,Schultz og Hastens Grund samt Briseis Flak,20710,10.9.2009,Managed,542305.70019531
2,Ebbeløkke Rev,140,16.12.2009,Managed,542305.70019531
2,Kyndby Kyst,360,16.12.2009,Managed,542305.70019531
2,Stora Middelgrund och Röde Bank,11425,9.11.2009,Designated,542305.70019531
2,Hesselø med omliggende stenrev,4200,14.7.2005,Managed,542305.70019531
2,"Ålborg Bugt, Randers Fjord and Mariager Fjord, Birdprotection sites",72197,14.7.2005,Managed,542305.70019531
2,Herthas Flak,1380,14.7.2005,Managed,542305.70019531
2,Havet omkring Nordre Rønner,18535,14.7.2005,Managed,542305.70019531
2,Læsø Trindel og Tønneberg Banke,8659.70019531,14.7.2005,Managed,542305.70019531
2,Store Middelgrund,2137,14.7.2005,Managed,542305.70019531
2,"Hirsholmene, havet vest herfor og Ellinge Å's udløb",9500,14.7.2005,Managed,542305.70019531
2,Strandenge på Læsø og havet syd herfor,102714,14.7.2005,Managed,542305.70019531
2,Anholt og havet nord for,47878,6.4.2009,Managed,542305.70019531
3,Begstrup Vig og kystområder ved Helgenæs,1771,22.9.2009,Managed,521216
3,"Fyns Hoved, Lillegrund og Lillestrand",2182,31.8.2009,Managed,521216
3,Æbelø og havet syd for og Nærå,13161,1.9.2009,Managed,521216
3,Havet mellem Romsø og Hindsholm samt Romsø,4328,1.9.2009,Managed,521216
3,Odense Fjord,5048,16.12.2009,Managed,521216
3,Lillebælt,35043,10.9.2009,Managed,521216
3,Bøjden Nor,114,16.12.2009,Managed,521216
3,Maden på Helnæs og havet vest for,2045,10.9.2009,Managed,521216
3,Vestlige del af Avernakø,124,16.12.2009,Managed,521216
3,Stenrev sydøst for Langeland,1484,10.9.2009,Managed,521216
3,Sydfynske Øhav,45199,10.9.2009,Managed,521216
3,Sejerø Bugt og Saltbæk Vig,44500,6.4.2009,Managed,521216
3,Nakskov Fjord og Inderfjord,8526,10.9.2009,Managed,521216
3,Ryggen,437,10.9.2009,Managed,521216
