name_csv,BSPA_ID,status_csv,name_shape,BHI_ID,country,status_shape,date_est,mpa_area_km2,eez_area_km2,mgmt_status
Curonian Spit State National Park (southern part),163,Designated_and_managed,Curonian Spit State National Park (southern part),22,Russia,Designated,1987,66.21,9466.30104,Designated_and_managed
Vistula Spit ,164,Designated,Vistula Spit Landscape Park (northern part),19,Russia,Designated,NA,40,2138.41462,Designated
	Kurgalsky Peninsula,166,Designated_and_managed,Kurgalsky Peninsula,34,Russia,Designated,2000,599.5,8426.04463,Designated_and_managed
	Kurgalsky Peninsula,166,Designated_and_managed,Kurgalsky Peninsula,33,Russia,Designated,2000,599.5,11571.59858,Designated_and_managed
Vyborgskii,294,Designated_and_managed,Vyborgskii,33,Russia,Designated,1976,113.0409960937,11571.59858,Designated_and_managed
Lebyazhy Nature Reserve,197,Designated_and_managed,Lebyazhy Nature Reserve,33,Russia,Designated,2007,63.4464990234,11571.59858,Designated_and_managed
Berezovye Islands,196,Designated_and_managed,Berezovye Islands,33,Russia,Designated,1996,552.95,11571.59858,Designated_and_managed
Ostoja Slowinska,85,Designated_and_partly_managed,Ostoja Slowinska,17,Poland,Designated,2005,329.5530078125,17334.97259,Designated_and_partly_managed
Ostoja Slowinska,85,Designated_and_partly_managed,Ostoja Slowinska,21,Poland,Designated,2005,329.5530078125,11013.8982,Designated_and_partly_managed
Zalew Wislany i Mierzeja Wislana,83,Designated,Zalew Wislany i Mierzeja Wislana,18,Poland,Designated,2005,408.626015625,3682.83573,Designated
Zalew Wislany i Mierzeja Wislana,83,Designated,Zalew Wislany i Mierzeja Wislana,19,Poland,Designated,2005,408.626015625,2138.41462,Designated
Ujscie Odry i Zalew Szczecinski,301,Designated_and_partly_managed,Ujscie Odry i Zalew Szczecinski,16,Poland,Designated,2009,526.12,2566.81091,Designated_and_partly_managed
Ujscie Odry i Zalew Szczecinski,301,Designated_and_partly_managed,Ujscie Odry i Zalew Szczecinski,17,Poland,Designated,2009,526.12,17334.97259,Designated_and_partly_managed
Wolin i Uznam,86,Designated_and_partly_managed,Wolin i Uznam,16,Poland,Designated,2005,307.92,2566.81091,Designated_and_partly_managed
Wolin i Uznam,86,Designated_and_partly_managed,Wolin i Uznam,17,Poland,Designated,2005,307.92,17334.97259,Designated_and_partly_managed
Zatoka Pomorska,170,Designated,Zatoka Pomorska,16,Poland,Designated,2009,3091.55,2566.81091,Designated
Zatoka Pomorska,170,Designated,Zatoka Pomorska,17,Poland,Designated,2009,3091.55,17334.97259,Designated
Przybrzezne Wody Baltyku,179,Designated,Przybrzezne Wody Baltyku,17,Poland,Designated,2009,1946.27,17334.97259,Designated
Przybrzezne Wody Baltyku,179,Designated,Przybrzezne Wody Baltyku,21,Poland,Designated,2009,1946.27,11013.8982,Designated
Przybrzezne Wody Baltyku,179,Designated,Przybrzezne Wody Baltyku,18,Poland,Designated,2009,1946.27,3682.83573,Designated
Zatoka Pucka,84,Designated,Zatoka Pucka,18,Poland,Designated,2005,624.303984375,3682.83573,Designated
Ujscie Wisly,302,Designated,Ujscie Wisly,18,Poland,Designated,2009,17.4809997558,3682.83573,Designated
Begstrup Vig og kystomrader ved Helgen<e6>s,246,Designated_and_managed,Begstrup Vig og kystområder ved Helgenæs,3,Denmark,Managed,2009,17.71,10369.11323,Designated_and_managed
"Fyns Hoved, Lillegrund og Lillestrand",251,Designated_and_managed,"Fyns Hoved, Lillegrund og Lillestrand",3,Denmark,Managed,2009,21.82,10369.11323,Designated_and_managed
Aebeloe og havet syd for og N<e6>ra,241,Designated_and_managed,Æbelø og havet syd for og Nærå,3,Denmark,Managed,2009,131.61,10369.11323,Designated_and_managed
Havet mellem Romsoe og Hindsholm samt Romsoe,265,Designated_and_managed,Havet mellem Romsø og Hindsholm samt Romsø,3,Denmark,Managed,2009,43.28,10369.11323,Designated_and_managed
Odense Fjord,287,Designated_and_managed,Odense Fjord,3,Denmark,Managed,2009,50.48,10369.11323,Designated_and_managed
Lilleb<e6>lt,259,Designated_and_managed,Lillebælt,3,Denmark,Managed,2009,350.43,10369.11323,Designated_and_managed
Boejden Nor,276,Designated_and_managed,Bøjden Nor,3,Denmark,Managed,2009,1.14,10369.11323,Designated_and_managed
Maden pa Heln<e6>s og havet vest for,254,Designated_and_managed,Maden på Helnæs og havet vest for,3,Denmark,Managed,2009,20.45,10369.11323,Designated_and_managed
Vestlige del af Avernakoe,293,Designated_and_managed,Vestlige del af Avernakø,3,Denmark,Managed,2009,1.24,10369.11323,Designated_and_managed
Stenrev sydoest for Langeland,269,Designated_and_managed,Stenrev sydøst for Langeland,3,Denmark,Managed,2009,14.84,10369.11323,Designated_and_managed
Stenrev sydoest for Langeland,269,Designated_and_managed,Stenrev sydøst for Langeland,7,Denmark,Managed,2009,14.84,1208.87616,Designated_and_managed
Sydfynske Oehav,271,Designated_and_managed,Sydfynske Øhav,3,Denmark,Managed,2009,451.99,10369.11323,Designated_and_managed
Sydfynske Oehav,271,Designated_and_managed,Sydfynske Øhav,7,Denmark,Managed,2009,451.99,1208.87616,Designated_and_managed
Roskilde Fjord og J<e6>gerspris Nordskov,289,Designated_and_managed,Roskilde Fjord og Jægerspris Nordskov,2,Denmark,Managed,2009,148.1,15300.69996,Designated_and_managed
Vestamager og havet syd for,273,Designated_and_managed,Vestamager og havet syd for,12,Denmark,Managed,2009,61.79,6272.53375,Designated_and_managed
Oelsemagle Strand og Staunings Oe,281,Designated_and_managed,Ølsemagle Strand og Staunings Ø,12,Denmark,Managed,2009,5.38,6272.53375,Designated_and_managed
Havet og kysten mellem Hundested og Roervig,253,Designated_and_managed,Havet og kysten mellem Hundested og Rørvig,2,Denmark,Managed,2009,40.23,15300.69996,Designated_and_managed
Sejeroe Bugt og Saltb<e6>k Vig,268,Designated_and_managed,Sejerø Bugt og Saltbæk Vig,3,Denmark,Managed,2009,445,10369.11323,Designated_and_managed
Udby Vig,292,Designated_and_managed,Udby Vig,2,Denmark,Managed,2009,3.84,15300.69996,Designated_and_managed
Hov Vig,280,Designated_and_managed,Hov Vig,2,Denmark,Managed,2009,2.4,15300.69996,Designated_and_managed
Havet og kysten mellem Pr<e6>stoe Fjord og Groensund,264,Designated_and_managed,Havet og kysten mellem Præstø Fjord og Grønsund,12,Denmark,Managed,2009,328.15,6272.53375,Designated_and_managed
Klinteskov Kalkgrund,258,Designated_and_managed,Klinteskov Kalkgrund,12,Denmark,Managed,2009,19.94,6272.53375,Designated_and_managed
Nakskov Fjord og Inderfjord,263,Designated_and_managed,Nakskov Fjord og Inderfjord,3,Denmark,Managed,2009,85.26,10369.11323,Designated_and_managed
Stege Nor,291,Designated_and_managed,Stege Nor,12,Denmark,Managed,2009,5.72,6272.53375,Designated_and_managed
Ryggen,266,Designated_and_managed,Ryggen,3,Denmark,Managed,2009,4.37,10369.11323,Designated_and_managed
Hatter Barn,252,Designated_and_managed,Hatter Barn,3,Denmark,Managed,2009,6.33,10369.11323,Designated_and_managed
Broen,248,Designated_and_managed,Broen,3,Denmark,Managed,2009,5.88,10369.11323,Designated_and_managed
Munkegrund,262,Designated_and_managed,Munkegrunde,3,Denmark,Managed,2009,13.29,10369.11323,Designated_and_managed
Stevns Rev,270,Designated_and_managed,Stevns Rev,12,Denmark,Managed,2009,46.4,6272.53375,Designated_and_managed
Boechers Grund,247,Designated_and_managed,Bøchers Grund,12,Denmark,Managed,2009,10.98,6272.53375,Designated_and_managed
Hvideodde Rev,256,Designated_and_managed,Hvideodde Rev,12,Denmark,Managed,2009,7.89,6272.53375,Designated_and_managed
Hvideodde Rev,256,Designated_and_managed,Hvideodde Rev,15,Denmark,Managed,2009,7.89,7152.79836,Designated_and_managed
Bakkebr<e6>dt og Bakkegrund,245,Designated_and_managed,Bakkebrædt og Bakkeground,12,Denmark,Managed,2009,2.99,6272.53375,Designated_and_managed
Mols Bjerge med kystvande,261,Designated_and_managed,Mols Bjerge med kystvande,3,Denmark,Managed,2009,29.15,10369.11323,Designated_and_managed
Kaloeskovene og Kaloevig,283,Designated_and_managed,Kaløskovene og Kaløvig,3,Denmark,Managed,2009,7.46,10369.11323,Designated_and_managed
Kobberhage kystarealer,284,Designated_and_managed,Kobberhage kystarealer,3,Denmark,Managed,2009,7.92,10369.11323,Designated_and_managed
Kobberhage kystarealer,284,Designated_and_managed,Kobberhage kystarealer,2,Denmark,Managed,2009,7.92,15300.69996,Designated_and_managed
J<e6>gerspris Skydeterr<e6>n,282,Designated_and_managed,Jægerspris Skydeterræn,2,Denmark,Managed,2009,5.69,15300.69996,Designated_and_managed
