Country (Country),Species (ASFIS species),Aquaculture area (FAO major fishing area),Environment (Environment),Unit,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Sweden,Blue mussel,"Atlantic, Northeast",Marine,t,500,500,600,300,300,300,400,400,500,600,500,500,800,800,600,500,700,500,500,400,200,100,0 0,0 0,58,32,42,30,45,41,39,557,1548,1580,1278,415,325,2556,858,241,1163,1643,1353,737,2095,1521,1821,1425,455,925,443,1444,1382,1742,1435,1069,1791,1168,1911,2125,1382,1470,1308,1702,1746
Russian Federation,Sea mussels nei,"Atlantic, Northeast",Marine,t,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,-,-,-,-,-,56,35,300,600,700,200,100,98,101,55,-,-,-,-,-,-,-,-,-,-,800,600
Denmark,European eel,"Atlantic, Northeast",Marine,t,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,145,103,104,71,918,742,82,1021.8,1000 F,800 F,661.1,...,...
Denmark,European eel,"Atlantic, Northeast",Brackishwater,t,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,43,44,720,...,-,-,-,...,...,...,...,...
Germany,Turbot,"Atlantic, Northeast",Marine,t,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1,1,0 0,0 0,0 0,0 0,0 0,-,-,0 0,-,-,-,2,...,58,68,60,60,0 0,0 0,-,...,...,...,...
Germany,"Clams, etc. nei","Atlantic, Northeast",Marine,t,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,-,-,-,-,-,-,-,-,-,-,-,1191,110,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,...
Denmark,Turbot,"Atlantic, Northeast",Marine,t,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,4,6,8,3,21,6,2.2,6,5,2,7,3.9 F
Germany,Blue mussel,"Atlantic, Northeast",Marine,t,6400,6000,11200,7800,5700,10000,5100,6000,9900,14700,13200,10000,5800,4800,5300,7600,11500,11300,11400,6700,9600,5600,8100,10400,15860,17042,22692,11154,11760,3422,10760,10566,16967,31634,59311,20818,29939,25926,29725,18556,20237,29977,50800,24666,4868,17782,38028,22330,31213,37912,24122,11638,8018,28549,12474,9470,3670,10539,6896,3600,4905,20830,6933,5036,5280
Denmark,Blue mussel,"Atlantic, Northeast",Marine,t,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,11,55,280,411,949,1737,2555.8,669,537,537,810,1810
Denmark,Atlantic cod,"Atlantic, Northeast",Marine,t,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,-,0 0,5,...,...,...,...,...,...
Russian Federation,Atlantic cod,"Atlantic, Northeast",Marine,t,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,7,-,-,-,-,-,-,-,-,-
Sweden,European flat oyster,"Atlantic, Northeast",Marine,t,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,...
Denmark,Marine fishes nei,"Atlantic, Northeast",Marine,t,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,5,...,...,0 0,0 0
Finland,Freshwater fishes nei,"Atlantic, Northeast",Brackishwater,t,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0 0,0 0,11,4,41,-,9,21,12,-,-,-,-,-,-,-,-,-,28,...,-,-,-,18
Germany,European seabass,"Atlantic, Northeast",Brackishwater,t,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,-,-,-,-,-,-,-,-,-,-,-,-,-,0 0,2,1,7,10,40,...,45,25,15,15,0 0,0 0,-,...,...,...,...
Finland,Sea trout,"Atlantic, Northeast",Brackishwater,t,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,-,-,-,-,-,-,-,-,-,-,-,-,6,-,-,-,-,-,-,-,-,-,...,33,55,113,91
Denmark,Sea trout,"Atlantic, Northeast",Brackishwater,t,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,201,347,-,77,71,...,23,77
Denmark,European flounder,"Atlantic, Northeast",Marine,t,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,0 0,-,-,-,0 0,0 0,...,...,...,...,4 F,4 F
Russian Federation,Sea trout,"Atlantic, Northeast",Marine,t,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,97,-,279,41,190,138,50,350,150,67,80,73,108,121,10,6,13,-,-,-,30,-,199,-,-,50,115
Germany,Pacific cupped oyster,"Atlantic, Northeast",Marine,t,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,10,24,52,85,91,100,106,84,84,73,75,75,75,85,85,85,85,85,85,85,86,86,86,86,80,80,80 F,80 F,80 F
Denmark,European whitefish,"Atlantic, Northeast",Brackishwater,t,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1,0 0,-,-,...,...,...,...,...,...
Denmark,Atlantic salmon,"Atlantic, Northeast",Marine,t,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1,0 0,1,1,...,-,-,-,...,...,...,...,...
Estonia,Rainbow trout,"Atlantic, Northeast",Marine,t,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,-,-,87,270,160,166,156,150,-,-,-,-,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
Finland,Atlantic salmon,"Atlantic, Northeast",Brackishwater,t,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,251,312,9,235,93,92,93,11,117,71,157,143,85,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Finland,European whitefish,"Atlantic, Northeast",Brackishwater,t,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,-,-,-,-,-,-,-,-,89,33,90,40,63,157,159,284,383,509,672,702,568,578,577,936,961,886,676
Finland,Rainbow trout,"Atlantic, Northeast",Brackishwater,t,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,-,-,-,-,-,-,-,-,809,794,1958,2211,3226,3910,5381,6647,7140,8784,12749,13388,13024,15055,14588,13687,13315,13882,14618,12965,13158,12718,13210,13033,12001,10151,10586,11612,10073,10094,10712,10508,9269,8376,9432,10481,10732
