country;mar_region;BHI
Sweden;Norra ostkusten;41
Sweden;Norra ostkusten;39
Sweden;Norra ostkusten;37
Sweden;Sodra ostkusten;35
Sweden;Sodra ostkusten;29
Sweden;Sodra ostkusten;26
Sweden;Syd och vastkusten;14
Sweden;Syd och vastkusten;11
Sweden;Syd och vastkusten;5
Sweden;Syd och vastkusten;1
Finland;Kaakkois Suomi ;32
Finland;Uusimaa ;32
Finland;Aland;36
Finland;Varsinais Suomi ;36
Finland;Varsinais Suomi ;38
Finland;Ostrobothnia;38
Finland;Ostrobothnia;40
Finland;Ostrobothnia;42
Finland;Kainnuu;42
Denmark;Hovedstaden;2
Denmark;Hovedstaden;6
Denmark;Hovedstaden;12
Denmark;Hovedstaden;15
Denmark;Sjaelland;3
Denmark;Sjaelland;7
Denmark;Sjaelland;9
Denmark;Sjaelland;12
Denmark;Midtjylland;2
Denmark;Midtjylland;3
Denmark;Syddanmark;3
Germany;FAO_Germany;4
Germany;FAO_Germany;8
Germany;FAO_Germany;10
Germany;FAO_Germany;13
Germany;FAO_Germany;16
