TIME;GEO;GEO_LABEL;UNIT;UNIT_LABEL;NA_ITEM;Value;Flag and Footnotes
1990;RU;Russia;THS_PER;Thousand persons;Total employment domestic concept;;
1991;RU;Russia;THS_PER;Thousand persons;Total population national concept;148394.20;
1991;RU;Russia;THS_PER;Thousand persons;Total employment domestic concept;;
1992;RU;Russia;THS_PER;Thousand persons;Total population national concept;148538.20;
1992;RU;Russia;THS_PER;Thousand persons;Total employment domestic concept;;
1993;RU;Russia;THS_PER;Thousand persons;Total population national concept;148458.80;
1993;RU;Russia;THS_PER;Thousand persons;Total employment domestic concept;;
1994;RU;Russia;THS_PER;Thousand persons;Total population national concept;148407.90;
1994;RU;Russia;THS_PER;Thousand persons;Total employment domestic concept;;
1995;RU;Russia;THS_PER;Thousand persons;Total population national concept;148375.80;
1995;RU;Russia;THS_PER;Thousand persons;Total employment domestic concept;;
1996;RU;Russia;THS_PER;Thousand persons;Total population national concept;148160.10;
1996;RU;Russia;THS_PER;Thousand persons;Total employment domestic concept;;
1997;RU;Russia;THS_PER;Thousand persons;Total population national concept;147915.40;
1997;RU;Russia;THS_PER;Thousand persons;Total employment domestic concept;;
1998;RU;Russia;THS_PER;Thousand persons;Total population national concept;147670.80;
1998;RU;Russia;THS_PER;Thousand persons;Total employment domestic concept;58464.00;
1999;RU;Russia;THS_PER;Thousand persons;Total population national concept;147214.80;
1999;RU;Russia;THS_PER;Thousand persons;Total employment domestic concept;62945.00;
2000;RU;Russia;THS_PER;Thousand persons;Total population national concept;146596.90;
2000;RU;Russia;THS_PER;Thousand persons;Total employment domestic concept;65070.00;
2001;RU;Russia;THS_PER;Thousand persons;Total population national concept;145976.50;
2001;RU;Russia;THS_PER;Thousand persons;Total employment domestic concept;65122.90;
2002;RU;Russia;THS_PER;Thousand persons;Total population national concept;145306.50;
2002;RU;Russia;THS_PER;Thousand persons;Total employment domestic concept;66658.90;
2003;RU;Russia;THS_PER;Thousand persons;Total population national concept;144648.60;
2003;RU;Russia;THS_PER;Thousand persons;Total employment domestic concept;66432.20;
2004;RU;Russia;THS_PER;Thousand persons;Total population national concept;144067.30;
2004;RU;Russia;THS_PER;Thousand persons;Total employment domestic concept;67274.70;
2005;RU;Russia;THS_PER;Thousand persons;Total population national concept;143518.80;
2005;RU;Russia;THS_PER;Thousand persons;Total employment domestic concept;68168.90;
2006;RU;Russia;THS_PER;Thousand persons;Total population national concept;143049.60;
2006;RU;Russia;THS_PER;Thousand persons;Total employment domestic concept;68854.90;
2007;RU;Russia;THS_PER;Thousand persons;Total population national concept;142805.10;
2007;RU;Russia;THS_PER;Thousand persons;Total employment domestic concept;70570.00;
