country,employ,revenue,coast_pop_ratio
Germany,54150,1560,2.8
Lithuania,341,16,11
Latvia,5370,53,63
Estonia,4720,134,74
Sweden,27143,1404,62
Denmark,21455,1106,100
Finland,9229,300,61
Poland,22470,345,10
