country,BHI_ID,nuts2
Poland,21,PL63
Germany,13,DE80
Germany,10,DE80
Germany,10,DEF0
Germany,16,DE80
Germany,16,PL42
Germany,4,DEF0
Germany,4,DK03
Germany,8,DEF0
Denmark,12,DK01
Denmark,12,DK02
Denmark,9,DK02
Denmark,15,DK01
Denmark,3,DEF0
Denmark,3,DK02
Denmark,3,DK03
Denmark,3,DK04
Denmark,2,DK01
Denmark,2,DK02
Denmark,2,DK04
Denmark,2,DK05
Denmark,7,DK02
Denmark,6,DK01
Estonia,25,EE00
Estonia,34,EE00
Estonia,28,EE00
Estonia,28,LV00
Estonia,31,EE00
Finland,36,FI18
Finland,36,FI20
Finland,42,FI19
Finland,42,FI1A
Finland,42,SE33
Finland,38,FI18
Finland,38,FI19
Finland,38,FI20
Finland,32,FI18
Finland,40,FI19
Lithuania,23,LT00
Lithuania,23,LV00
Latvia,24,LT00
Latvia,24,LV00
Latvia,27,EE00
Latvia,27,LV00
Poland,17,DE80
Poland,17,PL42
Poland,17,PL63
Poland,18,PL62
Poland,18,PL63
Russia,22,LT00
Russia,19,PL62
Russia,33,EE00
Russia,33,FI18
Sweden,35,SE11
Sweden,35,SE12
Sweden,11,SE22
Sweden,14,SE21
Sweden,14,SE22
Sweden,37,SE12
Sweden,37,SE31
Sweden,37,SE32
Sweden,37,SE33
Sweden,41,FI1A
Sweden,41,SE33
Sweden,20,SE21
Sweden,1,SE22
Sweden,1,SE23
Sweden,29,SE11
Sweden,29,SE12
Sweden,39,SE33
Sweden,5,SE22
Sweden,26,SE12
Sweden,26,SE21
Sweden,26,SE22
Denmark,2,DK04
Denmark,2,DK05
Poland,18,PL62
Poland,18,PL63
