sector,sub_sector,revenue,employment,country,,,,,,,,,,,,,,,,,,,,,
Other sectors,,,,Finland,,,,,,,,,,,,,,,,,,,,,
0.1,Shipbuilding (excl. leisure boats) and ship repair,19,587,Finland,,,,,,,,,,,,,,,,,,,,,
0.2,Water projects,5,54,Finland,,,,,,,,,,,,,,,,,,,,,
1. Maritime transport,,,,Finland,,,,,,,,,,,,,,,,,,,,,
1.1,Deep-sea shipping,3,37,Finland,,,,,,,,,,,,,,,,,,,,,
1.2,Short-sea shipping (incl. Ro-Ro),41,415,Finland,,,,,,,,,,,,,,,,,,,,,
1.3,Passenger ferry services,43,669,Finland,,,,,,,,,,,,,,,,,,,,,
1.4,Inland waterway transport,0,4,Finland,,,,,,,,,,,,,,,,,,,,,
"2. Food, nutrition, health and ecosystem services",,,,Finland,,,,,,,,,,,,,,,,,,,,,
2.1,Fish for human consumption,27,500,Finland,,,,,,,,,,,,,,,,,,,,,
2.2,Fish for animal feeding,1,3,Finland,,,,,,,,,,,,,,,,,,,,,
2.3,Marine aquaculture,1,279,Finland,,,,,,,,,,,,,,,,,,,,,
2.4,Blue biotechnology,0,0,Finland,,,,,,,,,,,,,,,,,,,,,
2.5,Agriculture on saline soils,0,0,Finland,,,,,,,,,,,,,,,,,,,,,
3. Energy and raw materials,,,,Finland,,,,,,,,,,,,,,,,,,,,,
3.1,Offshore oil and gas,0,0,Finland,,,,,,,,,,,,,,,,,,,,,
3.2,Offshore wind,0,2,Finland,,,,,,,,,,,,,,,,,,,,,
3.3,Ocean renewable energy,0,0,Finland,,,,,,,,,,,,,,,,,,,,,
3.4,Carbon capture and storage,0,0,Finland,,,,,,,,,,,,,,,,,,,,,
3.5,"Aggregates mining (sand, gravel, etc.)",,,Finland,,,,,,,,,,,,,,,,,,,,,
3.6,Marine minerals mining,,,Finland,,,,,,,,,,,,,,,,,,,,,
3.7,Securing fresh water supply (desalition),0,0,Finland,,,,,,,,,,,,,,,,,,,,,
"4. Leisure, working and living",,,,Finland,,,,,,,,,,,,,,,,,,,,,
4.1,Coastal tourism,20,641,Finland,,,,,,,,,,,,,,,,,,,,,
4.2,Yachting and maris,8,229,Finland,,,,,,,,,,,,,,,,,,,,,
4.3,Cruise tourism,1,23,Finland,,,,,,,,,,,,,,,,,,,,,
5. Coastal protection,,,,Finland,,,,,,,,,,,,,,,,,,,,,
5.1,Coastal protection,7,71,Finland,,,,,,,,,,,,,,,,,,,,,
5.3,Protection of habitats,1,8,Finland,,,,,,,,,,,,,,,,,,,,,
6. Maritime monitoring and surveillance,,,,Finland,,,,,,,,,,,,,,,,,,,,,
6.1,Traceability and security of goods supply chains,,,Finland,,,,,,,,,,,,,,,,,,,,,
6.2,Prevent and protect against illegal movement of people and goods,,,Finland,,,,,,,,,,,,,,,,,,,,,
6.3,Environmental monitoring,,,Finland,,,,,,,,,,,,,,,,,,,,,
0. Other sectors,,,,Germany,,,,,,,,,,,,,,,,,,,,,
0.1,Shipbuilding and ship repair,46,917,Germany,,,,,,,,,,,,,,,,,,,,,
0.2,Water projects,4,98,Germany,,,,,,,,,,,,,,,,,,,,,
1. Maritime transport,,,,Germany,,,,,,,,,,,,,,,,,,,,,
1.1,Deep-sea shipping,80,502,Germany,,,,,,,,,,,,,,,,,,,,,
1.2,Short-sea shipping (incl. Ro-Ro),168,1046,Germany,,,,,,,,,,,,,,,,,,,,,
1.3,Passenger ferry services,7,118,Germany,,,,,,,,,,,,,,,,,,,,,
1.4,Inland waterway transport,0,0,Germany,,,,,,,,,,,,,,,,,,,,,
"2. Food, nutrition, health and ecosystem services",,,,Germany,,,,,,,,,,,,,,,,,,,,,
2.1,Fish for human consumption,127,3429,Germany,,,,,,,,,,,,,,,,,,,,,
2.2,Fish for animal feeding,0,0,Germany,,,,,,,,,,,,,,,,,,,,,
2.3,Marine aquaculture,0,0,Germany,,,,,,,,,,,,,,,,,,,,,
2.4,Blue biotechnology,,,Germany,,,,,,,,,,,,,,,,,,,,,
2.5,Agriculture on saline soils,0,0,Germany,,,,,,,,,,,,,,,,,,,,,
3. Energy and raw materials,,,,Germany,,,,,,,,,,,,,,,,,,,,,
3.1,Offshore oil and gas,0,0,Germany,,,,,,,,,,,,,,,,,,,,,
Maritime Economic Activity,,,,Germany,,,,,,,,,,,,,,,,,,,,,
3.2,Offshore wind,12,136,Germany,,,,,,,,,,,,,,,,,,,,,
3.3,Ocean renewable energy,,,Germany,,,,,,,,,,,,,,,,,,,,,
3.4,Carbon capture and storage,,,Germany,,,,,,,,,,,,,,,,,,,,,
3.5,Aggregates mining,0,0,Germany,,,,,,,,,,,,,,,,,,,,,
3.6,Marine minerals mining,,,Germany,,,,,,,,,,,,,,,,,,,,,
3.7,Securing fresh water supply,0,0,Germany,,,,,,,,,,,,,,,,,,,,,
"4. Leisure, working and living",,,,Germany,,,,,,,,,,,,,,,,,,,,,
4.1,Coastal tourism,101,4785,Germany,,,,,,,,,,,,,,,,,,,,,
4.2,Yachting and maris,26,272,Germany,,,,,,,,,,,,,,,,,,,,,
4.3,Cruise tourism,17,222,Germany,,,,,,,,,,,,,,,,,,,,,
5. Coastal protection,,,,Germany,,,,,,,,,,,,,,,,,,,,,
,"Coastal protection, protection of habitat",6,55,Germany,,,,,,,,,,,,,,,,,,,,,
6. Maritime monitoring and surveillance,,,,Germany,,,,,,,,,,,,,,,,,,,,,
,"Traceability and security of goods supply chains, Prevent and protect against illegal movement of people and goods",,,Germany,,,,,,,,,,,,,,,,,,,,,
6.3,Environmental monitoring,,,Germany,,,,,,,,,,,,,,,,,,,,,
0. Other sectors,,,,Latvia,,,,,,,,,,,,,,,,,,,,,
0.1,Shipbuilding (excl. leisure boats) and ship repair,3,206,Latvia,,,,,,,,,,,,,,,,,,,,,
0.2,Water projects,2,76,Latvia,,,,,,,,,,,,,,,,,,,,,
1. Maritime transport,,,,Latvia,,,,,,,,,,,,,,,,,,,,,
1.1,Deep-sea shipping,4,12,Latvia,,,,,,,,,,,,,,,,,,,,,
1.2,Short-sea shipping (incl. Ro-Ro),2,57,Latvia,,,,,,,,,,,,,,,,,,,,,
1.3,Passenger ferry services,4,119,Latvia,,,,,,,,,,,,,,,,,,,,,
1.4,Inland waterway transport,1,1,Latvia,,,,,,,,,,,,,,,,,,,,,
"2. Food, nutrition, health and ecosystem services",,,,Latvia,,,,,,,,,,,,,,,,,,,,,
2.1,Fish for human consumption,0.07,8.06,Latvia,,,,,,,,,,,,,,,,,,,,,
2.2,Fish for  animal feeding,0.002,0.25,Latvia,,,,,,,,,,,,,,,,,,,,,
