"","congener","congener_full"
"1","CB101"," 2 2' 4 5 5'-pentachlorobiphenyl (CB101)"
"2","CB105"," 2 3 3' 4 4'-pentachlorobiphenyl (CB105)"
"3","CB118"," 2 3' 4 4' 5-pentachlorobiphenyl (CB118)"
"4","CB128"," 2 2' 3 3' 4 4'-hexachlorobiphenyl (CB128)"
"5","CB138"," 2 2' 3 4 4' 5'-hexachlorobiphenyl (CB138)"
"6","CB149"," 2 2' 3 4' 5' 6-hexachlorobiphenyl (CB149)"
"7","CB153"," 2 2' 4 4' 5 5'-hexachlorobiphenyl (CB153)"
"8","CB156"," 2 3 3' 4 4' 5-hexachlorobiphenyl (CB156)"
"9","CB157"," 2 3 4 3' 4' 5'-hexachlorobiphenyl (CB157)"
"10","CB167"," 2' 3 4 4' 5 5'-hexachlorobiphenyl (CB167)"
"11","CB169"," 3 3' 4 4' 5 5'-hexachlorobiphenyl (CB169)"
"12","CB170"," 2 2' 3 3' 4 4' 5-heptachlorobiphenyl (CB170)"
"13","CB180"," 2 2' 3 4 4' 5 5'-heptachlorobiphenyl (CB180)"
"14","CB28"," 2 4 4'-trichlorobiphenyl (CB28)"
"15","CB52"," 2 2' 5 5'-tetrachlorobiphenyl (CB52)"
"16","CB77"," 3 3' 4 4'-tetrachlorobiphenyl (CB77)"
"17","CDD1N"," 1 2 3 7 8-pentachlorodibenzo-p-dioxin"
"18","CDD4X"," 1 2 3 4 7 8-hexachlorodibenzo-p-dioxin"
"19","CDD6P"," 1 2 3 4 6 7 8-heptachlorodibenzo-p-dioxin"
"20","CDD6X"," 1 2 3 6 7 8-hexachlorodibenzo-p-dioxin"
"21","CDD9X"," 1 2 3 7 8 9-hexachlorodibenzo-p-dioxin"
"22","CDDO"," 1 2 3 4 6 7 8 9-octachlorodibenzo-p-dioxin"
"23","CDF2N"," 2 3 4 7 8-pentachlorodibenzofuran"
"24","CDF2T"," 2 3 7 8-tetrachloro-dibenzofuran"
"25","CDF4X"," 2 3 4 6 7 8-hexachlorodibenzofuran"
"26","CDF6P"," 1 2 3 4 6 7 8-heptachlorodibenzofuran"
"27","CDF6X"," 1 2 3 6 7 8-hexachlorodibenzofuran"
"28","CDF9P"," 1 2 3 4 7 8 9-heptachlorodibenzofuran"
"29","CDF9X"," 1 2 3 7 8 9-hexachlorodibenzofuran"
"30","CDFDN"," 1 2 3 7 8/1 2 3 4 8-pentachloro-dibenzofuran"
"31","CDFO"," octachloro-dibenzofuran (group)"
"32","TCDD"," 2 3 7 8-tetrachloro-dibenzo[b e][1 4]dioxin"
