Basins,Number,Total_registered,10_percent_ total registered ,penalty_factor
Bothnian Bay,2,173,17,0.117647059
The Quark,1,173,17,0.058823529
Bothnian Sea,1,173,17,0.058823529
Aland Sea,1,173,17,0.058823529
Gulf of Finland,1,173,17,0.058823529
Gulf of Riga,1,173,17,0.058823529
Northern Baltic Proper ,2,173,17,0.117647059
Western Gotland Basin ,2,173,17,0.117647059
Eastern Gotland Basin,2,173,17,0.117647059
Bornholm Basin ,2,173,17,0.117647059
Arkona Basin ,2,173,17,0.117647059
Gdansk Basin,1,173,17,0.058823529
Bay of Mecklenburg,2,173,17,0.117647059
Kiel Bay,2,173,17,0.117647059
Great Belt,2,173,17,0.117647059
The Sound,2,173,17,0.117647059
Kattegat,3,173,17,0.176470588
