basin,Number,Total_registered,10% of total registered ,penality_factor_10,5% of total registered ,penality_factor_5
Bothnian Bay,2,173,17,0.117647059,8.65,0.231213873
The Quark,1,173,17,0.058823529,8.65,0.115606936
Bothnian Sea,1,173,17,0.058823529,8.65,0.115606936
Åland Sea,1,173,17,0.058823529,8.65,0.115606936
Gulf of Finland,1,173,17,0.058823529,8.65,0.115606936
Gulf of Riga,1,173,17,0.058823529,8.65,0.115606936
Northern Baltic Proper ,2,173,17,0.117647059,8.65,0.231213873
Western Gotland Basin ,2,173,17,0.117647059,8.65,0.231213873
Eastern Gotland Basin,2,173,17,0.117647059,8.65,0.231213873
Bornholm Basin ,2,173,17,0.117647059,8.65,0.231213873
Arkona Basin ,2,173,17,0.117647059,8.65,0.231213873
Gdansk Basin,1,173,17,0.058823529,8.65,0.115606936
Bay of Mecklenburg,2,173,17,0.117647059,8.65,0.231213873
Kiel Bay,2,173,17,0.117647059,8.65,0.231213873
Great Belt,2,173,17,0.117647059,8.65,0.231213873
The Sound,2,173,17,0.117647059,8.65,0.231213873
Kattegatt ,3,173,17,0.176470588,8.65,0.346820809
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
