Country;MYEAR;PARGROUP;PARAM;BASIS;QFLAG;Value;MUNIT;VFLAG;DETLI;LMQNT;EqualDET;EqualLM
Sweden;1988;OC-CB;CB28;L;<;4;ug/kg;A;4;;TRUE;FALSE
Sweden;1988;OC-CB;CB52;L;;15.9;ug/kg;A;4;;FALSE;FALSE
Sweden;1988;OC-CB;CB101;L;;34.4;ug/kg;A;4;;FALSE;FALSE
Sweden;1988;OC-CB;CB118;L;;35.3;ug/kg;A;5;;FALSE;FALSE
Sweden;1988;OC-CB;CB153;L;;50.1;ug/kg;A;5;;FALSE;FALSE
Sweden;1988;OC-CB;CB138;L;;54.9;ug/kg;A;6;;FALSE;FALSE
Sweden;1988;OC-CB;CB180;L;;17.9;ug/kg;A;4;;FALSE;FALSE
Sweden;1988;OC-CB;CB28;L;<;4;ug/kg;A;4;;TRUE;FALSE
Sweden;1988;OC-CB;CB52;L;;17.8;ug/kg;A;4;;FALSE;FALSE
Sweden;1988;OC-CB;CB101;L;;48.4;ug/kg;A;4;;FALSE;FALSE
Sweden;1988;OC-CB;CB118;L;;48.4;ug/kg;A;5;;FALSE;FALSE
Sweden;1988;OC-CB;CB153;L;;67.8;ug/kg;A;5;;FALSE;FALSE
Sweden;1988;OC-CB;CB138;L;;76.8;ug/kg;A;6;;FALSE;FALSE
Sweden;1988;OC-CB;CB180;L;;22.2;ug/kg;A;4;;FALSE;FALSE
Sweden;1988;OC-CB;CB28;L;;21.2;ug/kg;A;4;;FALSE;FALSE
Sweden;1988;OC-CB;CB52;L;;19.5;ug/kg;A;4;;FALSE;FALSE
Sweden;1988;OC-CB;CB101;L;;44.1;ug/kg;A;4;;FALSE;FALSE
Sweden;1988;OC-CB;CB118;L;;44.8;ug/kg;A;5;;FALSE;FALSE
Sweden;1988;OC-CB;CB153;L;;55.2;ug/kg;A;5;;FALSE;FALSE
Sweden;1988;OC-CB;CB138;L;;60.7;ug/kg;A;6;;FALSE;FALSE
Sweden;1988;OC-CB;CB180;L;;19.7;ug/kg;A;4;;FALSE;FALSE
Sweden;1988;OC-CB;CB28;L;<;4;ug/kg;A;4;;TRUE;FALSE
Sweden;1988;OC-CB;CB52;L;;26.2;ug/kg;A;4;;FALSE;FALSE
Sweden;1988;OC-CB;CB101;L;;51.9;ug/kg;A;4;;FALSE;FALSE
Sweden;1988;OC-CB;CB118;L;;51.8;ug/kg;A;5;;FALSE;FALSE
Sweden;1988;OC-CB;CB153;L;;68.9;ug/kg;A;5;;FALSE;FALSE
Sweden;1988;OC-CB;CB138;L;;74.1;ug/kg;A;6;;FALSE;FALSE
Sweden;1988;OC-CB;CB180;L;;24.4;ug/kg;A;4;;FALSE;FALSE
Sweden;1988;OC-CB;CB28;L;;37.1;ug/kg;A;4;;FALSE;FALSE
Sweden;1988;OC-CB;CB52;L;;50.3;ug/kg;A;4;;FALSE;FALSE
Sweden;1988;OC-CB;CB101;L;;93.3;ug/kg;A;4;;FALSE;FALSE
Sweden;1988;OC-CB;CB118;L;;93.3;ug/kg;A;5;;FALSE;FALSE
Sweden;1988;OC-CB;CB153;L;;115;ug/kg;A;5;;FALSE;FALSE
Sweden;1988;OC-CB;CB138;L;;124;ug/kg;A;6;;FALSE;FALSE
Sweden;1988;OC-CB;CB180;L;;41;ug/kg;A;4;;FALSE;FALSE
Sweden;1988;OC-CB;CB28;L;<;4;ug/kg;A;4;;TRUE;FALSE
Sweden;1988;OC-CB;CB52;L;;30.9;ug/kg;A;4;;FALSE;FALSE
Sweden;1988;OC-CB;CB101;L;;60.9;ug/kg;A;4;;FALSE;FALSE
Sweden;1988;OC-CB;CB118;L;;61.8;ug/kg;A;5;;FALSE;FALSE
Sweden;1988;OC-CB;CB153;L;;82.9;ug/kg;A;5;;FALSE;FALSE
Sweden;1988;OC-CB;CB138;L;;91.3;ug/kg;A;6;;FALSE;FALSE
Sweden;1988;OC-CB;CB180;L;;31.8;ug/kg;A;4;;FALSE;FALSE
Sweden;1988;OC-CB;CB28;L;;25.7;ug/kg;A;4;;FALSE;FALSE
Sweden;1988;OC-CB;CB52;L;;36.4;ug/kg;A;4;;FALSE;FALSE
Sweden;1988;OC-CB;CB101;L;;82.4;ug/kg;A;4;;FALSE;FALSE
Sweden;1988;OC-CB;CB118;L;;74.4;ug/kg;A;5;;FALSE;FALSE
Sweden;1988;OC-CB;CB153;L;;89.5;ug/kg;A;5;;FALSE;FALSE
Sweden;1988;OC-CB;CB138;L;;97.1;ug/kg;A;6;;FALSE;FALSE
Sweden;1988;OC-CB;CB180;L;;26.9;ug/kg;A;4;;FALSE;FALSE
Sweden;1988;OC-CB;CB28;L;;31.7;ug/kg;A;4;;FALSE;FALSE
