location;basin
Aland.Sea;Aland Sea
Archipelago.Sea;Aland Sea
Arkona.Basin;Arkona Basin
Bay.of.Mecklenburg;Bay of Mecklenburg
Bornholm.Basin;Bornholm Basin
Bothnian.Bay;Bothnian Bay
Bothnian.Sea;Bothnian Sea
Bothnian.Sea...The.Quark;Bothnian Sea
Bothnian.Sea...The.Quark;The Quark
Curonian.Lagoon;Gulf of Gdansk
Darss.Zingst.Lagoon;Bay of Mecklenburg
Eastern.Gotland.Basin;Eastern Gotland Basin
Eckernförde.Bay;Kiel Bay
Flensburg.Fjord;Great Belt
Great.Belt;Great Belt
Great.Belt...Little.Belt;Great Belt
Greifswald.Lagoon;Arkona Basin
Gulf.of.Finland;Gulf of Finland
Gulf.of.Gdansk;Gulf of Gdansk
Gulf.of.Riga;Gulf of Riga
Kattegat;Kattegat
Kattegatt;Kattegat
Kiel.Bay;Kiel Bay
Kiel.Fjord;Kiel Bay
Little.Belt;Great Belt
Northern.Baltic.Proper;Northern Baltic Proper
Nothern.Baltic.Proper;Northern Baltic Proper
Rugia.Lagoons;Arkona Basin
Schlei.Estuary;Kiel Bay
Szczecin.Lagoon;Bornholm Basin
The.Bay.of.Mecklenburg;Bay of Mecklenburg
The.Bothnian.Sea;Bothnian Sea
The.Eastern.Gotland.Basin;Eastern Gotland Basin
The.Gulf.of.Gda.sk;Gulf of Gdansk
The.Northern.Baltic.Proper;Northern Baltic Proper
The.Quark;The Quark
The.Sound;The Sound
The.Western.Gotland.Basin;Western Gotland Basin
Trave.Estuary;Bay of Mecklenburg
Warnow.Estuary;Bay of Mecklenburg
Western.Gotland.Basin;Western Gotland Basin
Wismar.Bay;Bay of Mecklenburg
Vistula.Lagoon;Gulf of Gdansk
