Fish,ICES_subdiv,Original,Fmsy,Fmsy_MULTI,Bmsy,Fpa,Bpa,FMGT,Info
cod,22-24,cod_2224,0.26,,38400,,,0.6,Btrigger
cod,25-32,cod_2532,0.46,,88200,,88200,0.3,Btrigger
her,"25-29,32",her_2532,0.22,0.3,600000,0.41,600000,,Btrigger
her,30,her_30,0.15,,316000,,,,Btrigger
her,22-24,her_3a22,0.32,,110000,,,,Btrigger
her,28_1,her_riga,0.32,,60000,0.4,60000,,Btrigger
spr,22-32,spr_2232,0.26,0.285,570000,0.32,570000,,Btrigger
,,,,,,,,,
