Year,Source,ICES_subdiv,Fish,SSB,F
1966,ICES,22-24,cod,,
1967,ICES,22-24,cod,,
1968,ICES,22-24,cod,,
1969,ICES,22-24,cod,,
1970,ICES,22-24,cod,,
1971,ICES,22-24,cod,,
1972,ICES,22-24,cod,,
1973,ICES,22-24,cod,,
1974,ICES,22-24,cod,,
1975,ICES,22-24,cod,,
1976,ICES,22-24,cod,,
1977,ICES,22-24,cod,,
1978,ICES,22-24,cod,,
1979,ICES,22-24,cod,,
1980,ICES,22-24,cod,,
1981,ICES,22-24,cod,,
1982,ICES,22-24,cod,,
1983,ICES,22-24,cod,,
1984,ICES,22-24,cod,,
1985,ICES,22-24,cod,,
1986,ICES,22-24,cod,,
1987,ICES,22-24,cod,,
1988,ICES,22-24,cod,,
1989,ICES,22-24,cod,,
1990,ICES,22-24,cod,,
1991,ICES,22-24,cod,,
1992,ICES,22-24,cod,,
1993,ICES,22-24,cod,,
1994,ICES,22-24,cod,31666,1.021
1995,ICES,22-24,cod,31257,1.144
1996,ICES,22-24,cod,34269,1.109
1997,ICES,22-24,cod,35561,1.117
1998,ICES,22-24,cod,27529,1.131
1999,ICES,22-24,cod,31761,1.249
2000,ICES,22-24,cod,36534,1.216
2001,ICES,22-24,cod,30730,1.256
2002,ICES,22-24,cod,24416,1.22
2003,ICES,22-24,cod,19176,1.116
2004,ICES,22-24,cod,21068,1.089
2005,ICES,22-24,cod,27065,0.977
2006,ICES,22-24,cod,31195,0.868
2007,ICES,22-24,cod,32370,0.9
2008,ICES,22-24,cod,22697,0.949
2009,ICES,22-24,cod,15386,1.008
2010,ICES,22-24,cod,13747,0.988
2011,ICES,22-24,cod,13586,0.92
2012,ICES,22-24,cod,16012,0.878
2013,ICES,22-24,cod,14118,0.936
2014,ICES,22-24,cod,18363,0.842
2015,ICES,22-24,cod,23742,
1966,ICES,25-32,cod,169906,0.948
1967,ICES,25-32,cod,213630,1.214
1968,ICES,25-32,cod,226613,1.058
1969,ICES,25-32,cod,222793,1.034
1970,ICES,25-32,cod,211082,0.987
1971,ICES,25-32,cod,195438,0.862
1972,ICES,25-32,cod,201793,0.859
1973,ICES,25-32,cod,217510,0.854
1974,ICES,25-32,cod,259367,0.792
1975,ICES,25-32,cod,312388,0.732
1976,ICES,25-32,cod,330380,0.842
1977,ICES,25-32,cod,322868,0.823
1978,ICES,25-32,cod,367692,0.616
1979,ICES,25-32,cod,515040,0.597
1980,ICES,25-32,cod,631593,0.7
1981,ICES,25-32,cod,643064,0.788
1982,ICES,25-32,cod,634759,0.795
1983,ICES,25-32,cod,609869,0.744
1984,ICES,25-32,cod,594217,0.839
1985,ICES,25-32,cod,527551,0.829
1986,ICES,25-32,cod,377377,0.998
1987,ICES,25-32,cod,322546,0.938
1988,ICES,25-32,cod,289816,0.888
1989,ICES,25-32,cod,226613,1.035
1990,ICES,25-32,cod,207316,1.199
1991,ICES,25-32,cod,136353,1.348
1992,ICES,25-32,cod,86855,1.01
1993,ICES,25-32,cod,94466,0.553
1994,ICES,25-32,cod,161943,0.61
1995,ICES,25-32,cod,187587,0.767
1996,ICES,25-32,cod,163571,0.909
1997,ICES,25-32,cod,126121,1.013
1998,ICES,25-32,cod,98027,0.964
1999,ICES,25-32,cod,86422,0.924
2000,ICES,25-32,cod,93714,0.994
2001,ICES,25-32,cod,88965,1.061
2002,ICES,25-32,cod,82372,1.081
2003,ICES,25-32,cod,76420,1.063
2004,ICES,25-32,cod,70545,1.224
2005,ICES,25-32,cod,62193,1.003
2006,ICES,25-32,cod,71182,0.906
2007,ICES,25-32,cod,78590,0.771
2008,ICES,25-32,cod,99708,0.552
2009,ICES,25-32,cod,120692,0.468
2010,ICES,25-32,cod,139944,0.422
2011,ICES,25-32,cod,132191,0.392
2012,ICES,25-32,cod,153584,0.373
2013,ICES,25-32,cod,179872,
2014,ICES,25-32,cod,,
2015,ICES,25-32,cod,,
1966,ICES,22-24,her,,
1967,ICES,22-24,her,,
1968,ICES,22-24,her,,
1969,ICES,22-24,her,,
1970,ICES,22-24,her,,
1971,ICES,22-24,her,,
1972,ICES,22-24,her,,
1973,ICES,22-24,her,,
1974,ICES,22-24,her,,
1975,ICES,22-24,her,,
1976,ICES,22-24,her,,
1977,ICES,22-24,her,,
1978,ICES,22-24,her,,
1979,ICES,22-24,her,,
1980,ICES,22-24,her,,
1981,ICES,22-24,her,,
1982,ICES,22-24,her,,
