"Year","TEMP_O_5_JulAug_OS","SALIN_O_5_OS","SALIN_45_OS"
1960,18.5341838709677,33.2235109289618,33.2235109289618
1961,16.3810532258065,31.6462167123288,31.6462167123288
1962,18.5392612903226,32.9924298630137,32.9924298630137
1963,19.5412080645161,32.9482580821918,32.9482580821918
1964,18.4557282258065,33.2818355191257,33.2818355191257
1965,17.8890169354839,33.0956698630137,33.0956698630137
1966,17.4011419354839,33.1786717808219,33.1786717808219
1967,18.6418629032258,33.3050539726027,33.3050539726027
1968,17.2374685483871,33.0259827868852,33.0259827868852
1969,17.1876,32.5165761643836,32.5165761643836
1970,17.9206451612903,32.2395435616438,32.2395435616438
1971,16.4775169354839,33.0182564383562,33.0182564383562
1972,17.7196129032258,32.7765945355191,32.7765945355191
1973,18.3144185483871,32.8080035616438,32.8080035616438
1974,18.3716282258065,32.6574660273973,32.6574660273973
1975,17.6259056451613,33.0746545205479,33.0746545205479
1976,19.6010790322581,33.442074863388,33.442074863388
1977,17.5589596774194,33.0066238356164,33.0066238356164
1978,19.0745161290323,32.7606690410959,32.7606690410959
1979,16.7640564516129,33.1092273972603,33.1092273972603
1980,17.9476919354839,32.7296193989071,32.7296193989071
1981,17.4345637096774,32.4373939726027,32.4373939726027
1982,17.1698564516129,31.8940882191781,31.8940882191781
1983,18.2542903225806,32.7782687671233,32.7782687671233
1984,18.2318717741936,33.1735724043716,33.1735724043716
1985,19.1201008064516,32.4179906849315,32.4179906849315
1986,18.4494040322581,32.819642739726,32.819642739726
1987,18.4462556451613,33.1090756164384,33.1090756164384
1988,18.1981209677419,32.6973218579235,32.6973218579235
1989,18.9535741935484,32.9141254794521,32.9141254794521
1990,19.6128717741935,33.1291347945205,33.1291347945205
1991,17.929664516129,33.2873060273973,33.2873060273973
1992,17.026,33.3387275956284,33.3387275956284
1993,17.7026435483871,33.1246145205479,33.1246145205479
1994,18.4959572580645,32.9534008219178,32.9534008219178
1995,17.5561548387097,32.4172230136986,32.4172230136986
1996,18.7524637096774,33.2919762295082,33.2919762295082
1997,18.3749717741935,32.9817539726027,32.9817539726027
1998,18.2873096774194,33.3419002739726,33.3419002739726
1999,18.9466120967742,32.2112531506849,32.2112531506849
2000,18.3607758064516,32.9057472677596,32.9057472677596
2001,18.8089725806452,33.1240882191781,33.1240882191781
2002,17.9293209677419,33.0438082191781,33.0438082191781
2003,19.1251483870968,33.2427536986301,33.2427536986301
2004,17.7359258064516,32.5812803278689,32.5812803278689
2005,17.7151879032258,33.1918726027397,33.1918726027397
2006,18.2796048387097,33.0112150684932,33.0112150684932
2007,19.0943314516129,32.9748443835616,32.9748443835616
2008,17.2631717741935,33.0081024590164,33.0081024590164
2009,17.5367258064516,33.1560139726027,33.1560139726027
2010,19.405114516129,32.8232378082192,32.8232378082192
2011,20.0677685483871,32.3161145205479,32.3161145205479
2012,19.0142161290323,32.9531571038251,32.9531571038251
2013,17.2594435483871,32.5130238356164,32.5130238356164
2014,20.2011661290323,33.3597320547945,33.3597320547945
2015,18.9207637096774,32.8341156164384,32.8341156164384
2016,18.950410483871,32.9448863387978,32.9448863387978
2017,20.1164766129032,32.4105136986301,32.4105136986301
2018,20.1393338709677,32.5778402739726,32.5778402739726
2019,18.5400403225806,32.9836493150685,32.9836493150685
2020,18.9023016129032,32.9508912568306,32.9508912568306
