"Year","TEMP_O_5_JulAug_GS","SALIN_O_5_GS","SALIN_250_GS"
1960,18.5945362903226,7.33132978142076,12.9288830601093
1961,16.7250217741936,7.45017095890411,12.904864109589
1962,17.7281790322581,7.57561904109589,12.7497663013699
1963,19.2179072580645,7.47333263013699,12.5549934246575
1964,17.6776419354839,7.44318650273224,12.4770483606557
1965,16.4304798387097,7.55849912328767,12.6864438356164
1966,16.7910419354839,7.4531254109589,12.7413909589041
1967,18.0659193548387,7.51742167123288,12.901777260274
1968,17.3800774193548,7.58773234972678,13.1457978142077
1969,18.1288483870968,7.61073636986301,13.1097191780822
1970,17.7944637096774,7.73249917808219,13.0354868493151
1971,16.1435403225806,7.83033182191781,12.9143895890411
1972,17.6754298387097,7.80024461748634,12.8063508196721
1973,17.6019153225806,7.85054856164384,12.6951693150685
1974,18.1835532258065,7.77536121917808,12.550124109589
1975,17.7043387096774,7.78313317808219,12.6585224657534
1976,19.9820306451613,7.69781773224044,12.8945270491803
1977,17.2684137096774,7.75344610958904,13.0041912328767
1978,19.5284016129032,7.71932693150685,12.8412652054795
1979,16.1865629032258,7.67072824657534,12.8545038356164
1980,17.6610911290323,7.67842771857924,12.9346450819672
1981,17.6569653225806,7.7729912739726,12.7839926027397
1982,16.380739516129,7.82332375342466,12.6347350684931
1983,17.5607983870968,7.84524367123288,12.553324109589
1984,18.9113701612903,7.8003,12.650506557377
1985,18.209464516129,7.75103652054795,12.6669660273973
1986,17.2307919354839,7.82332656164384,12.4252479452055
1987,19.0334637096774,7.75890153424658,12.4498876712329
1988,17.3045612903226,7.69266786885246,12.7961098360656
1989,18.5670983870968,7.73092223287671,12.7967868493151
1990,18.5698516129032,7.74042108219178,12.6327857534247
1991,17.5769056451613,7.76561410958904,12.7000008219178
1992,16.1541233870968,7.7713687295082,12.999606284153
1993,17.1286024193548,7.73108679452055,12.937135890411
1994,16.5758387096774,7.67322071232877,12.8026268493151
1995,17.7064233870968,7.67454780821918,12.8566775342466
1996,18.3571120967742,7.77255733606557,12.8001639344262
1997,18.1594233870968,7.70844797260274,12.7049446575342
1998,19.6248161290323,7.66241973972603,12.7395350684932
1999,19.3017048387097,7.6929972739726,12.8907778082192
