"Year","TEMP_O_5_JulAug_BB","SALIN_O_5_BB","SALIN_110_BB"
1970,14.8436585,4.1342876939726,4.1342876939726
1971,13.0752641217742,4.28450832931507,4.28450832931507
1972,15.3819783387097,4.2965113136612,4.2965113136612
1973,14.6882154854839,4.29502008657534,4.29502008657534
1974,14.5333293467742,4.32002461945206,4.32002461945206
1975,13.3802379806452,4.23196879068493,4.23196879068493
1976,11.8516917040323,4.26566488387978,4.26566488387978
1977,13.3482848806452,4.32302118438356,4.32302118438356
1978,13.1570382032258,4.33841138191781,4.33841138191781
1979,14.517542583871,4.32548586986301,4.32548586986301
1980,13.0403789701613,4.30340013989071,4.30340013989071
1981,14.0916866975806,4.3380925690411,4.3380925690411
1982,12.8688558645161,4.30429502273973,4.30429502273973
1983,14.2550867580645,4.24903888520548,4.24903888520548
1984,14.8921156774194,4.2045455715847,4.2045455715847
1985,13.7093166129032,4.14613296575342,4.14613296575342
1986,13.8088387016129,4.08974614054795,4.08974614054795
1987,11.5364870072581,4.05627986191781,4.05627986191781
1988,15.0790975,3.97831136065574,3.97831136065574
1989,13.6820142016129,3.95085050273973,3.95085050273973
1990,13.49718975,3.95454384849315,3.95454384849315
1991,14.9038553596774,3.96642655534247,3.96642655534247
1992,12.7771300362903,3.8914076136612,3.8914076136612
1993,13.8178403790323,3.84304655917808,3.84304655917808
1994,13.9966096741935,3.87485121890411,3.87485121890411
1995,12.7123900354839,3.83592582054795,3.83592582054795
1996,12.5382963862903,3.85060010983607,3.85060010983607
1997,15.37675475,3.90465718438356,3.90465718438356
1998,14.3229663790323,3.91881219150685,3.91881219150685
1999,13.7950109274194,3.84379803342466,3.84379803342466
2000,13.7568823830645,3.76738728415301,3.76738728415301
2001,13.9474157903226,3.70233072027397,3.70233072027397
2002,15.2320687258065,3.68974909753425,3.68974909753425
2003,16.5638209112903,3.7484515709589,3.7484515709589
2004,14.7392516370968,3.73670434590164,3.73670434590164
2005,15.2649595483871,3.66008871041096,3.66008871041096
2006,14.5080689758065,3.69056937589041,3.69056937589041
2007,14.0363848064516,3.71969208082192,3.71969208082192
2008,14.913604766129,3.62988432377049,3.62988432377049
2009,15.5765198951613,3.63889366794521,3.63889366794521
2010,14.9528489516129,3.66353664136986,3.66353664136986
2011,15.7565150241935,3.65503842082192,3.65503842082192
2012,13.9052418056452,3.48698490601093,3.48698490601093
2013,14.7489344516129,3.46507239643836,3.46507239643836
2014,17.1945784032258,3.34218882246575,3.34218882246575
