"Year","TEMP_O_5_JulAug_BB","SALIN_O_5_BB","SALIN_110_BB"
1960,13.6473120967742,4.1225725136612,4.1225725136612
1961,14.2338419354839,4.17119131506849,4.17119131506849
1962,12.9469280645161,4.21224594520548,4.21224594520548
1963,12.8014337903226,4.15919742465753,4.15919742465753
1964,14.8623774193548,4.1067868579235,4.1067868579235
1965,12.2113045967742,4.10031191780822,4.10031191780822
1966,14.34135,4.0946482739726,4.0946482739726
1967,12.9376732258065,4.10460057534247,4.10460057534247
1968,11.3380558870968,4.1122537431694,4.1122537431694
1969,13.5998296774194,4.11960895890411,4.11960895890411
1970,10.1638475806452,4.23045463013699,4.23045463013699
1971,11.380275,4.23463038356164,4.23463038356164
1972,11.8020699193548,4.25204158469945,4.25204158469945
1973,13.8751685483871,4.18406052054794,4.18406052054794
1974,14.0920887096774,4.11496904109589,4.11496904109589
1975,14.4688370967742,4.12859449315069,4.12859449315069
1976,15.657039516129,4.10825800546448,4.10825800546448
1977,13.3871287096774,4.13541008219178,4.13541008219178
1978,12.5253680645161,4.18533950684932,4.18533950684932
1979,14.4844991935484,4.25865482191781,4.25865482191781
1980,11.7604137903226,4.31253956284153,4.31253956284153
1981,13.1601224193548,4.32276646575342,4.32276646575342
1982,10.3836012903226,4.29242276712329,4.29242276712329
1983,13.7116580645161,4.23012457534247,4.23012457534247
1984,12.9671153225806,4.2543543989071,4.2543543989071
1985,12.6704930645161,4.2429395890411,4.2429395890411
1986,14.8882862903226,4.20141416438356,4.20141416438356
1987,13.0038016129032,4.19084594520548,4.19084594520548
1988,14.2564999193548,4.24182822404372,4.24182822404372
1989,13.5665096774194,4.23383534246575,4.23383534246575
1990,12.32822,4.25208980821918,4.25208980821918
1991,15.300260483871,4.19545438356164,4.19545438356164
1992,14.3429790322581,4.1279537431694,4.1279537431694
1993,14.0932142741935,4.09594271232877,4.09594271232877
1994,14.1384782258065,4.12256482191781,4.12256482191781
1995,13.3747330645161,4.16094435616438,4.16094435616438
1996,10.8889744354839,4.14612587431694,4.14612587431694
1997,11.6602259677419,4.19505315068493,4.19505315068493
1998,12.999489516129,4.17707189041096,4.17707189041096
1999,15.5219991935484,4.09014065753425,4.09014065753425
2000,13.4209250806452,4.17167207650273,4.17167207650273
2001,12.0619829032258,4.2069064109589,4.2069064109589
2002,12.5772430645161,4.17749934246575,4.17749934246575
2003,12.4520305645161,4.04380715068493,4.04380715068493
2004,12.0950241935484,4.07992707650273,4.07992707650273
2005,12.2817016129032,4.14128298630137,4.14128298630137
2006,15.8783822580645,4.08742142465753,4.08742142465753
2007,11.2751127419355,4.08782726027397,4.08782726027397
2008,12.0796299193548,4.19355786885246,4.19355786885246
2009,12.0528158870968,4.24373846575342,4.24373846575342
2010,14.2633991935484,4.24095975342466,4.24095975342466
2011,10.5274543548387,4.23676860273973,4.23676860273973
2012,12.8863232258065,4.17814409836066,4.17814409836066
2013,13.7349290322581,4.08677931506849,4.08677931506849
2014,12.2768822580645,4.12623169863014,4.12623169863014
2015,13.108769516129,4.14932950684932,4.14932950684932
2016,10.3396466129032,4.18115136612022,4.18115136612022
2017,12.2175923387097,4.12999578082192,4.12999578082192
2018,14.5108322580645,4.08246983561644,4.08246983561644
2019,13.7379867741935,4.02780747945206,4.02780747945206
2020,13.4007166935484,4.05734732240437,4.05734732240437
2021,9.56446,4.14126893150685,4.14126893150685
2022,13.3296507258065,4.1211515890411,4.1211515890411
2023,15.8394806451613,4.07946575342466,4.07946575342466
2024,15.4075548387097,4.09374674863388,4.09374674863388
2025,10.3505861290323,4.12409476712329,4.12409476712329
2026,13.6990482258065,4.10638498630137,4.10638498630137
2027,13.2805923387097,4.00083331506849,4.00083331506849
2028,13.9367403225806,3.97250232240437,3.97250232240437
2029,14.7784588709677,3.96705865753425,3.96705865753425
2030,13.4197169354839,3.93961608219178,3.93961608219178
2031,15.5660427419355,3.88627342465753,3.88627342465753
2032,14.4753741935484,3.82718647540984,3.82718647540984
2033,12.9221168548387,3.88052923287671,3.88052923287671
2034,12.8796685483871,3.8109761369863,3.8109761369863
2035,15.1157927419355,3.80048139726027,3.80048139726027
2036,14.1735919354839,3.83314385245902,3.83314385245902
2037,15.7964524193548,3.8497584109589,3.8497584109589
2038,16.6394846774194,3.82986243835616,3.82986243835616
2039,15.0270024193548,3.78892046575342,3.78892046575342
2040,15.1288282258065,3.78199368852459,3.78199368852459
2041,15.2925185483871,3.70147435616438,3.70147435616438
2042,15.1906112903226,3.73294539726027,3.73294539726027
2043,14.7392323387097,3.79624224657534,3.79624224657534
2044,14.5582692741935,3.80149387978142,3.80149387978142
2045,15.6044112903226,3.71336936986301,3.71336936986301
2046,16.3515314516129,3.66910506849315,3.66910506849315
2047,14.919375,3.68341671232877,3.68341671232877
2048,16.4537088709677,3.63016568306011,3.63016568306011
2049,13.8708685483871,3.73210271232877,3.73210271232877
2050,15.9212564516129,3.71645323287671,3.71645323287671
2051,13.7432032258065,3.6774061369863,3.6774061369863
2052,16.3532411290323,3.64171704918033,3.64171704918033
2053,15.4669661290323,3.64458695890411,3.64458695890411
2054,12.3923974193548,3.68115147945205,3.68115147945205
2055,15.4490887096774,3.6299424109589,3.6299424109589
2056,17.6008322580645,3.54618661202186,3.54618661202186
2057,14.1577612903226,3.5917715890411,3.5917715890411
2058,15.0907790322581,3.49573723287671,3.49573723287671
2059,16.2339379032258,3.53394846575342,3.53394846575342
2060,14.7398814516129,3.56620464480874,3.56620464480874
2061,16.5023572580645,3.52695060273973,3.52695060273973
2062,15.9179967741935,3.50947942465753,3.50947942465753
2063,14.6764330645161,3.49128128767123,3.49128128767123
2064,14.7780685483871,3.45271226775956,3.45271226775956
2065,17.542210483871,3.38803578082192,3.38803578082192
2066,15.6066088709677,3.31749454794521,3.31749454794521
2067,17.5767612903226,3.31428257534247,3.31428257534247
2068,16.6444620967742,3.3067306284153,3.3067306284153
2069,17.2521685483871,3.25349235616438,3.25349235616438
2070,16.7708193548387,3.24755328767123,3.24755328767123
2071,15.3170459677419,3.19415378082192,3.19415378082192
2072,17.1592193548387,3.17058139344262,3.17058139344262
2073,17.5803629032258,3.0994318630137,3.0994318630137
2074,16.2242911290323,3.13813473972603,3.13813473972603
2075,16.1639306451613,3.13953254794521,3.13953254794521
2076,16.7944669354839,3.12254199453552,3.12254199453552
2077,16.9137048387097,3.13481021917808,3.13481021917808
2078,16.7821862903226,3.12004676712329,3.12004676712329
2079,17.1930524193548,3.02920443835616,3.02920443835616
2080,16.9863717741935,3.09780234972678,3.09780234972678
2081,16.9730088709677,3.05981745205479,3.05981745205479
2082,16.8987661290323,3.0565498630137,3.0565498630137
2083,17.6949241935484,3.0375397260274,3.0375397260274
2084,18.951939516129,3.01516781420765,3.01516781420765
2085,16.7574362903226,3.06188493150685,3.06188493150685
2086,17.0575951612903,3.04922608219178,3.04922608219178
2087,18.4547483870968,3.07080038356164,3.07080038356164
2088,16.9963056451613,2.98808516393443,2.98808516393443
2089,17.7522177419355,3.01665646575342,3.01665646575342
2090,18.4264266129032,2.97395273972603,2.97395273972603
2091,17.2357814516129,2.90408210958904,2.90408210958904
2092,15.6683435483871,2.93208169398907,2.93208169398907
2093,16.3697241935484,2.96027819178082,2.96027819178082
2094,14.0418733870968,3.01392306849315,3.01392306849315
2095,15.8152233870968,2.98985676712329,2.98985676712329
2096,16.0589177419355,2.94106035519126,2.94106035519126
2097,15.1901072580645,2.90063287671233,2.90063287671233
2098,15.9814661290323,2.9469878630137,2.9469878630137
2099,17.4860322580645,2.88610652054795,2.88610652054795
2100,16.3826048387097,2.84041901369863,2.84041901369863
