"Year","TEMP_O_5_JulAug_FB","SALIN_O_5_FB","SALIN_65_FB"
1960,17.6741427419355,32.2475475409836,32.2475475409836
1961,16.7931193548387,31.0016320547945,31.0016320547945
1962,16.73565,31.9060890410959,31.9060890410959
1963,17.1719790322581,32.7433273972603,32.7433273972603
1964,18.5237653225806,31.8246415300546,31.8246415300546
1965,16.2772919354839,31.3426832876712,31.3426832876712
1966,16.9931064516129,31.2519008219178,31.2519008219178
1967,16.4503451612903,31.2742704109589,31.2742704109589
1968,16.8124120967742,30.8893491803279,30.8893491803279
1969,18.321785483871,32.1800797260274,32.1800797260274
1970,16.0979951612903,31.7277547945205,31.7277547945205
1971,16.6066169354839,32.2666912328767,32.2666912328767
1972,16.8642096774194,31.487493989071,31.487493989071
1973,16.9259137096774,30.0580671232877,30.0580671232877
1974,16.6860443548387,31.7073504109589,31.7073504109589
1975,17.6675596774194,31.9635528767123,31.9635528767123
1976,17.7996975806452,31.4510016393443,31.4510016393443
1977,16.67165,31.4949594520548,31.4949594520548
1978,16.3100701612903,32.213295890411,32.213295890411
1979,18.4929846774194,31.9760594520548,31.9760594520548
1980,16.3646596774194,31.9408240437158,31.9408240437158
1981,17.712085483871,31.3506789041096,31.3506789041096
1982,16.8096064516129,30.9158964383562,30.9158964383562
1983,16.6077241935484,30.9378515068493,30.9378515068493
1984,17.0384911290323,31.6204579234973,31.6204579234973
1985,15.909039516129,31.2033849315069,31.2033849315069
1986,16.8750774193548,31.1070471232877,31.1070471232877
1987,16.3393709677419,29.7657345205479,29.7657345205479
1988,15.5730967741935,30.8829467213115,30.8829467213115
1989,16.0310072580645,31.3089043835616,31.3089043835616
1990,15.8542306451613,30.7894504109589,30.7894504109589
1991,16.2727201612903,32.0008410958904,32.0008410958904
1992,17.6998362903226,31.0451101092896,31.0451101092896
1993,16.7006693548387,30.6845419178082,30.6845419178082
1994,17.3861540322581,31.6171698630137,31.6171698630137
1995,16.9094588709677,30.7770876712329,30.7770876712329
1996,16.9522975806452,31.7122155737705,31.7122155737705
1997,17.3186782258065,30.9868665753425,30.9868665753425
1998,17.793589516129,31.3365095890411,31.3365095890411
1999,18.0873741935484,31.8604791780822,31.8604791780822
2000,16.7342959677419,31.8009418032787,31.8009418032787
2001,16.8044419354839,31.1845079452055,31.1845079452055
2002,16.6946717741935,31.131664109589,31.131664109589
2003,17.738264516129,31.4111389041096,31.4111389041096
2004,17.0579241935484,30.6998316939891,30.6998316939891
2005,17.4673935483871,31.0529802739726,31.0529802739726
2006,17.2477516129032,32.0025846575342,32.0025846575342
2007,16.9196112903226,31.6072687671233,31.6072687671233
2008,16.853510483871,31.2745677595628,31.2745677595628
2009,17.6002661290323,31.9275610958904,31.9275610958904
2010,17.0253153225806,31.1529569863014,31.1529569863014
2011,16.9645330645161,32.1164663013699,32.1164663013699
2012,17.4752612903226,30.9617355191257,30.9617355191257
2013,17.4217096774194,31.5520298630137,31.5520298630137
2014,17.2924548387097,32.1392484931507,32.1392484931507
2015,17.7937879032258,31.8128339726027,31.8128339726027
2016,16.9363612903226,30.9844633879781,30.9844633879781
2017,17.3825370967742,31.2852043835616,31.2852043835616
2018,16.7352975806452,31.8728868493151,31.8728868493151
2019,16.9441830645161,30.2554515068493,30.2554515068493
2020,17.1316032258065,32.0523434426229,32.0523434426229
2021,15.9021427419355,31.1247632876712,31.1247632876712
2022,16.8623935483871,30.4366443835616,30.4366443835616
2023,18.4294919354839,31.6981917808219,31.6981917808219
2024,17.1658443548387,31.3543442622951,31.3543442622951
2025,16.8126024193548,31.194521369863,31.194521369863
2026,17.3205467741935,31.5260654794521,31.5260654794521
2027,16.7513483870968,31.2702542465753,31.2702542465753
2028,17.6558879032258,31.3283038251366,31.3283038251366
2029,18.9408483870968,32.3146068493151,32.3146068493151
2030,16.9304911290323,31.5191389041096,31.5191389041096
2031,17.1823096774194,31.5385753424658,31.5385753424658
2032,17.1704806451613,31.9547923497268,31.9547923497268
2033,17.7535887096774,30.5460942465753,30.5460942465753
2034,16.9548983870968,31.2532646575342,31.2532646575342
2035,17.5272548387097,29.8471523287671,29.8471523287671
2036,16.5494306451613,31.7588106557377,31.7588106557377
2037,16.6582282258065,32.0831120547945,32.0831120547945
2038,18.3358258064516,31.7314720547945,31.7314720547945
2039,17.0520830645161,31.5721676712329,31.5721676712329
2040,18.3859790322581,32.4321221311475,32.4321221311475
2041,17.9260677419355,32.0795005479452,32.0795005479452
2042,16.6927967741935,32.0074547945205,32.0074547945205
2043,17.2123379032258,32.2250490410959,32.2250490410959
2044,17.6898637096774,31.2571079234973,31.2571079234973
2045,17.3157516129032,31.8494890410959,31.8494890410959
2046,18.5192056451613,31.6610602739726,31.6610602739726
2047,17.2160653225806,32.0189421917808,32.0189421917808
2048,17.6138201612903,30.639218579235,30.639218579235
2049,17.9334137096774,31.1861879452055,31.1861879452055
2050,19.3926983870968,31.9555621917808,31.9555621917808
2051,17.5668096774194,31.5553405479452,31.5553405479452
2052,18.2548620967742,31.884050273224,31.884050273224
2053,17.8164967741935,31.8549978082192,31.8549978082192
2054,19.1789435483871,31.0513257534247,31.0513257534247
2055,18.6535975806452,31.5788605479452,31.5788605479452
2056,18.2132266129032,32.2014543715847,32.2014543715847
2057,18.4197072580645,32.2132449315068,32.2132449315068
2058,18.2496088709677,31.8342547945205,31.8342547945205
2059,18.4267580645161,31.8258926027397,31.8258926027397
2060,17.7470741935484,32.1801800546448,32.1801800546448
2061,17.9169927419355,32.2298945205479,32.2298945205479
2062,17.7959040322581,31.5916873972603,31.5916873972603
2063,17.9100862903226,31.3090323287671,31.3090323287671
2064,17.4463951612903,30.4577038251366,30.4577038251366
2065,20.0510814516129,31.9121769863014,31.9121769863014
2066,18.9253467741935,31.5522630136986,31.5522630136986
2067,18.4659887096774,32.1128961643836,32.1128961643836
2068,18.3260379032258,32.4991153005464,32.4991153005464
2069,17.9368129032258,31.9978449315069,31.9978449315069
2070,18.1445241935484,32.0988824657534,32.0988824657534
2071,17.8232274193548,32.2418454794521,32.2418454794521
