"Year","TEMP_O_5_JulAug_SK","SALIN_O_5_SK","SALIN_70_SK"
1960,18.333110483871,20.1901549180328,34.4089931693989
1961,15.4434532258065,21.6155510958904,34.0957416438356
1962,17.5112080645161,19.6466583561644,34.2374704109589
1963,18.9961379032258,20.061657260274,34.2843421917808
1964,18.0294,20.3676960382514,34.2884789617486
1965,17.1861,20.3436682191781,34.2483920547945
1966,17.2381475806452,20.7601034246575,34.2309989041096
1967,17.9656387096774,20.4860163013699,34.3219517808219
1968,17.057139516129,20.9032293715847,34.3763606557377
1969,16.2170927419355,21.2621724657534,34.2423646575342
1970,17.0885564516129,20.3990515068493,34.1939120547945
1971,16.2084943548387,21.2208097260274,34.4169619178082
1972,16.9344798387097,20.9909017759563,34.3894576502732
1973,17.766664516129,20.2118060273973,34.321244109589
1974,17.9009346774194,21.1080926027397,34.4042071232877
1975,17.0256580645161,20.5762104109589,34.349415890411
1976,19.4139459677419,20.3668058743169,34.4104021857923
1977,16.4203112903226,21.2440736986301,34.1398238356164
1978,18.7307524193548,20.0217956164384,34.3058367123288
1979,16.2042346774194,21.6032038356164,34.2676375342466
1980,16.7143459677419,20.6530177595628,34.1092081967213
1981,16.8522177419355,21.3805228767123,34.2370232876712
1982,16.5581040322581,20.2222032876712,34.0087928767123
1983,17.9035129032258,20.1164520547945,34.1801876712329
1984,17.863760483871,21.5215297814208,34.3911267759563
1985,18.2873637096774,20.3981421917808,34.4564556164384
1986,17.8457919354839,20.5362019178082,34.3070602739726
1987,18.2363943548387,21.1359776712329,34.2875739726027
1988,17.3471701612903,21.3501662568306,34.1965469945355
1989,18.5233927419355,20.4470812328767,34.4051317808219
1990,19.2768620967742,19.7266638356164,34.5342350684932
1991,17.0379669354839,21.0248398630137,34.551562739726
1992,16.0700387096774,20.8428020491803,34.530337431694
1993,17.1846637096774,20.7221028767123,34.4953863013699
1994,17.8431233870968,20.3904905479452,34.0937753424658
1995,17.0690774193548,21.6661165753425,34.1445909589041
1996,17.7430943548387,21.1672469945355,34.4537909836066
1997,17.8829024193548,19.8110210958904,34.3005830136986
1998,17.9201911290323,20.7035967123288,34.4212635616438
1999,18.5114862903226,20.8797123287671,34.267617260274
2000,17.2315185483871,19.6543023224044,34.3914341530055
2001,17.9469322580645,21.0709964383562,34.1461810958904
2002,17.0557419354839,20.9413816438356,34.4105043835616
2003,18.2956491935484,19.7039412328767,34.4988887671233
2004,17.390714516129,19.8356543715847,34.2022756830601
2005,17.0073846774194,19.2676823287671,34.4342950684931
2006,17.2810838709677,19.8996590410959,34.5409624657534
2007,18.6466435483871,19.7656380821918,34.3150931506849
2008,16.526139516129,20.8888389344262,34.314875136612
2009,16.7284838709677,20.8039917808219,34.341135890411
2010,18.6713935483871,20.597901369863,34.2873715068493
2011,19.5169330645161,20.3654864383562,34.4365679452055
2012,17.9445209677419,20.042581147541,34.3470715846995
2013,16.6778467741935,20.0238278082192,34.1733830136986
2014,20.0668080645161,19.4133256164384,34.4466632876712
2015,17.8402830645161,20.2490675342466,34.267315890411
2016,17.9657475806452,20.5879911202186,34.2562983606557
2017,19.0204370967742,20.3126116438356,34.4554997260274
2018,19.1813298387097,19.587342739726,34.4732545205479
2019,17.6897451612903,20.9484368493151,34.3477317808219
2020,18.6247161290323,19.8511081967213,34.2528483606557
2021,19.0274556451613,20.0236812328767,34.3315912328767
2022,17.3121475806452,19.7386268493151,34.218178630137
2023,17.4900048387097,19.9295661643836,34.4332402739726
2024,18.6175,19.7832926229508,34.3034855191257
2025,19.4689080645161,19.2547021917808,34.4687082191781
2026,18.6609733870968,20.0734061643836,34.2596931506849
2027,17.7151088709677,20.8764898630137,34.4986879452055
2028,18.3323612903226,20.5560821038251,34.225806284153
2029,20.3024459677419,19.9632606849315,34.2641805479452
2030,18.8452879032258,19.634671369863,34.4081435616438
2031,18.5745661290323,19.4465810958904,34.4072156164384
2032,18.4370580645161,19.7562967213115,34.214325136612
2033,17.7123435483871,20.3625791780822,34.1785076712329
2034,18.2061419354839,20.174881369863,34.2443353424658
2035,16.8988806451613,19.1463191780822,34.3797630136986
2036,19.2638693548387,19.3822129781421,34.2934459016393
2037,17.0794620967742,19.9244373972603,34.3897093150685
2038,20.1683467741935,19.0974564383562,34.3491805479452
2039,19.4287991935484,21.2081008219178,34.3869463013699
2040,17.4409225806452,19.4137840163934,34.4556278688525
2041,20.0568774193548,19.4440119178082,34.2496747945206
2042,19.2436806451613,18.9477305479452,34.474998630137
2043,18.6158290322581,19.7221242465753,34.2631539726027
2044,18.2675669354839,19.1982120218579,34.3000948087432
2045,19.4647403225806,18.9839698630137,34.3239638356164
2046,18.3967137096774,19.1884135616438,34.3795947945205
2047,19.0706024193548,18.3891312328767,34.2919397260274
2048,18.7488040322581,18.805787568306,34.5781136612022
2049,18.6986225806452,18.6404728767123,34.3636597260274
2050,18.9777298387097,19.3595221917808,34.4892942465753
2051,17.2262814516129,19.5520605479452,34.4254610958904
2052,19.4363161290323,19.8333900273224,34.468637704918
2053,18.8426491935484,18.9202954794521,34.3668569863014
2054,19.7687314516129,18.3651854794521,34.3925454794521
2055,18.4827620967742,19.4960817808219,34.3623389041096
2056,19.0668903225806,19.6077592896175,34.357781420765
2057,18.7578629032258,19.0827780821918,34.4672660273973
2058,21.4818346774194,18.4568998630137,34.4411575342466
2059,18.9366588709677,19.0103017808219,34.3019364383562
2060,19.6343379032258,19.7659005464481,34.3714415300546
2061,19.5601467741935,18.2808073972603,34.4703906849315
2062,19.7258056451613,18.3414468493151,34.4384704109589
2063,20.9342790322581,18.2455723287671,34.3946460273973
2064,18.9295201612903,19.1167006830601,34.4240043715847
2065,17.7600548387097,18.5107182191781,34.4244410958904
2066,19.0101991935484,19.1040264383562,34.3299712328767
2067,18.6366387096774,19.0468823287671,34.3060104109589
2068,19.2960524193548,17.9513866120219,34.3445371584699
2069,18.8776096774194,18.5869890410959,34.4801090410959
2070,19.6016169354839,18.4711367123288,34.2812263013699
2071,20.3029782258065,18.1245073972603,34.3262079452055
2072,19.4895016129032,18.9830101092896,34.405193715847
2073,20.4606709677419,19.1115189041096,34.3867106849315
2074,19.1705774193548,18.5332316438356,34.2827257534247
