"Year","TEMP_O_5_JulAug_BN","SALIN_O_5_BN","SALIN_97_BN"
1960,18.3984798387097,7.54860702185792,16.0009636612022
1961,16.6159290322581,7.79212047945205,18.8219884931507
1962,18.412860483871,7.87249097260274,17.1603602739726
1963,18.9943596774194,7.80354830136986,15.9568189041096
1964,18.2604975806452,7.78817870218579,15.9026707650273
1965,17.2782177419355,7.94889378082192,17.1089019178082
1966,16.6356596774194,7.80049064383562,16.1367553424658
1967,18.8111717741936,7.86209654794521,16.0629490410959
1968,16.60145,7.96919112021858,16.5472174863388
1969,17.0141129032258,8.00065131506849,17.5760476712329
1970,18.0312774193548,8.10804436986301,16.4978320547945
1971,15.7807282258065,8.20841260273973,15.9628728767123
1972,17.7129798387097,8.2158331147541,16.1801767759563
1973,18.2395411290323,8.26401036986301,15.6449375342466
1974,18.0147887096774,8.25011471232877,16.0595460273973
1975,17.4329580645161,8.19882602739726,16.6759336986301
1976,19.3841814516129,8.04257,16.1966480874317
1977,17.1964483870968,8.12093919178082,15.685541369863
1978,19.0205233870968,8.06992739726027,15.3121895890411
1979,15.9732661290323,8.01729091780822,16.0023693150685
1980,17.9725830645161,8.02402479508197,16.299587704918
1981,17.2405475806452,8.20123628767123,16.0332857534247
1982,17.084464516129,8.21576176712329,15.1673704109589
1983,17.8706346774194,8.2232154520548,16.3789008219178
1984,18.3068782258065,8.21656739071038,16.4085199453552
1985,18.9577435483871,8.16051508219178,16.6169068493151
1986,18.1924459677419,8.17694516438356,16.0801939726027
1987,17.7761330645161,8.13504278082192,16.6644243835616
1988,17.4798459677419,8.16209393442623,15.9384387978142
1989,18.8294580645161,8.09904871232877,15.6110342465753
1990,19.088175,8.06236979452055,16.2814778082192
1991,18.3158032258065,8.10877523287671,16.2262287671233
1992,16.5624169354839,8.17286184426229,16.9050918032787
1993,17.0616024193548,8.12284197260274,17.6415835616438
1994,18.0994427419355,8.03815168493151,16.8208273972603
1995,17.2626822580645,8.06989226027397,18.5326610958904
1996,18.4032951612903,8.11809226775956,17.7885325136612
1997,18.2274403225806,8.06150112328767,16.6848367123288
1998,18.4632419354839,8.05060523287671,15.9676895890411
1999,18.6731919354839,8.11020142465753,18.3884016438356
2000,18.5013,8.12553480874317,17.3216967213115
2001,18.8752137096774,8.10460110958904,17.0056265753425
2002,17.4572475806452,8.07787534246575,15.7933468493151
2003,19.8594782258065,7.99165373972603,16.0878139726027
2004,17.0545677419355,8.04596945355191,18.0768240437158
2005,17.6606129032258,7.9539474109589,17.0026690410959
2006,18.05765,7.89599502739726,17.1814071232877
2007,18.8314524193548,7.90196039726027,16.2701016438356
2008,16.5290048387097,7.97972784153005,16.8109295081967
2009,17.4088983870968,7.93092112328767,17.1650295890411
2010,19.0589862903226,7.94061484931507,16.9255424657534
2011,19.918239516129,7.95388484931507,16.1242106849315
2012,18.7410040322581,7.8821956010929,16.9929784153005
2013,16.6918798387097,7.8830598630137,17.0810591780822
2014,20.2635370967742,7.9245141369863,16.185558630137
2015,18.6384572580645,7.94374843835616,15.8820501369863
2016,18.917935483871,7.90936520491803,15.8711193989071
2017,20.063989516129,7.91316775342466,16.647781369863
2018,20.4617209677419,7.95424632876712,15.5913679452055
2019,18.3013217741935,7.920771,15.9307917808219
2020,18.5579588709677,7.84416098360656,16.463868579235
2021,19.1734967741935,7.84364776712329,16.6421178082192
2022,18.9992080645161,7.76808949315068,16.0278030136986
2023,19.1911306451613,7.75311104109589,15.5176394520548
2024,20.2851419354839,7.74961441256831,15.3446546448087
2025,19.7277838709677,7.72726905479452,14.5168449315068
2026,19.1163943548387,7.70754515068493,15.8902336986301
2027,17.3260862903226,7.65285930136986,15.1211043835616
2028,18.0478967741935,7.61974233606557,17.1710524590164
2029,20.1938137096774,7.65692321917808,16.0411931506849
2030,18.7026056451613,7.62851709589041,16.4608210958904
2031,19.503685483871,7.57315447945205,16.5674679452055
2032,18.1602967741935,7.60332648907104,15.7152551912568
2033,18.749275,7.62942924657534,16.1290783561644
2034,18.8503419354839,7.59991830136986,15.2786783561644
2035,17.1477790322581,7.50853871232877,14.4851720547945
2036,18.9689758064516,7.29088703551913,15.4074412568306
2037,17.9386637096774,7.28792326027397,15.4663304109589
2038,20.9805306451613,7.28438578082192,15.6494775342466
2039,20.2688814516129,7.32732890410959,15.449662739726
2040,18.7294540322581,7.4888868852459,14.1775169398907
2041,20.7523846774194,7.3347655890411,15.0004556164384
2042,20.1040258064516,7.22889563013699,15.4954583561644
2043,18.9135362903226,7.19990142465753,14.7325630136986
2044,19.1037798387097,7.29541229508197,14.3687918032787
2045,20.6847782258065,7.17900664383562,13.6235556164384
2046,18.524275,7.07089715068493,15.4865002739726
2047,19.9914467741935,7.15797598630137,15.2774254794521
2048,19.0850475806452,7.07100319672131,15.6273267759563
2049,19.1724774193548,7.0469105890411,15.9291895890411
2050,19.3273951612903,7.02910787671233,15.2658268493151
2051,17.9316217741935,6.9807737260274,15.2383049315068
2052,19.3923935483871,7.01261919398907,14.9028663934426
2053,20.2591024193548,6.90471347945206,15.9220106849315
2054,20.5145588709677,6.86787175342466,15.5335843835616
2055,19.2245653225806,6.90351071232877,14.8361531506849
2056,19.5971975806452,6.88858168032787,14.3634931693989
2057,19.4534459677419,6.91905079452055,13.9804671232877
2058,22.3006330645161,6.87351819178082,13.7628471232877
2059,19.3100846774194,6.90320835616438,13.6662276712329
2060,19.9052653225806,6.96637927595628,14.1872360655738
2061,20.4838120967742,6.86983036986301,14.8612405479452
2062,20.1717790322581,6.73121995890411,15.096695890411
