"","country","monit_program","monit_purpose","report_institute","station","latitude","longitude","date","monit_year","date_ices","day","month","year","species","sub_samp_ref","sub_samp_id","samp_id","num_indiv_subsample","bulk_id","basis_determination_originalcongener","AGMAX_y","AGMEA_y","AGMIN_y","DRYWT%_%","EXLIP%_%","FATWT%_%","LIPIDWT%_%","LNMAX_cm","LNMEA_cm","LNMIN_cm","WTMAX_g","WTMEA_g","WTMIN_g","qflag","detect_lim","quant_lim","uncert_val","method_uncert","congener","value"
"1","Finland","COMB","","FEIF","",64.17916667,23.3265,"2008-08-06",2008,"06/08/2008",6,8,2008,"Clupea harengus",3149743,"34000",1423609,1,NA,"wet weight",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","CB101_ug/kg",0.3
"2","Finland","COMB","","FEIF","",64.17916667,23.3265,"2008-08-06",2008,"06/08/2008",6,8,2008,"Clupea harengus",3149743,"34000",1423609,1,NA,"wet weight",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","CB118_ug/kg",0.27
"3","Finland","COMB","","FEIF","",64.17916667,23.3265,"2008-08-06",2008,"06/08/2008",6,8,2008,"Clupea harengus",3149743,"34000",1423609,1,NA,"wet weight",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","CB138_ug/kg",0.66
"4","Finland","COMB","","FEIF","",64.17916667,23.3265,"2008-08-06",2008,"06/08/2008",6,8,2008,"Clupea harengus",3149743,"34000",1423609,1,NA,"wet weight",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","CB153_ug/kg",0.84
"5","Finland","COMB","","FEIF","",64.17916667,23.3265,"2008-08-06",2008,"06/08/2008",6,8,2008,"Clupea harengus",3149743,"34000",1423609,1,NA,"wet weight",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","CB180_ug/kg",0.3
"6","Finland","COMB","","FEIF","",64.17916667,23.3265,"2008-08-06",2008,"06/08/2008",6,8,2008,"Clupea harengus",3149743,"34000",1423609,1,NA,"wet weight",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"<",NA,0.04,NA,"","CB28_ug/kg",0.04
"7","Finland","COMB","","FEIF","",64.17916667,23.3265,"2008-08-06",2008,"06/08/2008",6,8,2008,"Clupea harengus",3149743,"34000",1423609,1,NA,"wet weight",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"<",NA,0.04,NA,"","CB52_ug/kg",0.04
"8","Finland","COMB","","FEIF","",64.17916667,23.3265,"2008-08-06",2008,"06/08/2008",6,8,2008,"Clupea harengus",3149744,"34001",1423610,1,NA,"wet weight",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","CB101_ug/kg",0.18
"9","Finland","COMB","","FEIF","",64.17916667,23.3265,"2008-08-06",2008,"06/08/2008",6,8,2008,"Clupea harengus",3149744,"34001",1423610,1,NA,"wet weight",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","CB118_ug/kg",0.25
"10","Finland","COMB","","FEIF","",64.17916667,23.3265,"2008-08-06",2008,"06/08/2008",6,8,2008,"Clupea harengus",3149744,"34001",1423610,1,NA,"wet weight",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","CB138_ug/kg",0.61
