c_square,year,mid_lat,mid_lon,Reported,fishing_ho,rgn_nam,rgn_key,Subbasin,HELCOM_ID,BHI_ID,Area_km2
1500:459:228:1,2013,55.225,9.825,Yes,1.766667,Denmark,DNK,Great Belt,SEA-002,3,10369.11323
1500:459:228:3,2013,55.275,9.825,Yes,160.6,Denmark,DNK,Great Belt,SEA-002,3,10369.11323
1500:459:228:4,2013,55.275,9.875,Yes,13,Denmark,DNK,Great Belt,SEA-002,3,10369.11323
1500:459:236:3,2013,55.375,9.625,Yes,8,Denmark,DNK,Great Belt,SEA-002,3,10369.11323
1500:459:236:4,2013,55.375,9.675,Yes,2,Denmark,DNK,Great Belt,SEA-002,3,10369.11323
1500:459:237:1,2013,55.325,9.725,Yes,190.866667,Denmark,DNK,Great Belt,SEA-002,3,10369.11323
1500:459:237:2,2013,55.325,9.775,Yes,57.766667,Denmark,DNK,Great Belt,SEA-002,3,10369.11323
1500:459:237:3,2013,55.375,9.725,Yes,45.933333,Denmark,DNK,Great Belt,SEA-002,3,10369.11323
1500:459:237:4,2013,55.375,9.775,Yes,1,Denmark,DNK,Great Belt,SEA-002,3,10369.11323
1500:459:238:2,2013,55.325,9.875,Yes,1,Denmark,DNK,Great Belt,SEA-002,3,10369.11323
1500:459:458:2,2013,55.525,9.875,Yes,149.233333,Denmark,DNK,Great Belt,SEA-002,3,10369.11323
1500:459:459:1,2013,55.525,9.925,Yes,42,Denmark,DNK,Great Belt,SEA-002,3,10369.11323
1500:459:459:3,2013,55.575,9.925,Yes,1,Denmark,DNK,Great Belt,SEA-002,3,10369.11323
1500:459:459:4,2013,55.575,9.975,Yes,15,Denmark,DNK,Great Belt,SEA-002,3,10369.11323
1500:459:468:2,2013,55.625,9.875,Yes,74.066667,Denmark,DNK,Great Belt,SEA-002,3,10369.11323
1500:459:468:4,2013,55.675,9.875,Yes,6.033333,Denmark,DNK,Great Belt,SEA-002,3,10369.11323
1500:459:469:1,2013,55.625,9.925,Yes,10,Denmark,DNK,Great Belt,SEA-002,3,10369.11323
1500:459:469:2,2013,55.625,9.975,Yes,4,Denmark,DNK,Great Belt,SEA-002,3,10369.11323
1500:459:469:3,2013,55.675,9.925,Yes,63.033333,Denmark,DNK,Great Belt,SEA-002,3,10369.11323
1500:459:469:4,2013,55.675,9.975,Yes,23,Denmark,DNK,Great Belt,SEA-002,3,10369.11323
1500:459:489:4,2013,55.875,9.975,Yes,1,Denmark,DNK,Great Belt,SEA-002,3,10369.11323
1501:130:499:3,2013,53.975,10.925,Yes,0.955556,Germany,DEU,Bay of Mecklenburg,SEA-005,10,3438.82204
1501:134:392:2,2013,53.925,14.275,Yes,2.033333,Poland,POL,Bornholm Basin,SEA-007,17,17334.97259
1501:134:392:3,2013,53.975,14.225,Yes,17.5,Germany,DEU,Bornholm Basin,SEA-007,16,2566.81091
1501:134:392:3,2013,53.975,14.225,Yes,17.5,Poland,POL,Bornholm Basin,SEA-007,17,17334.97259
1501:134:392:4,2013,53.975,14.275,Yes,31.233333,Poland,POL,Bornholm Basin,SEA-007,17,17334.97259
1501:134:393:1,2013,53.925,14.325,Yes,1.1,Poland,POL,Bornholm Basin,SEA-007,17,17334.97259
1501:134:393:2,2013,53.925,14.375,Yes,4.383333,Poland,POL,Bornholm Basin,SEA-007,17,17334.97259
1501:134:393:3,2013,53.975,14.325,Yes,166.533333,Poland,POL,Bornholm Basin,SEA-007,17,17334.97259
1501:134:393:4,2013,53.975,14.375,Yes,174.583333,Poland,POL,Bornholm Basin,SEA-007,17,17334.97259
1501:134:394:3,2013,53.975,14.425,Yes,132.916667,Poland,POL,Bornholm Basin,SEA-007,17,17334.97259
1501:134:394:4,2013,53.975,14.475,Yes,1.5,Poland,POL,Bornholm Basin,SEA-007,17,17334.97259
1501:140:141:4,2013,54.475,10.175,Yes,1.927778,Germany,DEU,Kiel Bay,SEA-004,8,2079.47971
1501:140:142:1,2013,54.425,10.225,Yes,0.316667,Germany,DEU,Kiel Bay,SEA-004,8,2079.47971
1501:140:142:3,2013,54.475,10.225,Yes,1.288889,Germany,DEU,Kiel Bay,SEA-004,8,2079.47971
1501:140:142:4,2013,54.475,10.275,Yes,1.716667,Germany,DEU,Kiel Bay,SEA-004,8,2079.47971
1501:140:143:3,2013,54.475,10.325,Yes,2.511111,Germany,DEU,Kiel Bay,SEA-004,8,2079.47971
1501:140:143:4,2013,54.475,10.375,Yes,4.338889,Germany,DEU,Kiel Bay,SEA-004,8,2079.47971
1501:140:144:1,2013,54.425,10.425,Yes,0.316667,Germany,DEU,Kiel Bay,SEA-004,8,2079.47971
1501:140:144:2,2013,54.425,10.475,Yes,0.322222,Germany,DEU,Kiel Bay,SEA-004,8,2079.47971
1501:140:144:3,2013,54.475,10.425,Yes,1.655556,Germany,DEU,Kiel Bay,SEA-004,8,2079.47971
1501:140:144:4,2013,54.475,10.475,Yes,1.927778,Germany,DEU,Kiel Bay,SEA-004,8,2079.47971
1501:140:207:2,2013,54.025,10.775,Yes,0.311111,Germany,DEU,Bay of Mecklenburg,SEA-005,10,3438.82204
1501:140:208:1,2013,54.025,10.825,Yes,4.1,Germany,DEU,Bay of Mecklenburg,SEA-005,10,3438.82204
1501:140:208:2,2013,54.025,10.875,Yes,13.627778,Germany,DEU,Bay of Mecklenburg,SEA-005,10,3438.82204
1501:140:208:3,2013,54.075,10.825,Yes,1.277778,Germany,DEU,Bay of Mecklenburg,SEA-005,10,3438.82204
1501:140:208:4,2013,54.075,10.875,Yes,9.916667,Germany,DEU,Bay of Mecklenburg,SEA-005,10,3438.82204
1501:140:209:1,2013,54.025,10.925,Yes,34.011111,Germany,DEU,Bay of Mecklenburg,SEA-005,10,3438.82204
1501:140:209:2,2013,54.025,10.975,Yes,22.527778,Germany,DEU,Bay of Mecklenburg,SEA-005,10,3438.82204
1501:140:209:3,2013,54.075,10.925,Yes,30.744444,Germany,DEU,Bay of Mecklenburg,SEA-005,10,3438.82204
1501:140:209:4,2013,54.075,10.975,Yes,50.933333,Germany,DEU,Bay of Mecklenburg,SEA-005,10,3438.82204
1501:140:219:2,2013,54.125,10.975,Yes,11.194444,Germany,DEU,Bay of Mecklenburg,SEA-005,10,3438.82204
1501:140:235:4,2013,54.375,10.575,Yes,0.322222,Germany,DEU,Kiel Bay,SEA-004,8,2079.47971
1501:140:236:3,2013,54.375,10.625,Yes,5.111111,Germany,DEU,Kiel Bay,SEA-004,8,2079.47971
1501:140:236:4,2013,54.375,10.675,Yes,21.377778,Germany,DEU,Kiel Bay,SEA-004,8,2079.47971
1501:140:237:1,2013,54.325,10.725,Yes,0.316667,Germany,DEU,Kiel Bay,SEA-004,8,2079.47971
1501:140:237:2,2013,54.325,10.775,Yes,1.311111,Germany,DEU,Kiel Bay,SEA-004,8,2079.47971
1501:140:237:3,2013,54.375,10.725,Yes,28.533333,Germany,DEU,Kiel Bay,SEA-004,8,2079.47971
1501:140:237:4,2013,54.375,10.775,Yes,25.961111,Germany,DEU,Kiel Bay,SEA-004,8,2079.47971
1501:140:238:3,2013,54.375,10.825,Yes,3.911111,Germany,DEU,Kiel Bay,SEA-004,8,2079.47971
1501:140:238:4,2013,54.375,10.875,Yes,0.644444,Germany,DEU,Kiel Bay,SEA-004,8,2079.47971
1501:140:245:1,2013,54.425,10.525,Yes,9.944444,Germany,DEU,Kiel Bay,SEA-004,8,2079.47971
