Basin_HOLAS;Basin_assessment;country;monitoring_area;period;coastal_water_type;core_indicator;taxa;assessment_method;status;status_comment
Aland Sea;Aland Sea;Sweden;Lagnoe;2002-2013;Aland Sea Swedish Coastal waters;Key species;perch;Trend;GES;
Aland Sea;Aland Sea;Sweden;Lagnoe;2002-2013;Aland Sea Swedish Coastal waters;Functional;cyprinids;Trend;GES;
Aland Sea;Aland Sea;Sweden;Lagnoe;2002-2013;Aland Sea Swedish Coastal waters;Functional;piscivores;Trend;GES;
Aland Sea;Archipelago Sea;Finland;ICES SD 29;1998-2013;Archipelago Sea Coastal waters;Key species;perch;Baseline;GES;
Aland Sea;Archipelago Sea;Finland;Finbo;2002-2013;Archipelago Sea Coastal waters;Key species;perch;Trend;GES;
Aland Sea;Archipelago Sea;Finland;Kumlinge;2003-2013;Archipelago Sea Coastal waters;Key species;perch;Trend;GES;
Aland Sea;Archipelago Sea;Finland;ICES SD 29;1998-2013;Archipelago Sea Coastal waters;Functional;cyprinids;Baseline;subGES;High
Aland Sea;Archipelago Sea;Finland;Finbo;2002-2013;Archipelago Sea Coastal waters;Functional;cyprinids;Trend;GES;
Aland Sea;Archipelago Sea;Finland;Kumlinge;2003-2013;Archipelago Sea Coastal waters;Functional;cyprinids;Trend;GES;
Aland Sea;Archipelago Sea;Finland;ICES SD 29;1998-2013;Archipelago Sea Coastal waters;Functional;piscivores;Baseline;GES;
Aland Sea;Archipelago Sea;Finland;Finbo;2002-2013;Archipelago Sea Coastal waters;Functional;piscivores;Trend;GES;
Aland Sea;Archipelago Sea;Finland;Kumlinge;2003-2013;Archipelago Sea Coastal waters;Functional;piscivores;Trend;GES;
Arkona Basin;Arkona Basin;Denmark;Praestoe Fiord;2005-2012;Arkona Basin Danish Coastal waters;Key species;flounder;Trend;subGES;
Arkona Basin;Arkona Basin;Denmark;Praestoe Fiord;2005-2012;Arkona Basin Danish Coastal waters;Functional;piscivores;Trend;subGES;
Arkona Basin;Arkona Basin;Germany;Northeast of Ruegen Island;2008-2013;Arkona Basin German Coastal waters;Key species;flounder;Trend;subGES;
Arkona Basin;Arkona Basin;Germany;Greifswalder Bodden;2008-2013;Arkona Basin German Coastal waters;Key species;perch;Trend;GES;
Arkona Basin;Arkona Basin;Germany;Strelasund;2009-2103;Arkona Basin German Coastal waters;Key species;perch;Trend;GES;
Arkona Basin;Arkona Basin;Germany;Darss-Zingst Bodden chain;2008-2013;Arkona Basin German Coastal waters;Key species;perch;Trend;GES;
Arkona Basin;Arkona Basin;Germany;Greifswalder Bodden;2008-2013;Arkona Basin German Coastal waters;Functional;piscivores;Trend;GES;
Arkona Basin;Arkona Basin;Germany;Strelasund;2009-2103;Arkona Basin German Coastal waters;Functional;piscivores;Trend;GES;
Arkona Basin;Arkona Basin;Germany;Darss-Zingst Bodden chain;2008-2013;Arkona Basin German Coastal waters;Functional;piscivores;Trend;GES;
Arkona Basin;Arkona Basin;Germany;Northeast of Ruegen Island;2008-2013;Arkona Basin German Coastal waters;Functional;piscivores;Trend;GES;
Bay of Mecklenburg;Arkona Basin;Denmark;Area south of Zealand (Smalandsfarvandet);2008-2013;Mecklenburg Bight Danish Coastal waters;Key species;flounder;Trend;subGES;
Bay of Mecklenburg;Arkona Basin;Denmark;Area south of Zealand (Smalandsfarvandet);2008-2013;Mecklenburg Bight Danish Coastal waters;Functional;piscivores;Trend;subGES;
Bay of Mecklenburg;Arkona Basin;Germany;Boergerende;2003-2013;Mecklenburg Bight German Coastal waters;Key species;cod;Trend;GES;
