Year,B/BMSY,F/FMSY,taxa
1994,0.824635417,3.926923077,cod_2224
1995,0.813984375,4.4,cod_2224
1996,0.892421875,4.265384615,cod_2224
1997,0.926067708,4.296153846,cod_2224
1998,0.716901042,4.35,cod_2224
1999,0.827109375,4.803846154,cod_2224
2000,0.95140625,4.676923077,cod_2224
2001,0.800260417,4.830769231,cod_2224
2002,0.635833333,4.692307692,cod_2224
2003,0.499375,4.292307692,cod_2224
2004,0.548645833,4.188461538,cod_2224
2005,0.704817708,3.757692308,cod_2224
2006,0.812369792,3.338461538,cod_2224
2007,0.84296875,3.461538462,cod_2224
2008,0.591067708,3.65,cod_2224
2009,0.400677083,3.876923077,cod_2224
2010,0.357994792,3.8,cod_2224
2011,0.353802083,3.538461538,cod_2224
2012,0.416979167,3.376923077,cod_2224
2013,0.36765625,3.6,cod_2224
2014,0.478203125,3.238461538,cod_2224
1966,1.926371882,2.060869565,cod_2532
1967,2.422108844,2.639130435,cod_2532
1968,2.56930839,2.3,cod_2532
1969,2.525997732,2.247826087,cod_2532
1970,2.393219955,2.145652174,cod_2532
1971,2.21585034,1.873913043,cod_2532
1972,2.287902494,1.867391304,cod_2532
1973,2.466099773,1.856521739,cod_2532
1974,2.940668934,1.72173913,cod_2532
1975,3.541814059,1.591304348,cod_2532
1976,3.745804989,1.830434783,cod_2532
1977,3.660634921,1.789130435,cod_2532
1978,4.168843537,1.339130435,cod_2532
1979,5.839455782,1.297826087,cod_2532
1980,7.160918367,1.52173913,cod_2532
1981,7.290975057,1.713043478,cod_2532
1982,7.196814059,1.72826087,cod_2532
1983,6.914614512,1.617391304,cod_2532
1984,6.737154195,1.823913043,cod_2532
1985,5.981303855,1.802173913,cod_2532
1986,4.278650794,2.169565217,cod_2532
1987,3.656984127,2.039130435,cod_2532
1988,3.285895692,1.930434783,cod_2532
1989,2.56930839,2.25,cod_2532
1990,2.350521542,2.606521739,cod_2532
1991,1.545952381,2.930434783,cod_2532
1992,0.984750567,2.195652174,cod_2532
1993,1.071043084,1.202173913,cod_2532
1994,1.836088435,1.326086957,cod_2532
1995,2.126836735,1.667391304,cod_2532
1996,1.854546485,1.976086957,cod_2532
1997,1.429943311,2.202173913,cod_2532
1998,1.111417234,2.095652174,cod_2532
1999,0.97984127,2.008695652,cod_2532
2000,1.062517007,2.160869565,cod_2532
2001,1.008673469,2.306521739,cod_2532
2002,0.933922902,2.35,cod_2532
2003,0.866439909,2.310869565,cod_2532
2004,0.799829932,2.660869565,cod_2532
2005,0.705136054,2.180434783,cod_2532
2006,0.807052154,1.969565217,cod_2532
2007,0.891043084,1.676086957,cod_2532
2008,1.13047619,1.2,cod_2532
2009,1.368390023,1.017391304,cod_2532
2010,1.586666667,0.917391304,cod_2532
2011,1.498764172,0.852173913,cod_2532
2012,1.741315193,0.810869565,cod_2532
1991,2.758709091,1.240625,her_3a22
1992,2.8229,1.63125,her_3a22
1993,2.526318182,1.790625,her_3a22
1994,2.056,1.8875,her_3a22
1995,1.769618182,1.78125,her_3a22
1996,1.232154545,1.990625,her_3a22
1997,1.3455,1.81875,her_3a22
1998,1.053127273,1.809375,her_3a22
1999,1.032272727,1.54375,her_3a22
2000,1.1027,1.83125,her_3a22
2001,1.177936364,1.771875,her_3a22
2002,1.479590909,1.659375,her_3a22
2003,1.189772727,1.475,her_3a22
2004,1.259563636,1.453125,her_3a22
2005,1.215027273,1.60625,her_3a22
2006,1.421572727,1.66875,her_3a22
2007,1.113781818,1.546875,her_3a22
2008,0.958645455,1.659375,her_3a22
2009,0.860509091,1.63125,her_3a22
2010,0.835909091,1.128125,her_3a22
2011,0.817718182,0.95625,her_3a22
2012,0.846845455,1.01875,her_3a22
2013,1.006790909,1.021875,her_3a22
2014,1.077627273,0.815625,her_3a22
