;Kattegat ;Great Belt + Little Belt;Kiel Bay;Bay of Mecklenburg;The Sound;Arkona Basin;Bornholm Basin;Western Gotland Basin ;Eastern Gotland Basin ;Gulf of Gdansk;Gulf of Riga;Nothern Baltic Proper;Gulf of Finland;Aland Sea;Archipelago Sea;Bothnian Sea + The Quark;Bothnian Bay;common_name
Stilophora nodulosa;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;
Zostera noltii;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;
Nitellopsis obtusa;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;
Potamogeton obtusifolius;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;
Nitella opaca;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;1;
Palmaria palmata;1;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;
Zannichellia palustris;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
Spermatochnus paradoxus;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;
Pterosiphonia parasitica;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Potamogeton pectinatus;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
Sporochnus pedunculatus;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Ranunculus peltatus;0;0;0;1;0;1;1;1;0;0;1;1;1;1;1;1;1;
Urospora penicilliformis;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;
Percursaria percursa;1;1;1;1;1;1;0;1;1;0;1;1;0;0;0;0;0;
Potamogeton perfoliatus;0;0;1;1;0;0;1;1;1;1;1;1;1;1;1;1;1;
Osmundea pinnatifida;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Punctaria plantaginea;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;
Sphacelaria plumigera;1;1;1;0;1;1;1;1;1;0;1;1;1;1;0;1;0;
Plumaria plumosa;1;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;
Sphacelaria plumosa;1;1;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;
Pterothamnion plumula;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;
Sphacelaria plumula;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Rosenvingiella polyrhiza;1;1;0;0;1;1;1;0;1;0;0;1;0;1;0;1;0;
Spirodela polyrhiza;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;
Potamogeton praelongus;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;
Ulva prolifera;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;
Stigeoclonium protensum;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;
Phyllophora pseudoceranoides;1;1;1;1;1;1;1;1;0;0;0;1;1;1;0;1;1;
Nitophyllum punctatum;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Porphyra purpurea;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;
Phymatolithon purpureum;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;
Porphyridium purpureum;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;
Rhodochorton purpureum;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;
Scagelothamnion pusillum;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;
Potamogeton pusillus;0;0;0;0;0;1;0;0;0;0;0;1;1;1;1;1;1;
Phaeostroma pustulosum;1;1;1;0;1;0;1;0;0;0;0;1;0;0;0;0;0;
Scagelia pylaisaei;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Ostreobium quekettii;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;
Rosenvingiella radicans;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;
Sphacelaria radicans;1;1;1;1;1;1;0;1;0;1;1;1;1;1;0;1;0;
Syncoryne reinkei;1;1;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;
Spermothamnion repens;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;
Ranunculus reptans;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;1;
Sphacelaria reticulata;1;1;0;1;1;0;1;1;0;1;0;0;0;0;0;0;0;
Sphacelaria rigidula;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Pilinia rimosa;1;1;0;0;1;0;1;1;0;0;0;1;1;1;0;1;0;
Rhizoclonium riparium;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;
Pseudolithoderma rosenvingei;1;0;1;0;0;0;0;0;0;0;0;1;0;1;0;1;1;
Polyides rotundus;1;1;1;1;1;1;1;1;1;0;1;1;1;0;0;0;0;
Phycodrys rubens;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;
Sagittaria sagittifolia;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;1;
Stypocaulon scoparium;1;1;0;0;1;0;0;1;0;0;0;1;1;1;0;1;0;
Pringsheimiella scutata;1;1;1;1;1;1;1;1;1;1;0;1;1;1;0;0;0;
Vaucheria sescuplicaria;1;1;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;
Ulvella setchellii;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Ulva simplex;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Sphacelaria solitaria;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Stictyosiphon soriferus;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;
Spirogyra sp.;0;0;1;1;0;0;0;0;1;0;0;0;0;0;1;0;0;
Vaucheria sp.;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;1;
Zygnema sp.;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;
Ulothrix speciosa;1;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;
Protectocarpus speciosus;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;
Ulvaria splendens;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;
Prasiola stipitata;1;1;1;1;1;1;1;0;1;0;0;1;1;1;0;1;0;
Symphyocarpus strangulans;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Polysiphonia stricta;1;1;1;1;1;1;1;1;0;0;0;1;0;0;0;1;0;
Pseudolithoderma subextensum;1;1;1;0;0;0;0;0;1;0;1;1;1;1;0;1;1;
Ulothrix subflaccida;1;1;1;0;1;0;1;0;1;0;1;1;1;1;0;1;1;
Sahlingia subintegra;1;1;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;
Pseudendoclonium submarinum;1;1;1;0;1;1;1;0;1;0;0;1;0;1;0;1;0;
Pneophyllum subplanum;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Vaucheria subsimplex;1;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;
Vaucheria synandra;1;1;1;0;1;1;1;0;0;0;0;0;0;0;0;1;0;
Nitella syncarpa;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;
Schoenoplectus tabernaemontani;0;0;0;0;0;1;1;1;1;0;1;1;1;1;1;1;1;
Stilophora tenella;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;
Ulothrix tenerrima;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;
Phymatolithon tenue;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;
Stigeoclonium tenue;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;1;0;
Ruthnielsenia tenuis;1;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;
Punctaria tenuissima;1;1;1;1;1;1;1;0;0;0;0;1;0;0;0;0;0;
Spongonema tomentosum;1;1;1;1;1;1;1;1;0;0;0;1;0;0;0;0;0;
Ulva torta;1;1;1;1;0;1;0;0;1;1;0;0;0;0;0;0;0;
Stictyosiphon tortilis;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
Rhizoclonium tortuosum;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;
Sphacelaria tribuloides;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Ranunculus trichophyllus;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;
Osmundea truncata;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;
Porphyra umbilicalis;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;
Protomonostroma undulatum;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Nitella wahlbergiana;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;
Vaucheria velutina;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;
Ralfsia verrucosa;1;1;1;1;1;1;1;1;1;0;0;1;1;0;0;0;0;
Urospora wormskioldii;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;
Utricularia vulgaris;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;
Ulothrix zonata;0;0;0;1;0;0;0;1;0;1;1;1;1;1;0;1;1;
Petalonia zosterifolia;1;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;
Acinetospora crinita;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Acrochaete cladophorae;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;
Acrochaete flustrae;1;1;1;0;1;0;1;0;0;0;0;0;1;1;0;0;0;
Acrochaete heteroclada;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Acrochaete inflata;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Acrochaete leptochaete;1;1;0;0;1;0;1;0;0;0;0;0;0;1;0;0;1;
Acrochaete operculata;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Acrochaete repens;1;1;1;1;1;1;1;1;0;0;0;0;1;1;0;1;1;
Acrochaete viridis;1;1;1;1;1;1;1;0;0;1;0;0;1;1;0;1;1;
Acrochaete wittrockii;1;1;1;1;1;1;1;0;0;1;0;0;0;1;0;0;0;
Acrochaetium attenuatum;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Acrochaetium balticum;1;1;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;
Acrochaetium catenulatum;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Acrochaetium cytophagum;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;
Acrochaetium dumontiae;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;
Acrochaetium emergens;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Acrochaetium endozoicum;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Acrochaetium gynandrum;1;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;
Acrochaetium hallandicum;1;1;1;0;1;1;1;0;0;0;0;1;0;0;0;0;0;
Acrochaetium humile;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Acrochaetium immersum;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Acrochaetium kylini;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;
Acrochaetium leptonema;1;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;
Acrochaetium macula;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;
Acrochaetium microscopicum;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;
Acrochaetium minimum;1;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;
Acrochaetium moniliforme;1;1;1;1;1;1;1;0;0;1;0;0;0;0;0;0;0;
Acrochaetium nemalii;1;1;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;
Acrochaetium parvulum;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;
Acrochaetium reductum;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;
Acrochaetium rhipidandrum;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Acrochaetium rosulatum;1;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;
Acrochaetium savianum;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;
Acrochaetium secundatum;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;
Acrochaetium stilophorae;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;
Acrochaetium virgatulum;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Acrosiphonia arcta;1;1;1;1;1;0;1;1;1;1;0;1;1;1;1;1;1;
Acrosiphonia sonderi;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Acrothrix gracilis;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Aegagropila linnaei;0;0;0;1;0;0;0;1;0;1;1;1;1;1;0;1;1;
Aglaothamnion bipinnatum Feldmann-Mazoyer 1941;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;
Aglaothamnion hookeri;1;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;
Aglaothamnion roseum;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;0;
Aglaothamnion tenuissimum;1;1;1;1;1;1;1;0;0;1;0;0;0;0;0;0;0;
Ahnfeltia plicata;1;1;1;1;1;1;1;1;0;1;1;1;1;1;0;1;0;
Alaria esculenta;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Alisma gramineum;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;
Alisma plantago-aquatica;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;
Alisma wahlenbergii;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;
Antithamnion cruciatum;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;
Antithamnion villosum;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Antithamnionella floccosa;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Aphanochaete repens;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;1;0;
Apoglossum ruscifolium;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Arthrocladia villosa;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Ascophyllum nodosum;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;
Asperococcus bullosus;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Asperococcus ensiformis;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Asperococcus fistulosus;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;
Atractophora hypnoides;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Bangiadulcis atropurpurea;1;1;1;1;1;1;1;1;1;1;0;1;1;1;0;1;1;
Batrachospermum atrum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;
Batrachospermum sp.;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;
Blastophysa rhizopus;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;
Blidingia marginata;1;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;
Blidingia minima;1;1;1;0;1;1;1;0;0;1;0;1;1;1;0;1;0;
Bolbocoleon piliferum;1;1;1;1;1;1;1;1;1;0;0;0;1;1;0;0;0;
Bolboschoenus maritimus;1;0;0;0;0;1;1;1;1;0;1;1;1;1;1;1;1;
Bonnemaisonia asparagoides;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
