latin_name;Kattegat;Great Belt;Little Belt;Kiel Bay;Bay of Mecklenburg;The Sound;Arkona Basin;Bornholm Basin;Western Gotland Basin;Eastern Gotland Basin;Gulf of Gdansk;Vistula Lagoon;Curonian Lagoon;Gulf of Riga;Northern Baltic Proper;Gulf of Finland;Aland Sea;Archipelago Sea;Bothnian Sea;The Quark;Bothnian Bay;common_name
Myxine glutinosa;R;;;;;;;;;;;;;;;;;;;;;Hagfish
Lampetra fluviatilis;X;T;T;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;River lamprey
Petromyzon marinus;X;T;T;T;T;X;T;X;T;T;T;T;T;T;;T;T;T;T;T;;Sea lamprey
Lamna nasus;T;T;T;T;;T;;;;;;;;;;;;T;;;;Porbeagle
Cetorhinus maximus;T;T;T;T;T;T;T;T;;;;;;;T;;;;;;;Basking shark
Alopias vulpinus;T;T;;;;T;;;;;;;;;;;;;;;;Thresher shark
Galeus melastomus;T;;;;;T;;;;;;;;;;;;;;;;Black-mouthed dogfish
Scyliorhinus canicula;R;T;T;;;T;T;;;;;;;;;;;;;;;Lesser spotted dogfish
Scyliorhinus stellaris;T;;;;;;;;;;;;;;;;;;;;;Nursehound
Galeorhinus galeus;X;T;T;;;T;T;;;;;;;;;;;;;;;Tope
Mustelus asterias;T;;;;;;;;;;;;;;;;;;;;;Starry smooth hound
Mustelus mustelus;;;T;;;;;;;;;;;;;;;;;;;Smooth hound
Prionace glauca;T;;T;T;T;T;;;;;;;;;;;;;;;;Blue shark
Etmopterus spinax;T;;;;;;;;;;;;;;;;;;;;;Velvet belly
Somniosus microcephalus;T;T;;;;;;;;;;;;;;;;;;;;Greenland shark
Oxynotus centrina;T;;;;;;;;;;;;;;;;;;;;;Kite-fin shark
Squalus acanthias;R;T;T;T;T;T;T;T;T;T;;;;;;;;T;T;;;Spurdog
Pristis pectinata*;;;;;;;;;;;T;;;;;;;;;;;Smalltooth sawfish
Squatina squatina;T;;;;;;;;;;;;;;;;;;;;;Monkfish
Torpedo marmorata;T;;;;;;;;;;;;;;;;;;;;;Marbled electric ray
Torpedo nobiliana;T;;;;;;;;;;;;;;;;;;;;;Electric ray
Amblyraja radiata;R;T;T;T;T;R;T;T;;;T;;;;;;;;;;;Starry ray
Dipturus batis;T;T;;;;T;;;;;;;;;;;;;;;;Skate
Dipturus nidarosiensis;T;;;;;;;;;;;;;;;;;;;;;Norwegian skate
Leucoraja fullonica;T;;;;;;;;;;;;;;;;;;;;;Shagreen ray
Leucoraja naevus;T;T;;;;;;;;;;;;;;;;;;;;Cuckoo ray
Raja clavata;R;T;T;T;;T;T;T;;;;;;;;;;;;;;Thornback ray
Dasyatis pastinaca;T;T;;T;;T;T;;;;;;;;;;;;;;;Stingray
Myliobatis aquila;T;;;;;T;;;;;;;;;;;;;;;;Eagle ray
Chimaera monstrosa;T;;;;;T;;;;;;;;;;;;;;;;Rabbit-fish
Acipenser baeri*;;;T;;;;;T;T;;T;T;;T;T;T;;T;T;T;T;Siberian sturgeon
Acipenser gueldenstaedtii*;;;;;;;T;T;T;T;T;;T;T;T;T;;T;T;T;T;Russian sturgeon
Acipenser oxyrinchus;T;T;;T;T;T;T;X;T;T;X;T;T;T;T;T;;T;T;;T;American atlantic sturgeon
Acipenser ruthenus*;;;;;;;;;;;T;T;T;T;;T;;;;T;;Sterlet
Acipenser stellatus*;;;T;;T;;;T;;;T;;;;;T;;T;T;;;Stellate sturgeon
Huso huso*;;T;;;;;;;;T;;;;T;T;T;;;;;;Beluga sturgeon
Anguilla anguilla;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;T;T;Eel
Conger conger;X;T;T;T;T;T;;;;;;;;;;T;;;;;T;Conger eel
Alosa alosa;T;T;;T;T;T;T;T;T;T;;;;;T;;;T;T;;;Allis shad
Alosa fallax;T;T;T;T;T;T;X;X;T;X;X;X;R;X;T;T;T;T;T;T;T;Twaite shad
Clupea harengus;R;R;R;R;R;R;R;R;R;R;R;R;T;R;R;R;R;R;R;R;R;Herring
Sardina pilchardus;T;T;T;;;;;;;;;;;;;;;;;;;Pilchard
Sprattus sprattus;R;R;R;R;R;R;R;R;R;R;R;T;T;R;R;R;R;R;R;R;R;Sprat
Engraulis encrasicolus;T;T;T;T;T;T;T;T;;T;T;;;T;T;T;;T;;;;Anchovy
Rhodeus sericeus;;;;;;;;T;;;;T;X;;;;;;;;;Bitterling
Carassius carassius;;;;;T;;X;;;T;;R;R;T;R;R;R;R;R;R;R;Crucian carp
Carassius gibelio*;;;;;;;;;;T;R;R;R;R;;X;;R;;;;Gibel carp
Cyprinus carpio*;T;T;;;;;T;T;;;T;X;X;X;;X;;T;T;;;Carp
Barbus barbus;;;;;;;;T;;T;T;;T;;;;;;;;;Barbel
Abramis brama;;;;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;Bream
Aspius aspius;;;;;;;;T;;T;T;X;X;T;;X;;;X;;T;Asp
Ballerus ballerus;;;;;;;;X;;T;;;;;T;T;;T;;;;Blue bream
Blicca bjoerkna;;;;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;Silver bream
Leucaspius delineatus;;;;;;;;T;;;;X;R;;;T;;;;;;Sunbleak
Leuciscus idus;T;T;T;X;X;X;X;X;X;X;X;R;R;X;R;R;R;R;R;R;R;Ide
Leuciscus leuciscus;;;;;;;;T;;T;;;R;T;;X;X;X;X;X;X;Dace
Pelecus cultratus;;;;;T;;T;T;T;T;X;R;R;T;T;R;T;T;T;T;T;Razor-fish
Phoxinus phoxinus;;;;;;;;;;R;;;;R;R;R;R;R;R;R;R;Minnow
Rutilus rutilus;T;;;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;Roach
Scardinius erythrophthalmus;;T;;X;X;;X;R;X;T;X;R;R;R;R;R;R;R;R;R;;Rudd
Squalius cephalus;;;;X;X;;X;X;X;X;X;T;T;;;X;;T;T;;;Chub
Vimba vimba;;;;;;;X;X;X;X;X;X;X;X;X;X;X;X;X;T;T;Vimba bream
Ctenopharyngodon idella*;;;;;T;T;;;;;;T;;;;;;;;;;Grass carp
Tinca tinca;;T;;;;T;X;X;X;X;;R;R;X;X;R;R;R;R;;;Tench
Hypophthalmichthys molitrix*;;;;;;;;T;;;;T;T;;;;;;;;;Silver carp
Hypophthalmichthys nobilis*;;;;;;;T;;;;;;T;T;;;;;;;;Bighead carp
Gobio gobio;;;;;;;;T;;;;X;R;T;;T;;T;;T;;Gudgeon
Alburnus alburnus;T;;;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;R;Bleak
Cobitis taenia;;T;T;T;T;;T;T;;;T;X;R;T;T;R;;;;;;Spined loach
Misgurnus fossilis;;;;;T;;;T;;;;T;;;;;;;;;;Weatherfish
Barbatula barbatula;;;;;;;;;;;;T;T;;;T;;;;;;Stone loach
Catostomus catostomus*;;;;;;;;;;;;;;;;T;;;;;;Longnose sucker
Ameiurus nebulosus*;;;;;;;;;;;;;;;;T;;;;;;Brown bullhead
Silurus glanis;;;;T;T;;;X;T;T;T;T;X;T;;T;;;;;;Wels
Esox lucius;T;X;X;R;R;X;R;R;R;X;R;R;R;R;R;R;R;R;R;R;R;Pike
Argentina silus;X;;;;;;;;;;;;;;;;;;;;;Greater argentine
Argentina sphyraena;X;T;T;;;T;;;;;;;;;;;;;;;;Argentine
Osmerus eperlanus;T;;T;R;R;;R;R;R;X;X;R;R;R;R;R;R;R;R;R;R;Smelt
Coregonus albula;;;;;;;;T;;;T;;;;T;R;;;R;R;R;Vendace
Coregonus maraena s.l.;X;;;X;X;;X;X;X;R;;X;R;X;R;R;R;R;R;R;R;Whitefish
Coregonus peled*;;;T;;;;;T;;;;;T;;;;;;;;;Peled
Oncorhynchus gorbuscha*;;;T;;;;;;T;;;;;;;T;;;;;;Humpback salmon
Oncorhynchus keta*;;;;;;;;;;;;;;;;T;;;;;;Chum salmon
Oncorhynchus kisutch*;;;;;;;;;;;;;;;;T;;;T;;;Hoopid salmon
Oncorhynchus mykiss*;X;X;X;X;T;X;X;T;T;T;T;T;;T;T;T;T;T;T;T;T;Rainbow trout
Oncorhynchus tshawytscha*;;;;;;;;;;;;;;;;T;T;T;T;T;T;Chinook salmon
Salmo salar;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;Salmon
Salmo trutta;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;Trout
Salvelinus fontinalis*;;;;;;;;;;;;;;;;;;;T;;;Brook charr
Salvelinus namaycush*;;;;;;;;;;;;;;;;;;;;;T;Lake charr
Thymallus thymallus;;;;;;;;;;;T;;;;;X;;;R;R;R;Grayling
Maurolicus muelleri;X;;;;;T;;;;;;;;;;;;;;;;Pearlsides
Arctozenus risso;T;;;;;T;;;;;;;;;;;;;;;;Spotted barracudina
Magnisudis atlantica;T;;;;;;;;;;;;;;;;;;;;;Duckbill barracudina
Notoscopelus elongatus;T;;;;;;;;;;;;;;;;;;;;;Lancet fish
Lampris guttatus;T;T;;;;T;T;;;;;;;;;;;;;;;Opah
Trachipterus arcticus;T;T;;;;T;;;;;;;;;;;;;;;;Deal-fish
