latin_name;Kattegatt;Great Belt;Little Belt;Kiel Bay;The Bay of Mecklenburg;The Sound;Arkona Basin;Bornholm Basin;The Eastern Gotland Basin;The Western Gotland Basin;The Northern Baltic Proper;The Gulf of Gda?sk;Gulf of Riga;Gulf of Finland;Archipelago Sea;Aland Sea;The Bothnian Sea;The Quark;Bothnian Bay;common_name
Halichoerus grypus;x;;;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;grey seal / gray seal
Phoca vitulina vitulina;x;x;x;x;x;x;x;x;;;;x;;;;;;;;harbour seal / common seal
Pusa hispida;;;;;;;;;;;x;;x;x;x;x;x;x;x;ringed seal
Phocoena phocoena;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;;;harbour porpoise
Lutra lutra;x;x;x;x;x;;x;x;x;x;x;x;x;x;x;x;x;x;x;European otter / Euraisan otter
