No;Group;Kingdom;Phylum;Class;Order;Family;Genus;Subgenus;Species;Subspecies;Valid taxon name;Kattegat;The Sound;Little Belt;Great Belt;Kiel Bay;Bay of Mecklenburg;Arkona Basin;Bornholm Basin;Eastern Gotland Basin;Western Gotland Basin;Northern Baltic Proper;Aland Sea;Archipelago Sea;Bothnian Sea;The Quark;Bothnian Bay;Gulf of Finland;Gulf of Gdansk;Gulf of Riga;Warnow Estuary;Wismar Bay;Trave Estuary;Kiel Fjord;Eckernförde Bay;Schlei Estuary;Flensburg Fjord;Vistula Lagoon;Szczecin Lagoon;Greifswald Lagoon;Rugia Lagoons;Darss-Zingst Lagoon;Curonian Lagoon
1;Hydrozoa;Animalia;Cnidaria;Hydrozoa;Leptothecata;Sertulariidae;Abietinaria;;abietina;;Abietinaria abietina;X;X;;;;X;X;;;;;;;;;;;;;;;;;;;;;;;;;
2;Diptera;Animalia;Arthropoda;Insecta;Diptera;Chironomidae;Ablabesmyia;;longistyla;;Ablabesmyia longistyla;;;;;;;;;;;;;;;;;X;;;;;;;;;;;X;;;;
3;Diptera;Animalia;Arthropoda;Insecta;Diptera;Chironomidae;Ablabesmyia;;monilis;;Ablabesmyia monilis;;;;;;;;;;;;;;;X;;X;;;;;;;;;;;;;;;X
4;Diptera;Animalia;Arthropoda;Insecta;Diptera;Chironomidae;Ablabesmyia;; phatta;;Ablabesmyia phatta;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;
5;Amphipoda;Animalia;Arthropoda;Malacostraca;Amphipoda;Melitidae;Abludomelita;;obtusata;;Abludomelita obtusata;X;X;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Bivalvia;Animalia;Mollusca;Bivalvia;Euheterodonta incertae sedis;Semelidae;Abra;;alba;;Abra alba;X;X;X;X;X;X;X;;;;;;;;;;;;;;X;;X;X;X;X;;;;;;
7;Bivalvia;Animalia;Mollusca;Bivalvia;Euheterodonta incertae sedis;Semelidae;Abra;;nitida;;Abra nitida;X;X;X;X;;X;;;;;;;;;;;;;;;;;;;;X;;;;;;
8;Bivalvia;Animalia;Mollusca;Bivalvia;Euheterodonta incertae sedis;Semelidae;Abra;;prismatica;;Abra prismatica;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;Polychaeta;Animalia;Annelida;Polychaeta;Eunicida;Lumbrineridae;Abyssoninoe;;hibernica;;Abyssoninoe hibernica;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;Polychaeta;Animalia;Annelida;Polychaeta;Eunicida;Lumbrineridae;Abyssoninoe;;scopa;;Abyssoninoe scopa;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
