region_id,region_name,flower_png
0,Baltic,reports/figures/SUBBASIN/flower_Baltic.png
0,Baltic,reports/figures/SUBBASIN/flower_Baltic.png
1,Swe-Kattegat,reports/figures/SUBBASIN/flower_Swe-Kattegat.png
2,Den-Kattegat,reports/figures/SUBBASIN/flower_Den-Kattegat.png
3,Den-Great Belt,reports/figures/SUBBASIN/flower_Den-GreatBelt.png
4,Ger-Great Belt,reports/figures/SUBBASIN/flower_Ger-GreatBelt.png
5,Swe-The Sound,reports/figures/SUBBASIN/flower_Swe-TheSound.png
6,Den-The Sound,reports/figures/SUBBASIN/flower_Den-TheSound.png
7,Den-Kiel Bay,reports/figures/SUBBASIN/flower_Den-KielBay.png
8,Ger-Kiel Bay,reports/figures/SUBBASIN/flower_Ger-KielBay.png
9,Den-Bay of Mecklenburg,reports/figures/SUBBASIN/flower_Den-BayofMecklenburg.png
10,Ger-Bay of Mecklenburg,reports/figures/SUBBASIN/flower_Ger-BayofMecklenburg.png
11,Swe-Arkona Basin,reports/figures/SUBBASIN/flower_Swe-ArkonaBasin.png
12,Den-Arkona Basin,reports/figures/SUBBASIN/flower_Den-ArkonaBasin.png
13,Ger-Arkona Basin,reports/figures/SUBBASIN/flower_Ger-ArkonaBasin.png
14,Swe-Bornholm Basin,reports/figures/SUBBASIN/flower_Swe-BornholmBasin.png
15,Den-Bornholm Basin,reports/figures/SUBBASIN/flower_Den-BornholmBasin.png
16,Ger-Bornholm Basin,reports/figures/SUBBASIN/flower_Ger-BornholmBasin.png
17,Pol-Bornholm Basin,reports/figures/SUBBASIN/flower_Pol-BornholmBasin.png
18,Pol-Gdansk Basin,reports/figures/SUBBASIN/flower_Pol-GdanskBasin.png
19,Rus-Gdansk Basin,reports/figures/SUBBASIN/flower_Rus-GdanskBasin.png
20,Swe-Eastern Gotland Basin,reports/figures/SUBBASIN/flower_Swe-EasternGotlandBasin.png
21,Pol-Eastern Gotland Basin,reports/figures/SUBBASIN/flower_Pol-EasternGotlandBasin.png
22,Rus-Eastern Gotland Basin,reports/figures/SUBBASIN/flower_Rus-EasternGotlandBasin.png
23,Lit-Eastern Gotland Basin,reports/figures/SUBBASIN/flower_Lit-EasternGotlandBasin.png
24,Lat-Eastern Gotland Basin,reports/figures/SUBBASIN/flower_Lat-EasternGotlandBasin.png
25,Est-Eastern Gotland Basin,reports/figures/SUBBASIN/flower_Est-EasternGotlandBasin.png
26,Swe-Western Gotland Basin,reports/figures/SUBBASIN/flower_Swe-WesternGotlandBasin.png
27,Lat-Gulf of Riga,reports/figures/SUBBASIN/flower_Lat-GulfofRiga.png
28,Est-Gulf of Riga,reports/figures/SUBBASIN/flower_Est-GulfofRiga.png
29,Swe-Northern Baltic Proper,reports/figures/SUBBASIN/flower_Swe-NorthernBalticProper.png
30,Fin-Northern Baltic Proper,reports/figures/SUBBASIN/flower_Fin-NorthernBalticProper.png
31,Est-Northern Baltic Proper,reports/figures/SUBBASIN/flower_Est-NorthernBalticProper.png
32,Fin-Gulf of Finland,reports/figures/SUBBASIN/flower_Fin-GulfofFinland.png
33,Rus-Gulf of Finland,reports/figures/SUBBASIN/flower_Rus-GulfofFinland.png
34,Est-Gulf of Finland,reports/figures/SUBBASIN/flower_Est-GulfofFinland.png
35,Swe-Aland Sea,reports/figures/SUBBASIN/flower_Swe-AlandSea.png
36,Fin-Aland Sea,reports/figures/SUBBASIN/flower_Fin-AlandSea.png
37,Swe-Bothnian Sea,reports/figures/SUBBASIN/flower_Swe-BothnianSea.png
38,Fin-Bothnian Sea,reports/figures/SUBBASIN/flower_Fin-BothnianSea.png
39,Swe-The Quark,reports/figures/SUBBASIN/flower_Swe-TheQuark.png
