"Fish","ICES_subdiv","BHI_ID"
"cod","2224",3
"cod","2224",4
"cod","2224",5
"cod","2224",6
"cod","2224",7
"cod","2224",8
"cod","2224",9
"cod","2224",10
"cod","2224",11
"cod","2224",12
"cod","2224",13
"cod","2224",16
"cod","2532",14
"cod","2532",15
"cod","2532",17
"cod","2532",18
"cod","2532",19
"cod","2532",20
"cod","2532",21
"cod","2532",22
"cod","2532",23
"cod","2532",24
"cod","2532",25
"cod","2532",26
"cod","2532",27
"cod","2532",28
"cod","2532",29
"cod","2532",30
"cod","2532",31
"cod","2532",32
"cod","2532",33
"cod","2532",34
"cod","2532",35
"cod","2532",36
"cod","2532",37
"cod","2532",38
"cod","2532",39
"cod","2532",40
"cod","2532",41
"cod","2532",42
"her","3a22",3
"her","3a22",4
"her","3a22",7
"her","3a22",8
"her","3a22",9
"her","3a22",10
"her","2532",14
"her","2532",15
"her","2532",17
"her","2532",18
"her","2532",19
"her","2532",20
"her","2532",21
"her","2532",22
"her","2532",23
"her","2532",24
"her","2532",25
"her","2532",26
"her","2532",27
"her","2532",28
"her","2532",29
"her","2532",30
"her","2532",31
"her","2532",32
"her","2532",33
"her","2532",34
"her","2532",35
"her","2532",36
"her","2532",37
"her","2532",38
"her","2532",39
"her","2532",40
"her","2532",41
"her","2532",42
"her","riga",27
"her","riga",28
"her","30",37
"her","30",38
"her","30",40
"spr","2232",3
"spr","2232",4
"spr","2232",5
"spr","2232",6
"spr","2232",7
"spr","2232",8
"spr","2232",9
"spr","2232",10
"spr","2232",11
"spr","2232",12
"spr","2232",13
"spr","2232",14
"spr","2232",15
"spr","2232",16
"spr","2232",17
"spr","2232",18
"spr","2232",19
"spr","2232",20
"spr","2232",21
"spr","2232",22
"spr","2232",23
"spr","2232",24
"spr","2232",25
"spr","2232",26
"spr","2232",27
"spr","2232",28
"spr","2232",29
"spr","2232",30
"spr","2232",31
"spr","2232",32
"spr","2232",33
"spr","2232",34
"spr","2232",35
"spr","2232",36
"spr","2232",37
"spr","2232",38
"spr","2232",39
"spr","2232",40
"spr","2232",41
"spr","2232",42
