Year,cod_2224,cod_2532,her_30,her_28.1,her_2532,her_3a22,spr_2232
1994,21409,100856,56380,24300,218260,172439,289000
1995,29854,107718,61086,32656,188181,150820,313000
1996,38335,124189,56109,32584,162578,121260,441000
1997,37009,88600,65527,39843,160002,115585,529000
1998,29628,67428,56892,29443,185780,107033,471000
1999,35817,72995,62345,31403,145922,97234,421000
2000,31653,89289,56261,34069,175646,109913,389000
2001,26983,91328,54984,38785,148404,105806,342000
2002,19592,67740.10974,50218,39701,129222,106195,343000
2003,18055,69475.83334,49638,40803,113584,78310,308000
2004,15916,68578,55450,39115,93006,76813,374000
2005,16845,55032,57942,32225,91592,88404,405000
2006,16472,65531.61,68365,31232,110372,90548,352000
2007,15859,50843,75432,33742,116030,68179,388000
2008,11148,42234.65545,65430,31137,126155,69489,381000
2009,7093,48439.39764,68873,32554,134127,67259,407000
2010,7641,50276.63887,70515,30174,136706,42214,342000
2011,8845,50368,78500,29639,116785,27771,268000
2012,8654,50972.429,100640,28115,100893,38646,231000
2013,7742,31174.74501,109784,26511,100954,43827,272000
2014,8099,28908,110534,26253,132700,37358,244000
