"Year","TEMP_O_5_JulAug_GR","SALIN_O_5_GR","SALIN_50_GR"
1960,19.7497516129032,5.79978306010929,6.73104131147541
1961,17.9328975806452,5.7396434109589,6.5763195890411
1962,18.7065314516129,5.61551205479452,6.65020134246575
1963,19.8115419354839,5.59125108219178,6.67061794520548
1964,18.4540830645161,5.58449883879781,6.62072994535519
1965,17.7503169354839,5.5796848630137,6.5754115890411
1966,17.7098056451613,5.48579689041096,6.68134030136986
1967,20.1932814516129,5.63302378082192,6.68157328767123
1968,17.6489322580645,5.74430987704918,6.51497590163934
1969,18.9318258064516,5.77026868493151,6.65909589041096
1970,18.5308419354839,5.7553552739726,6.64850536986301
1971,16.3405508064516,5.81315431506849,6.73532265753425
1972,18.2771346774194,5.85804692622951,6.78403098360656
1973,18.2649016129032,5.73451776712329,6.99359728767123
1974,19.4566080645161,5.8716525890411,6.73401975342466
1975,18.3714870967742,5.79085080821918,6.97340646575342
1976,21.2922870967742,5.67875147540984,6.9908312295082
1977,17.9532338709677,5.77709536986301,6.93363854794521
1978,21.3173233870968,5.7313572739726,6.79331112328767
1979,16.9503733870968,5.67628443835616,6.86461794520548
1980,18.2553798387097,5.81112219945355,6.63295598360656
1981,18.5848556451613,5.80562930136986,6.72214739726027
1982,17.6337379032258,5.82710542465753,6.68062032876712
1983,19.1196685483871,5.79251550684932,6.89772682191781
1984,19.5683435483871,5.8317162431694,6.87241896174863
1985,18.8727314516129,5.79812471232877,6.70062687671233
1986,18.4627185483871,5.79330073972603,6.73946761643836
1987,20.1237524193548,5.80050221917808,6.7071098630137
1988,17.2934129032258,5.63385510928962,6.88776554644809
1989,18.7862879032258,5.78322734246575,6.87962816438356
1990,18.8287959677419,5.82498336986301,6.72114783561644
1991,18.4804951612903,5.83149504109589,6.80389126027397
1992,16.4193733870968,5.77437378415301,6.78062051912568
1993,18.2185911290323,5.55491749315069,7.04527797260274
1994,17.4273008064516,5.69542012328767,6.79469523287671
1995,18.4814596774194,5.5795597260274,7.03403032876712
1996,19.210489516129,5.72621143442623,6.9513568579235
1997,19.5541588709677,5.70777675342466,6.8043982739726
1998,20.4976435483871,5.76537698630137,6.75030605479452
1999,20.4721112903226,5.76666969863014,6.6765801369863
2000,19.1272548387097,5.74859848360656,6.63663319672131
2001,20.4621298387097,5.53671989041096,6.97526183561644
2002,17.7290475806452,5.66636995890411,6.73602539726027
2003,21.3673072580645,5.67056019178082,6.55023616438356
2004,16.9110233870968,5.56692483606557,6.72998098360656
2005,19.1285693548387,5.60374861643836,6.63992438356164
2006,19.3505,5.6089322739726,6.48580260273973
2007,21.3460153225806,5.58420368493151,6.52345610958904
2008,16.1664080645161,5.53516274590164,6.79970095628415
2009,17.7472862903226,5.58832947945205,6.84843915068493
2010,19.6151024193548,5.6796981369863,6.5475121369863
2011,20.3647153225806,5.6608501369863,6.49488339726027
2012,20.82275,5.5703006557377,6.61338005464481
2013,16.7716322580645,5.45831476712329,6.67671150684932
2014,21.3006548387097,5.53368649315069,6.49206235616438
2015,18.9264959677419,5.53521043835616,6.49719901369863
2016,18.4638370967742,5.60087848360656,6.47711333333333
