"Year","TEMP_O_5_JulAug_FB","SALIN_O_5_FB","SALIN_65_FB"
1960,19.2402806451613,12.3596427459016,32.7682265027322
1961,17.0093459677419,14.4259930136986,30.2497098630137
1962,19.1236758064516,12.3457677260274,32.3663542465753
1963,19.7696024193548,12.1605234246575,32.6216704109589
1964,19.243989516129,12.7187826775956,32.7848852459016
1965,18.5299967741935,13.1449883561644,32.6479917808219
1966,18.2024346774194,12.4803156986301,32.8821430136986
1967,19.3243612903226,12.8150333013699,32.7895868493151
1968,17.9687685483871,13.4645639344262,32.6207846994536
1969,17.7677669354839,13.6554348356164,32.0838906849315
1970,18.6428040322581,13.0643446849315,31.1500391780822
1971,17.4929822580645,13.9563357534247,31.9713591780822
1972,18.4165991935484,13.4962476502732,31.5998759562842
1973,19.3627008064516,12.8705866849315,31.6444994520548
1974,19.0087338709677,13.8053824657534,31.9547161643836
1975,18.4000637096774,13.227461369863,32.5962263013699
1976,20.4617298387097,12.5125169945355,32.978775136612
1977,18.1188532258065,13.6094402328767,32.3404378082192
1978,19.8446596774194,12.8029240821918,32.1864731506849
1979,17.651085483871,13.5921217808219,32.2942134246575
1980,18.5439943548387,13.3169849453552,32.0562639344262
1981,18.0745040322581,13.8627773424658,31.7132076712329
1982,17.8321137096774,13.0820154383562,31.1481446575342
1983,18.8166951612903,13.0737735616438,32.3074761643836
1984,18.7339040322581,13.7302681693989,32.5126327868852
1985,19.9677951612903,12.9612625205479,31.3364178082192
1986,19.2346862903226,13.2070328493151,32.1490526027397
1987,19.1126346774194,13.7494638356164,32.3616997260274
1988,18.9857838709677,13.5368957240437,32.1361202185792
1989,19.8823620967742,13.1201206575342,32.1318238356164
1990,20.1898403225806,12.3402024931507,32.1303169863014
1991,18.9634338709677,13.4982258356164,32.4820884931507
1992,17.6145935483871,13.168056010929,32.6558912568306
1993,18.6505298387097,13.3564084931507,32.8105865753425
1994,19.6457129032258,13.1880489041096,32.1151983561644
1995,18.4434983870968,14.1952836849315,31.944001369863
1996,19.3352620967742,13.7871275956284,32.6911759562842
1997,19.2806322580645,12.5199014794521,32.6247838356164
1998,19.1604233870968,13.2190340821918,33.0147805479452
1999,19.735025,13.6098210958904,31.3170065753425
2000,19.0213298387097,12.3320894535519,32.0180387978142
2001,19.2124733870968,13.2804201369863,32.7256276712329
2002,18.5925991935484,13.3015628767123,31.8731380821918
2003,19.4016919354839,12.2775225616438,32.5186087671233
2004,18.501535483871,12.9992768442623,31.6725147540984
2005,18.3943806451613,12.2428670273973,32.4520342465753
2006,18.7172927419355,12.5114478356164,32.7578854794521
2007,20.0539008064516,12.5275590821918,32.4721145205479
2008,17.8700524193548,13.6913954918033,32.4795196721311
2009,18.2202064516129,13.0721059041096,32.5062320547945
2010,20.2923596774194,13.2298465205479,32.1455616438356
2011,20.8843088709677,13.1388972876712,31.3654353424658
2012,19.2871274193548,12.6081484289617,32.3914426229508
2013,17.9090919354839,12.487066260274,31.9555649315068
2014,20.9856209677419,12.5073645616438,32.689461369863
2015,19.0902677419355,12.8937332465753,32.4580476712329
2016,19.7710419354839,13.2042371448087,32.3172800546448
2017,20.9142685483871,13.2190271369863,31.259062739726
