"basin_name_holas","basin_name_baltsem","basin_abb_baltsem","year","sst_jul_aug"
"Arkona Basin","Arkona Basin","AR",1960,18.2086129032258
"Bay of Mecklenburg","Arkona Basin","AR",1960,18.2086129032258
"Arkona Basin","Arkona Basin","AR",1961,16.4394709677419
"Bay of Mecklenburg","Arkona Basin","AR",1961,16.4394709677419
"Arkona Basin","Arkona Basin","AR",1962,18.4575620967742
"Bay of Mecklenburg","Arkona Basin","AR",1962,18.4575620967742
"Arkona Basin","Arkona Basin","AR",1963,19.0836612903226
"Bay of Mecklenburg","Arkona Basin","AR",1963,19.0836612903226
"Arkona Basin","Arkona Basin","AR",1964,18.1941048387097
"Bay of Mecklenburg","Arkona Basin","AR",1964,18.1941048387097
"Arkona Basin","Arkona Basin","AR",1965,17.6728975806452
"Bay of Mecklenburg","Arkona Basin","AR",1965,17.6728975806452
"Arkona Basin","Arkona Basin","AR",1966,17.1193653225806
"Bay of Mecklenburg","Arkona Basin","AR",1966,17.1193653225806
"Arkona Basin","Arkona Basin","AR",1967,18.4122346774194
"Bay of Mecklenburg","Arkona Basin","AR",1967,18.4122346774194
"Arkona Basin","Arkona Basin","AR",1968,16.9474798387097
"Bay of Mecklenburg","Arkona Basin","AR",1968,16.9474798387097
"Arkona Basin","Arkona Basin","AR",1969,17.1492903225806
"Bay of Mecklenburg","Arkona Basin","AR",1969,17.1492903225806
"Arkona Basin","Arkona Basin","AR",1970,18.1895814516129
"Bay of Mecklenburg","Arkona Basin","AR",1970,18.1895814516129
"Arkona Basin","Arkona Basin","AR",1971,16.2642814516129
"Bay of Mecklenburg","Arkona Basin","AR",1971,16.2642814516129
"Arkona Basin","Arkona Basin","AR",1972,17.8079491935484
"Bay of Mecklenburg","Arkona Basin","AR",1972,17.8079491935484
"Arkona Basin","Arkona Basin","AR",1973,18.2866032258065
"Bay of Mecklenburg","Arkona Basin","AR",1973,18.2866032258065
"Arkona Basin","Arkona Basin","AR",1974,17.9540540322581
"Bay of Mecklenburg","Arkona Basin","AR",1974,17.9540540322581
"Arkona Basin","Arkona Basin","AR",1975,17.6664483870968
"Bay of Mecklenburg","Arkona Basin","AR",1975,17.6664483870968
"Arkona Basin","Arkona Basin","AR",1976,19.2696967741935
"Bay of Mecklenburg","Arkona Basin","AR",1976,19.2696967741935
"Arkona Basin","Arkona Basin","AR",1977,17.2318282258065
"Bay of Mecklenburg","Arkona Basin","AR",1977,17.2318282258065
"Arkona Basin","Arkona Basin","AR",1978,18.6537161290323
"Bay of Mecklenburg","Arkona Basin","AR",1978,18.6537161290323
"Arkona Basin","Arkona Basin","AR",1979,16.4488927419355
"Bay of Mecklenburg","Arkona Basin","AR",1979,16.4488927419355
"Arkona Basin","Arkona Basin","AR",1980,18.1546685483871
"Bay of Mecklenburg","Arkona Basin","AR",1980,18.1546685483871
