"basin_name_holas","basin_name_baltsem","basin_abb_baltsem","year","sst_jul_aug"
"Arkona Basin","Arkona Basin","AR",1960,17.1138387096774
"Bay of Mecklenburg","Arkona Basin","AR",1960,17.1138387096774
"Arkona Basin","Arkona Basin","AR",1961,16.3643677419355
"Bay of Mecklenburg","Arkona Basin","AR",1961,16.3643677419355
"Arkona Basin","Arkona Basin","AR",1962,16.2082556451613
"Bay of Mecklenburg","Arkona Basin","AR",1962,16.2082556451613
"Arkona Basin","Arkona Basin","AR",1963,16.4484766129032
"Bay of Mecklenburg","Arkona Basin","AR",1963,16.4484766129032
"Arkona Basin","Arkona Basin","AR",1964,18.2553169354839
"Bay of Mecklenburg","Arkona Basin","AR",1964,18.2553169354839
"Arkona Basin","Arkona Basin","AR",1965,15.5904274193548
"Bay of Mecklenburg","Arkona Basin","AR",1965,15.5904274193548
"Arkona Basin","Arkona Basin","AR",1966,16.7798258064516
"Bay of Mecklenburg","Arkona Basin","AR",1966,16.7798258064516
"Arkona Basin","Arkona Basin","AR",1967,16.0400620967742
"Bay of Mecklenburg","Arkona Basin","AR",1967,16.0400620967742
"Arkona Basin","Arkona Basin","AR",1968,16.0587790322581
"Bay of Mecklenburg","Arkona Basin","AR",1968,16.0587790322581
"Arkona Basin","Arkona Basin","AR",1969,17.9552548387097
"Bay of Mecklenburg","Arkona Basin","AR",1969,17.9552548387097
"Arkona Basin","Arkona Basin","AR",1970,15.5826032258065
"Bay of Mecklenburg","Arkona Basin","AR",1970,15.5826032258065
"Arkona Basin","Arkona Basin","AR",1971,16.4104217741935
"Bay of Mecklenburg","Arkona Basin","AR",1971,16.4104217741935
"Arkona Basin","Arkona Basin","AR",1972,16.2676991935484
"Bay of Mecklenburg","Arkona Basin","AR",1972,16.2676991935484
"Arkona Basin","Arkona Basin","AR",1973,16.5520782258065
"Bay of Mecklenburg","Arkona Basin","AR",1973,16.5520782258065
"Arkona Basin","Arkona Basin","AR",1974,16.0554008064516
"Bay of Mecklenburg","Arkona Basin","AR",1974,16.0554008064516
"Arkona Basin","Arkona Basin","AR",1975,17.566189516129
"Bay of Mecklenburg","Arkona Basin","AR",1975,17.566189516129
"Arkona Basin","Arkona Basin","AR",1976,17.9346
"Bay of Mecklenburg","Arkona Basin","AR",1976,17.9346
"Arkona Basin","Arkona Basin","AR",1977,16.0920024193548
"Bay of Mecklenburg","Arkona Basin","AR",1977,16.0920024193548
"Arkona Basin","Arkona Basin","AR",1978,15.9160088709677
"Bay of Mecklenburg","Arkona Basin","AR",1978,15.9160088709677
"Arkona Basin","Arkona Basin","AR",1979,18.1997040322581
"Bay of Mecklenburg","Arkona Basin","AR",1979,18.1997040322581
"Arkona Basin","Arkona Basin","AR",1980,16.0948588709677
"Bay of Mecklenburg","Arkona Basin","AR",1980,16.0948588709677
"Arkona Basin","Arkona Basin","AR",1981,16.7533411290323
"Bay of Mecklenburg","Arkona Basin","AR",1981,16.7533411290323
"Arkona Basin","Arkona Basin","AR",1982,16.5203
"Bay of Mecklenburg","Arkona Basin","AR",1982,16.5203
"Arkona Basin","Arkona Basin","AR",1983,16.2729475806452
"Bay of Mecklenburg","Arkona Basin","AR",1983,16.2729475806452
"Arkona Basin","Arkona Basin","AR",1984,16.5616879032258
"Bay of Mecklenburg","Arkona Basin","AR",1984,16.5616879032258
