"basin_name_holas","basin_name_baltsem","basin_abb_baltsem","year","sst_jul_aug"
"Arkona Basin","Arkona Basin","AR",1970,16.2876549516129
"Bay of Mecklenburg","Arkona Basin","AR",1970,16.2876549516129
"Arkona Basin","Arkona Basin","AR",1971,15.9591496290323
"Bay of Mecklenburg","Arkona Basin","AR",1971,15.9591496290323
"Arkona Basin","Arkona Basin","AR",1972,17.9050676451613
"Bay of Mecklenburg","Arkona Basin","AR",1972,17.9050676451613
"Arkona Basin","Arkona Basin","AR",1973,17.5229923629032
"Bay of Mecklenburg","Arkona Basin","AR",1973,17.5229923629032
"Arkona Basin","Arkona Basin","AR",1974,15.8955183790323
"Bay of Mecklenburg","Arkona Basin","AR",1974,15.8955183790323
"Arkona Basin","Arkona Basin","AR",1975,17.3815113387097
"Bay of Mecklenburg","Arkona Basin","AR",1975,17.3815113387097
"Arkona Basin","Arkona Basin","AR",1976,17.2277480080645
"Bay of Mecklenburg","Arkona Basin","AR",1976,17.2277480080645
"Arkona Basin","Arkona Basin","AR",1977,16.7144026774194
"Bay of Mecklenburg","Arkona Basin","AR",1977,16.7144026774194
"Arkona Basin","Arkona Basin","AR",1978,16.1573256612903
"Bay of Mecklenburg","Arkona Basin","AR",1978,16.1573256612903
"Arkona Basin","Arkona Basin","AR",1979,15.4813126129032
"Bay of Mecklenburg","Arkona Basin","AR",1979,15.4813126129032
"Arkona Basin","Arkona Basin","AR",1980,16.1609703306452
"Bay of Mecklenburg","Arkona Basin","AR",1980,16.1609703306452
"Arkona Basin","Arkona Basin","AR",1981,16.412564
"Bay of Mecklenburg","Arkona Basin","AR",1981,16.412564
"Arkona Basin","Arkona Basin","AR",1982,16.5195207741935
"Bay of Mecklenburg","Arkona Basin","AR",1982,16.5195207741935
"Arkona Basin","Arkona Basin","AR",1983,17.3785696370968
"Bay of Mecklenburg","Arkona Basin","AR",1983,17.3785696370968
"Arkona Basin","Arkona Basin","AR",1984,16.0371617822581
"Bay of Mecklenburg","Arkona Basin","AR",1984,16.0371617822581
"Arkona Basin","Arkona Basin","AR",1985,15.9378859274194
"Bay of Mecklenburg","Arkona Basin","AR",1985,15.9378859274194
"Arkona Basin","Arkona Basin","AR",1986,15.6620251370968
"Bay of Mecklenburg","Arkona Basin","AR",1986,15.6620251370968
"Arkona Basin","Arkona Basin","AR",1987,14.3951180241935
"Bay of Mecklenburg","Arkona Basin","AR",1987,14.3951180241935
"Arkona Basin","Arkona Basin","AR",1988,17.7178933709677
"Bay of Mecklenburg","Arkona Basin","AR",1988,17.7178933709677
"Arkona Basin","Arkona Basin","AR",1989,16.7481692903226
"Bay of Mecklenburg","Arkona Basin","AR",1989,16.7481692903226
"Arkona Basin","Arkona Basin","AR",1990,16.5601145483871
"Bay of Mecklenburg","Arkona Basin","AR",1990,16.5601145483871
"Arkona Basin","Arkona Basin","AR",1991,16.6386083145161
"Bay of Mecklenburg","Arkona Basin","AR",1991,16.6386083145161
"Arkona Basin","Arkona Basin","AR",1992,17.1431078870968
"Bay of Mecklenburg","Arkona Basin","AR",1992,17.1431078870968
"Arkona Basin","Arkona Basin","AR",1993,15.4409091370968
"Bay of Mecklenburg","Arkona Basin","AR",1993,15.4409091370968
"Arkona Basin","Arkona Basin","AR",1994,17.373512983871
"Bay of Mecklenburg","Arkona Basin","AR",1994,17.373512983871
"Arkona Basin","Arkona Basin","AR",1995,16.9561320645161
"Bay of Mecklenburg","Arkona Basin","AR",1995,16.9561320645161
"Arkona Basin","Arkona Basin","AR",1996,15.9487790241935
"Bay of Mecklenburg","Arkona Basin","AR",1996,15.9487790241935
"Arkona Basin","Arkona Basin","AR",1997,17.8934281290323
"Bay of Mecklenburg","Arkona Basin","AR",1997,17.8934281290323
"Arkona Basin","Arkona Basin","AR",1998,15.9199906451613
"Bay of Mecklenburg","Arkona Basin","AR",1998,15.9199906451613
"Arkona Basin","Arkona Basin","AR",1999,17.665989
"Bay of Mecklenburg","Arkona Basin","AR",1999,17.665989
"Arkona Basin","Arkona Basin","AR",2000,16.4382509435484
"Bay of Mecklenburg","Arkona Basin","AR",2000,16.4382509435484
"Arkona Basin","Arkona Basin","AR",2001,17.5064683387097
"Bay of Mecklenburg","Arkona Basin","AR",2001,17.5064683387097
"Arkona Basin","Arkona Basin","AR",2002,17.8549419516129
"Bay of Mecklenburg","Arkona Basin","AR",2002,17.8549419516129
"Arkona Basin","Arkona Basin","AR",2003,17.8736785967742
"Bay of Mecklenburg","Arkona Basin","AR",2003,17.8736785967742
"Arkona Basin","Arkona Basin","AR",2004,16.598317483871
"Bay of Mecklenburg","Arkona Basin","AR",2004,16.598317483871
"Arkona Basin","Arkona Basin","AR",2005,17.0241746129032
"Bay of Mecklenburg","Arkona Basin","AR",2005,17.0241746129032
"Arkona Basin","Arkona Basin","AR",2006,19.1753451209677
"Bay of Mecklenburg","Arkona Basin","AR",2006,19.1753451209677
"Arkona Basin","Arkona Basin","AR",2007,17.1957502177419
"Bay of Mecklenburg","Arkona Basin","AR",2007,17.1957502177419
"Arkona Basin","Arkona Basin","AR",2008,18.0960523870968
"Bay of Mecklenburg","Arkona Basin","AR",2008,18.0960523870968
"Arkona Basin","Arkona Basin","AR",2009,18.2509743790323
"Bay of Mecklenburg","Arkona Basin","AR",2009,18.2509743790323
"Arkona Basin","Arkona Basin","AR",2010,18.8466428548387
"Bay of Mecklenburg","Arkona Basin","AR",2010,18.8466428548387
"Arkona Basin","Arkona Basin","AR",2011,17.6661340645161
"Bay of Mecklenburg","Arkona Basin","AR",2011,17.6661340645161
"Arkona Basin","Arkona Basin","AR",2012,17.3529509193548
"Bay of Mecklenburg","Arkona Basin","AR",2012,17.3529509193548
"Arkona Basin","Arkona Basin","AR",2013,18.8085608709677
"Bay of Mecklenburg","Arkona Basin","AR",2013,18.8085608709677
"Arkona Basin","Arkona Basin","AR",2014,18.8553131693548
"Bay of Mecklenburg","Arkona Basin","AR",2014,18.8553131693548
"Bothnian Bay","Bothnian Bay","BB",1970,14.8436585
"Bothnian Bay","Bothnian Bay","BB",1971,13.0752641217742
"Bothnian Bay","Bothnian Bay","BB",1972,15.3819783387097
"Bothnian Bay","Bothnian Bay","BB",1973,14.6882154854839
"Bothnian Bay","Bothnian Bay","BB",1974,14.5333293467742
"Bothnian Bay","Bothnian Bay","BB",1975,13.3802379806452
"Bothnian Bay","Bothnian Bay","BB",1976,11.8516917040323
"Bothnian Bay","Bothnian Bay","BB",1977,13.3482848806452
"Bothnian Bay","Bothnian Bay","BB",1978,13.1570382032258
"Bothnian Bay","Bothnian Bay","BB",1979,14.517542583871
"Bothnian Bay","Bothnian Bay","BB",1980,13.0403789701613
"Bothnian Bay","Bothnian Bay","BB",1981,14.0916866975806
"Bothnian Bay","Bothnian Bay","BB",1982,12.8688558645161
"Bothnian Bay","Bothnian Bay","BB",1983,14.2550867580645
"Bothnian Bay","Bothnian Bay","BB",1984,14.8921156774194
"Bothnian Bay","Bothnian Bay","BB",1985,13.7093166129032
"Bothnian Bay","Bothnian Bay","BB",1986,13.8088387016129
"Bothnian Bay","Bothnian Bay","BB",1987,11.5364870072581
"Bothnian Bay","Bothnian Bay","BB",1988,15.0790975
"Bothnian Bay","Bothnian Bay","BB",1989,13.6820142016129
"Bothnian Bay","Bothnian Bay","BB",1990,13.49718975
"Bothnian Bay","Bothnian Bay","BB",1991,14.9038553596774
"Bothnian Bay","Bothnian Bay","BB",1992,12.7771300362903
"Bothnian Bay","Bothnian Bay","BB",1993,13.8178403790323
"Bothnian Bay","Bothnian Bay","BB",1994,13.9966096741935
"Bothnian Bay","Bothnian Bay","BB",1995,12.7123900354839
"Bothnian Bay","Bothnian Bay","BB",1996,12.5382963862903
"Bothnian Bay","Bothnian Bay","BB",1997,15.37675475
"Bothnian Bay","Bothnian Bay","BB",1998,14.3229663790323
"Bothnian Bay","Bothnian Bay","BB",1999,13.7950109274194
"Bothnian Bay","Bothnian Bay","BB",2000,13.7568823830645
"Bothnian Bay","Bothnian Bay","BB",2001,13.9474157903226
"Bothnian Bay","Bothnian Bay","BB",2002,15.2320687258065
"Bothnian Bay","Bothnian Bay","BB",2003,16.5638209112903
"Bothnian Bay","Bothnian Bay","BB",2004,14.7392516370968
"Bothnian Bay","Bothnian Bay","BB",2005,15.2649595483871
"Bothnian Bay","Bothnian Bay","BB",2006,14.5080689758065
"Bothnian Bay","Bothnian Bay","BB",2007,14.0363848064516
"Bothnian Bay","Bothnian Bay","BB",2008,14.913604766129
"Bothnian Bay","Bothnian Bay","BB",2009,15.5765198951613
"Bothnian Bay","Bothnian Bay","BB",2010,14.9528489516129
"Bothnian Bay","Bothnian Bay","BB",2011,15.7565150241935
"Bothnian Bay","Bothnian Bay","BB",2012,13.9052418056452
"Bothnian Bay","Bothnian Bay","BB",2013,14.7489344516129
"Bothnian Bay","Bothnian Bay","BB",2014,17.1945784032258
"Bornholm Basin","Bornholm Basin","BN",1970,16.3481281935484
"Gdansk Basin","Bornholm Basin","BN",1970,16.3481281935484
"Bornholm Basin","Bornholm Basin","BN",1971,15.7504493306452
"Gdansk Basin","Bornholm Basin","BN",1971,15.7504493306452
"Bornholm Basin","Bornholm Basin","BN",1972,17.8173988306452
"Gdansk Basin","Bornholm Basin","BN",1972,17.8173988306452
"Bornholm Basin","Bornholm Basin","BN",1973,17.7434716854839
"Gdansk Basin","Bornholm Basin","BN",1973,17.7434716854839
"Bornholm Basin","Bornholm Basin","BN",1974,15.6973690080645
"Gdansk Basin","Bornholm Basin","BN",1974,15.6973690080645
"Bornholm Basin","Bornholm Basin","BN",1975,17.2877773064516
"Gdansk Basin","Bornholm Basin","BN",1975,17.2877773064516
"Bornholm Basin","Bornholm Basin","BN",1976,17.0382383306452
"Gdansk Basin","Bornholm Basin","BN",1976,17.0382383306452
"Bornholm Basin","Bornholm Basin","BN",1977,16.2145305
"Gdansk Basin","Bornholm Basin","BN",1977,16.2145305
"Bornholm Basin","Bornholm Basin","BN",1978,16.1873555080645
"Gdansk Basin","Bornholm Basin","BN",1978,16.1873555080645
"Bornholm Basin","Bornholm Basin","BN",1979,15.6727883225806
"Gdansk Basin","Bornholm Basin","BN",1979,15.6727883225806
"Bornholm Basin","Bornholm Basin","BN",1980,15.8420730322581
"Gdansk Basin","Bornholm Basin","BN",1980,15.8420730322581
"Bornholm Basin","Bornholm Basin","BN",1981,16.254937266129
"Gdansk Basin","Bornholm Basin","BN",1981,16.254937266129
"Bornholm Basin","Bornholm Basin","BN",1982,16.4438780322581
"Gdansk Basin","Bornholm Basin","BN",1982,16.4438780322581
"Bornholm Basin","Bornholm Basin","BN",1983,17.3833505887097
"Gdansk Basin","Bornholm Basin","BN",1983,17.3833505887097
"Bornholm Basin","Bornholm Basin","BN",1984,15.956428733871
"Gdansk Basin","Bornholm Basin","BN",1984,15.956428733871
"Bornholm Basin","Bornholm Basin","BN",1985,16.1158107096774
"Gdansk Basin","Bornholm Basin","BN",1985,16.1158107096774
"Bornholm Basin","Bornholm Basin","BN",1986,15.5537283225806
"Gdansk Basin","Bornholm Basin","BN",1986,15.5537283225806
"Bornholm Basin","Bornholm Basin","BN",1987,14.096981766129
"Gdansk Basin","Bornholm Basin","BN",1987,14.096981766129
"Bornholm Basin","Bornholm Basin","BN",1988,18.0462737580645
"Gdansk Basin","Bornholm Basin","BN",1988,18.0462737580645
"Bornholm Basin","Bornholm Basin","BN",1989,16.8703868064516
"Gdansk Basin","Bornholm Basin","BN",1989,16.8703868064516
"Bornholm Basin","Bornholm Basin","BN",1990,16.5959938145161
"Gdansk Basin","Bornholm Basin","BN",1990,16.5959938145161
"Bornholm Basin","Bornholm Basin","BN",1991,16.5830504193548
"Gdansk Basin","Bornholm Basin","BN",1991,16.5830504193548
"Bornholm Basin","Bornholm Basin","BN",1992,16.9098771451613
"Gdansk Basin","Bornholm Basin","BN",1992,16.9098771451613
