c_square,year,mid_lat,mid_lon,Reported,fishing_ho
Russian EEZ,0,0,0,No,0
1500:249:248:4,2009,54.475,9.875,Yes,0.638889
1500:249:249:3,2009,54.475,9.925,Yes,12.844444
1500:249:249:4,2009,54.475,9.975,Yes,2.216667
1500:249:384:2,2009,54.825,9.475,Yes,48.5
1500:249:478:4,2009,54.775,9.875,Yes,0.338889
1500:249:479:4,2009,54.775,9.975,Yes,18.472222
1500:249:485:3,2009,54.875,9.525,Yes,61.4
1500:249:487:1,2009,54.825,9.725,Yes,0.666667
1500:249:487:2,2009,54.825,9.775,Yes,4.238889
1500:249:487:4,2009,54.875,9.775,Yes,1
1500:249:488:1,2009,54.825,9.825,Yes,9.238889
1500:249:488:2,2009,54.825,9.875,Yes,12.85
1500:249:488:3,2009,54.875,9.825,Yes,3.033333
1500:249:489:1,2009,54.825,9.925,Yes,19.033333
1500:249:489:2,2009,54.825,9.975,Yes,17.05
1500:459:205:4,2009,55.075,9.575,Yes,7.066667
1500:459:206:3,2009,55.075,9.625,Yes,9.066667
1500:459:206:4,2009,55.075,9.675,Yes,10.066667
1500:459:208:3,2009,55.075,9.825,Yes,3
1500:459:209:2,2009,55.025,9.975,Yes,1
1500:459:209:4,2009,55.075,9.975,Yes,5.033333
1500:459:216:1,2009,55.125,9.625,Yes,9.066667
1500:459:216:2,2009,55.125,9.675,Yes,11.133333
1500:459:217:1,2009,55.125,9.725,Yes,17.033333
1500:459:217:2,2009,55.125,9.775,Yes,15.133333
1500:459:217:3,2009,55.175,9.725,Yes,1
1500:459:217:4,2009,55.175,9.775,Yes,5.1
1500:459:218:1,2009,55.125,9.825,Yes,20.166667
1500:459:218:3,2009,55.175,9.825,Yes,4.033333
1500:459:218:4,2009,55.175,9.875,Yes,1
1500:459:219:1,2009,55.125,9.925,Yes,1
1500:459:219:2,2009,55.125,9.975,Yes,1.033333
1500:459:227:2,2009,55.225,9.775,Yes,9.033333
1500:459:227:3,2009,55.275,9.725,Yes,22
1500:459:227:4,2009,55.275,9.775,Yes,84.033333
1500:459:236:2,2009,55.325,9.675,Yes,196.933333
1500:459:236:3,2009,55.375,9.625,Yes,1
1500:459:236:4,2009,55.375,9.675,Yes,1
1500:459:237:1,2009,55.325,9.725,Yes,28.166667
1500:459:237:2,2009,55.325,9.775,Yes,1
1500:459:246:2,2009,55.425,9.675,Yes,3
1500:459:247:3,2009,55.475,9.725,Yes,48.166667
1500:459:489:4,2009,55.875,9.975,Yes,1
1500:468:455:3,2009,56.575,8.525,Yes,1
1500:468:467:3,2009,56.675,8.725,Yes,20.1
1500:468:475:3,2009,56.775,8.525,Yes,31.266667
1500:468:478:1,2009,56.725,8.825,Yes,3.033333
1500:468:497:2,2009,56.925,8.775,Yes,134.133333
1500:468:498:1,2009,56.925,8.825,Yes,97.566667
1500:468:498:4,2009,56.975,8.875,Yes,1
1500:468:499:4,2009,56.975,8.975,Yes,10
1500:469:360:2,2009,56.625,9.075,Yes,5.066667
1500:469:371:3,2009,56.775,9.125,Yes,2
1500:469:381:1,2009,56.825,9.125,Yes,52.4
1500:469:390:1,2009,56.925,9.025,Yes,10.033333
1500:469:390:2,2009,56.925,9.075,Yes,1.033333
1500:469:390:3,2009,56.975,9.025,Yes,29.233333
1500:469:390:4,2009,56.975,9.075,Yes,1
1500:469:391:1,2009,56.925,9.125,Yes,15.1
1500:469:391:2,2009,56.925,9.175,Yes,9.066667
1500:469:391:3,2009,56.975,9.125,Yes,1
1500:469:392:3,2009,56.975,9.225,Yes,1
1501:130:499:3,2009,53.975,10.925,Yes,27.205556
1501:134:392:2,2009,53.925,14.275,Yes,0.7
1501:134:392:3,2009,53.975,14.225,Yes,4.283333
1501:134:392:4,2009,53.975,14.275,Yes,44.25
1501:134:393:3,2009,53.975,14.325,Yes,66.383333
1501:134:393:4,2009,53.975,14.375,Yes,13.816667
1501:134:394:3,2009,53.975,14.425,Yes,3.683333
1501:140:144:3,2009,54.475,10.425,Yes,1
1501:140:144:4,2009,54.475,10.475,Yes,1
1501:140:208:1,2009,54.025,10.825,Yes,2
1501:140:208:2,2009,54.025,10.875,Yes,6.95
1501:140:208:3,2009,54.075,10.825,Yes,4.172222
1501:140:208:4,2009,54.075,10.875,Yes,3.616667
1501:140:209:1,2009,54.025,10.925,Yes,19.155556
1501:140:209:2,2009,54.025,10.975,Yes,28.044444
1501:140:209:3,2009,54.075,10.925,Yes,15.788889
1501:140:209:4,2009,54.075,10.975,Yes,56.116667
1501:140:219:2,2009,54.125,10.975,Yes,11.716667
1501:140:236:2,2009,54.325,10.675,Yes,0.644444
1501:140:236:3,2009,54.375,10.625,Yes,0.955556
1501:140:236:4,2009,54.375,10.675,Yes,3.194444
1501:140:237:3,2009,54.375,10.725,Yes,3.527778
1501:140:237:4,2009,54.375,10.775,Yes,5.183333
1501:140:245:1,2009,54.425,10.525,Yes,0.633333
1501:140:245:2,2009,54.425,10.575,Yes,7.05
